match_id,date,home_team,away_team,home_score,away_score,status
12436627,1740328200,Manchester City,Liverpool FC,0.0,2.0,Ended
12436981,1740511800,Wolverhampton,Fulham,1.0,2.0,Ended
12436970,1740511800,Brighton & Hove Albion,Bournemouth,2.0,1.0,Ended
12436983,1740511800,Crystal Palace,Aston Villa,4.0,1.0,Ended
12436986,1740514500,Chelsea,Southampton,4.0,0.0,Ended
12436968,1740598200,Brentford,Everton,1.0,1.0,Ended
12436974,1740598200,Nottingham Forest,Arsenal,0.0,0.0,Ended
12436991,1740598200,Manchester United,Ipswich Town,3.0,2.0,Ended
12436975,1740598200,Tottenham Hotspur,Manchester City,0.0,1.0,Ended
12436988,1740600900,Liverpool FC,Newcastle United,2.0,0.0,Ended
13365051,1740686400,West Ham United,Leicester City,2.0,0.0,Ended
12437007,1741437000,Nottingham Forest,Manchester City,1.0,0.0,Ended
12437000,1741446000,Crystal Palace,Ipswich Town,1.0,0.0,Ended
12436996,1741446000,Brighton & Hove Albion,Fulham,2.0,1.0,Ended
12437003,1741446000,Liverpool FC,Southampton,3.0,1.0,Ended
12436994,1741455000,Brentford,Aston Villa,0.0,1.0,Ended
12437012,1741464000,Wolverhampton,Everton,1.0,1.0,Ended
12437009,1741528800,Tottenham Hotspur,Bournemouth,2.0,2.0,Ended
12436998,1741528800,Chelsea,Leicester City,1.0,0.0,Ended
12437005,1741537800,Manchester United,Arsenal,1.0,1.0,Ended
12437010,1741636800,West Ham United,Newcastle United,0.0,1.0,Ended
12436578,1742050800,Southampton,Wolverhampton,1.0,2.0,Ended
12437025,1742050800,Ipswich Town,Nottingham Forest,2.0,4.0,Ended
12437021,1742050800,Everton,West Ham United,1.0,1.0,Ended
12437029,1742050800,Manchester City,Brighton & Hove Albion,2.0,2.0,Ended
12437014,1742059800,Bournemouth,Brentford,1.0,2.0,Ended
12437023,1742131800,Fulham,Tottenham Hotspur,2.0,0.0,Ended
12437017,1742131800,Arsenal,Chelsea,1.0,0.0,Ended
12437027,1742151600,Leicester City,Manchester United,0.0,3.0,Ended
12436599,1743533100,Wolverhampton,West Ham United,1.0,0.0,Ended
12436924,1738422000,Ipswich Town,Southampton,1.0,2.0,Ended
12436921,1738422000,Everton,Leicester City,4.0,0.0,Ended
12436928,1738422000,Newcastle United,Fulham,1.0,2.0,Ended
12436911,1738422000,Bournemouth,Liverpool FC,0.0,2.0,Ended
12436932,1738431000,Wolverhampton,Aston Villa,2.0,0.0,Ended
12436916,1738504800,Brentford,Tottenham Hotspur,0.0,2.0,Ended
12436925,1738504800,Manchester United,Crystal Palace,0.0,2.0,Ended
12436913,1738513800,Arsenal,Manchester City,5.0,1.0,Ended
12436919,1738612800,Chelsea,West Ham United,2.0,1.0,Ended
13344418,1739388600,Everton,Liverpool FC,2.0,2.0,Ended
12436937,1739563200,Brighton & Hove Albion,Chelsea,3.0,0.0,Ended
12436943,1739622600,Leicester City,Arsenal,0.0,2.0,Ended
12436950,1739631600,Southampton,Bournemouth,1.0,3.0,Ended
12436940,1739631600,Fulham,Nottingham Forest,2.0,1.0,Ended
12436956,1739631600,West Ham United,Brentford,0.0,1.0,Ended
12436934,1739631600,Aston Villa,Ipswich Town,1.0,1.0,Ended
12436948,1739631600,Manchester City,Newcastle United,4.0,0.0,Ended
12436939,1739640600,Crystal Palace,Everton,1.0,2.0,Ended
12436945,1739714400,Liverpool FC,Wolverhampton,2.0,1.0,Ended
12436952,1739723400,Tottenham Hotspur,Manchester United,1.0,0.0,Ended
12437019,1739993400,Aston Villa,Liverpool FC,2.0,2.0,Ended
12436623,1740168000,Leicester City,Brentford,0.0,4.0,Ended
12436625,1740227400,Everton,Manchester United,2.0,2.0,Ended
12436958,1740236400,Bournemouth,Wolverhampton,0.0,1.0,Ended
12436624,1740236400,Fulham,Crystal Palace,0.0,2.0,Ended
12436965,1740236400,Southampton,Brighton & Hove Albion,0.0,4.0,Ended
12436629,1740236400,Ipswich Town,Tottenham Hotspur,1.0,4.0,Ended
12436960,1740236400,Arsenal,West Ham United,0.0,1.0,Ended
12436621,1740245400,Aston Villa,Chelsea,2.0,1.0,Ended
12436963,1740319200,Newcastle United,Nottingham Forest,4.0,3.0,Ended
12436531,1736883000,Chelsea,Bournemouth,2.0,2.0,Ended
12436436,1736883000,Brentford,Manchester City,2.0,2.0,Ended
12436526,1736884800,Nottingham Forest,Liverpool FC,1.0,1.0,Ended
12436527,1736969400,Leicester City,Crystal Palace,0.0,2.0,Ended
12436434,1736969400,Everton,Aston Villa,0.0,1.0,Ended
12436529,1736969400,Newcastle United,Wolverhampton,3.0,0.0,Ended
12436511,1736971200,Arsenal,Tottenham Hotspur,2.0,1.0,Ended
12436524,1737055800,Ipswich Town,Brighton & Hove Albion,0.0,2.0,Ended
12436516,1737057600,Manchester United,Southampton,3.0,1.0,Ended
12436885,1737203400,Newcastle United,Bournemouth,1.0,4.0,Ended
12436442,1737212400,Leicester City,Fulham,0.0,2.0,Ended
12436889,1737212400,West Ham United,Crystal Palace,0.0,2.0,Ended
12436440,1737212400,Brentford,Liverpool FC,0.0,2.0,Ended
12436443,1737221400,Arsenal,Aston Villa,2.0,2.0,Ended
12436887,1737295200,Nottingham Forest,Southampton,3.0,2.0,Ended
12436448,1737295200,Everton,Tottenham Hotspur,3.0,2.0,Ended
12436883,1737295200,Manchester United,Brighton & Hove Albion,1.0,3.0,Ended
12436439,1737304200,Ipswich Town,Manchester City,0.0,6.0,Ended
12436455,1737403200,Chelsea,Wolverhampton,3.0,1.0,Ended
12436891,1737817200,Bournemouth,Nottingham Forest,5.0,0.0,Ended
12436895,1737817200,Brighton & Hove Albion,Everton,0.0,1.0,Ended
12436905,1737817200,Southampton,Newcastle United,1.0,3.0,Ended
12436909,1737817200,Wolverhampton,Arsenal,0.0,1.0,Ended
12436901,1737817200,Liverpool FC,Ipswich Town,4.0,1.0,Ended
12436903,1737826200,Manchester City,Chelsea,3.0,1.0,Ended
12436897,1737900000,Crystal Palace,Brentford,1.0,2.0,Ended
12436907,1737900000,Tottenham Hotspur,Leicester City,1.0,2.0,Ended
12436893,1737909000,Aston Villa,West Ham United,1.0,1.0,Ended
12436899,1737918000,Fulham,Manchester United,0.0,1.0,Ended
12436930,1738413000,Nottingham Forest,Brighton & Hove Albion,7.0,0.0,Ended
12436476,1735225200,Bournemouth,Crystal Palace,0.0,0.0,Ended
12436480,1735225200,Southampton,West Ham United,0.0,1.0,Ended
12436477,1735225200,Newcastle United,Aston Villa,3.0,0.0,Ended
12436479,1735225200,Nottingham Forest,Tottenham Hotspur,1.0,0.0,Ended
12436473,1735225200,Chelsea,Fulham,1.0,2.0,Ended
12436482,1735234200,Wolverhampton,Manchester United,2.0,0.0,Ended
12436474,1735243200,Liverpool FC,Leicester City,3.0,1.0,Ended
12436475,1735327800,Brighton & Hove Albion,Brentford,0.0,0.0,Ended
12436472,1735330500,Arsenal,Ipswich Town,1.0,0.0,Ended
12436512,1735482600,Leicester City,Manchester City,0.0,2.0,Ended
12436532,1735484400,Crystal Palace,Southampton,2.0,1.0,Ended
12436515,1735484400,Fulham,Bournemouth,2.0,2.0,Ended
12436517,1735484400,Everton,Nottingham Forest,0.0,2.0,Ended
12436521,1735484400,Tottenham Hotspur,Wolverhampton,2.0,2.0,Ended
12436513,1735492500,West Ham United,Liverpool FC,0.0,5.0,Ended
12436530,1735587900,Aston Villa,Brighton & Hove Albion,2.0,2.0,Ended
12436510,1735587900,Ipswich Town,Chelsea,2.0,0.0,Ended
