team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Manchester City,7,388,4,0,9,6,8,0,0,7.03
Newcastle United,6,540,7,6,27,5,9,0,0,7.02
FC Barcelona,7,440,11,7,11,12,16,2,0,7.01
PSV Eindhoven,8,720,15,7,6,5,18,0,0,7.0
Shakhtar Donetsk,5,344,3,6,22,3,5,0,0,7.0
FC Bayern München,7,388,5,4,3,1,9,3,0,7.0
FC Bayern München,8,649,17,7,7,11,25,2,0,7.0
1. FC Union Berlin,4,270,8,0,9,1,14,0,0,7.0
Newcastle United,1,90,0,0,2,1,0,0,0,7.0
Paris Saint-Germain,5,408,11,5,11,16,18,0,0,7.0
Arsenal,10,930,9,3,34,16,15,1,0,7.0
Lazio,5,369,3,5,16,3,5,1,0,7.0
PSV Eindhoven,7,613,15,11,26,9,20,0,0,6.99
Shakhtar Donetsk,5,450,11,2,29,4,14,0,0,6.98
Royal Antwerp FC,5,450,6,5,24,13,7,2,0,6.98
Inter,6,421,3,5,15,12,10,0,0,6.97
FC Bayern München,5,450,7,6,18,5,7,1,0,6.96
RC Lens,5,371,10,2,7,5,30,1,0,6.96
Sporting Braga,6,519,13,3,9,3,21,0,0,6.95
FC Barcelona,8,659,12,8,18,13,17,4,0,6.95
Celtic,6,540,8,0,28,15,14,0,0,6.95
Atlético Madrid,7,482,1,5,32,13,2,1,0,6.94
Milan,5,368,8,4,19,7,8,0,0,6.94
Feyenoord,6,540,3,5,11,4,7,3,0,6.93
FC København,3,192,7,0,5,3,14,0,0,6.93
RC Lens,6,511,18,8,15,19,28,0,0,6.93
Red Bull Salzburg,3,219,7,1,5,1,9,1,0,6.93
FC Porto,8,595,21,2,10,4,51,0,0,6.93
Lazio,6,540,7,2,20,8,11,1,0,6.92
BSC Young Boys,6,505,14,4,4,5,28,2,0,6.92
PSV Eindhoven,6,424,8,4,14,13,11,0,0,6.92
Inter,7,501,5,6,14,9,14,1,1,6.91
FC Bayern München,10,704,14,5,8,3,47,2,0,6.91
Atlético Madrid,9,818,7,6,22,7,16,0,0,6.91
Arsenal,6,388,4,2,4,3,8,0,0,6.9
Arsenal,10,752,9,9,8,9,15,0,0,6.9
Real Madrid,3,251,1,3,9,2,2,0,1,6.9
FC Bayern München,1,12,0,1,0,0,0,0,0,6.9
