team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Newcastle United,5,450,0,0,0,63,25,0,0,0,41,0,7.7
Borussia Dortmund,1,90,0,0,0,38,7,0,0,0,9,0,7.6
Real Madrid,8,750,0,0,0,161,42,0,0,0,63,0,7.58
Inter,7,660,0,0,0,238,23,0,0,0,56,0,7.54
Borussia Dortmund,12,1080,0,0,0,339,77,1,0,0,77,0,7.54
Red Bull Salzburg,6,540,0,0,0,177,50,0,0,1,45,0,7.53
Real Madrid,1,90,0,0,0,14,1,0,0,0,8,0,7.5
BSC Young Boys,5,450,0,0,0,122,42,0,0,0,43,0,7.4
Shakhtar Donetsk,6,540,0,0,0,137,37,1,1,0,56,0,7.4
Sevilla,2,180,0,0,0,54,18,0,0,0,16,0,7.35
SSC Napoli,8,720,0,0,0,197,38,0,0,0,52,0,7.29
Milan,6,531,0,0,0,118,47,0,0,0,52,0,7.27
Atlético Madrid,10,930,0,0,0,156,44,0,0,0,77,0,7.24
FK Crvena zvezda,6,540,0,0,0,120,39,0,0,0,33,0,7.17
Arsenal,9,840,0,0,0,186,49,0,0,0,77,0,7.17
Benfica,6,540,0,0,0,131,29,0,0,0,41,0,7.12
Royal Antwerp FC,1,90,0,1,1,21,9,0,0,0,12,0,7.1
1. FC Union Berlin,6,540,0,0,0,105,33,0,0,0,48,0,7.1
RC Lens,6,540,0,0,0,129,54,0,0,0,55,0,7.08
Sporting Braga,6,540,0,0,0,134,37,0,0,0,54,0,7.08
Lazio,8,720,0,0,0,176,33,0,0,0,45,1,7.08
Real Sociedad,8,720,0,0,0,155,69,0,0,0,43,0,7.06
FC Barcelona,8,720,0,0,0,207,56,1,0,0,64,0,7.04
FC København,8,720,0,0,0,157,55,0,0,0,69,0,7.04
Paris Saint-Germain,12,1080,0,0,0,261,49,0,1,0,73,0,7.03
Real Madrid,4,360,0,0,0,102,15,0,0,0,40,0,7.03
FC Bayern München,9,810,0,0,0,264,58,1,0,0,49,0,7.02
Celtic,6,540,0,0,0,188,17,0,0,0,40,0,7.02
Arsenal,1,90,0,0,0,29,3,0,0,0,5,0,7.0
FC Barcelona,2,180,0,0,0,57,10,0,0,0,11,0,7.0
FC Porto,8,750,0,0,0,248,69,0,0,0,63,0,6.94
Milan,1,9,0,0,0,4,2,0,0,0,2,0,6.9
RB Leipzig,5,450,1,1,1,195,39,0,0,0,26,0,6.88
Manchester United,6,540,0,0,0,142,46,0,0,1,49,0,6.87
Galatasaray,6,540,0,0,0,168,48,0,2,0,59,0,6.87
PSV Eindhoven,8,720,0,1,1,179,44,0,0,0,51,0,6.86
Manchester City,7,660,0,0,0,207,37,0,0,0,39,0,6.83
Feyenoord,4,360,0,0,0,142,11,1,0,0,29,0,6.78
Feyenoord,2,180,0,0,0,57,5,0,0,0,10,0,6.75
Sevilla,4,360,0,0,0,81,28,0,0,0,21,0,6.73
Manchester City,3,270,0,0,0,125,24,1,0,0,28,0,6.67
FC Bayern München,3,270,0,0,0,95,17,0,0,0,20,0,6.67
RB Leipzig,3,270,0,0,0,78,4,0,0,0,12,0,6.67
Royal Antwerp FC,5,450,0,0,0,141,45,0,0,0,39,0,6.58
Inter,1,90,0,0,0,29,4,0,0,0,8,0,6.5
BSC Young Boys,1,90,0,0,0,23,7,0,0,0,7,0,6.4
Newcastle United,1,90,0,0,0,22,3,0,0,0,6,0,6.2
RB Leipzig,2,180,0,1,0,136,3,1,4,1,8,1,7.9
FC Barcelona,10,810,1,13,1,439,25,29,32,19,47,2,7.6
RB Leipzig,7,630,3,20,5,256,14,0,17,10,28,1,7.56
Borussia Dortmund,5,372,0,2,0,139,7,2,21,7,37,0,7.52
Manchester City,7,423,1,13,3,287,6,9,4,3,20,0,7.45
SSC Napoli,6,451,1,3,1,289,14,2,10,5,25,0,7.44
Manchester City,6,569,1,6,1,549,14,6,7,8,31,1,7.38
Borussia Dortmund,13,1170,1,3,0,614,47,7,53,25,81,1,7.35
RB Leipzig,6,493,2,11,2,217,11,4,22,3,36,0,7.28
Paris Saint-Germain,11,982,1,27,5,705,24,8,20,12,78,1,7.26
Sevilla,5,450,1,3,1,268,25,1,2,4,25,2,7.24
Milan,4,157,0,4,1,69,9,2,7,2,10,0,7.23
FC Porto,7,660,0,2,0,400,39,1,10,8,36,2,7.23
SSC Napoli,8,720,1,6,2,388,17,6,20,6,35,1,7.23
Paris Saint-Germain,3,166,0,1,1,128,7,0,4,1,7,0,7.2
FC Bayern München,7,500,0,1,0,505,28,0,16,5,34,0,7.2
Atlético Madrid,9,649,1,14,4,252,6,4,10,3,32,0,7.18
Manchester City,9,766,0,0,0,889,29,1,11,9,40,0,7.18
Manchester City,8,666,0,5,2,607,20,1,12,2,29,2,7.18
Newcastle United,4,277,0,0,0,65,3,0,6,1,3,1,7.18
Shakhtar Donetsk,4,295,1,6,2,127,4,0,9,4,16,0,7.18
SSC Napoli,4,185,0,2,0,78,8,1,4,2,6,1,7.17
Benfica,6,540,1,3,1,274,25,1,12,11,33,0,7.17
FC Barcelona,8,720,0,3,1,451,39,5,11,10,37,0,7.16
Milan,6,540,1,9,1,212,8,4,7,5,27,0,7.15
FC Porto,4,360,0,0,0,229,16,1,5,4,17,0,7.15
Borussia Dortmund,12,976,2,4,1,566,68,2,26,11,66,0,7.13
Manchester United,4,310,0,0,0,189,20,0,1,4,13,1,7.13
Real Madrid,10,846,1,12,0,342,13,3,24,9,23,1,7.12
Paris Saint-Germain,5,422,0,6,0,251,16,7,11,9,34,0,7.12
Feyenoord,6,469,1,4,0,299,12,9,9,10,50,1,7.12
Milan,6,539,0,1,0,229,13,0,17,10,32,0,7.12
SSC Napoli,7,553,0,2,0,389,26,2,5,11,33,1,7.11
Manchester City,7,552,3,12,1,325,6,5,8,3,23,0,7.11
Paris Saint-Germain,6,539,0,2,0,466,23,0,12,5,36,1,7.1
Galatasaray,4,360,2,4,2,204,14,2,8,5,17,0,7.1
Celtic,1,75,0,0,0,51,0,0,3,0,3,0,7.1
Newcastle United,2,21,0,1,1,21,0,0,0,0,1,0,7.1
Real Sociedad,8,693,0,1,0,373,34,1,14,8,42,0,7.09
Newcastle United,6,513,1,8,1,252,27,3,11,5,34,0,7.08
Real Madrid,12,1039,2,5,2,589,34,1,11,4,41,0,7.08
Real Sociedad,7,530,0,6,1,233,14,6,7,12,40,0,7.07
Benfica,3,193,0,2,0,98,4,2,11,4,16,0,7.07
Manchester City,5,195,0,7,1,156,0,1,3,1,11,0,7.07
Manchester City,6,505,0,5,1,423,14,1,7,4,29,0,7.07
Newcastle United,3,270,0,3,1,94,3,2,9,1,18,0,7.07
Inter,5,480,0,3,0,311,9,1,7,9,19,0,7.06
FC Bayern München,6,540,0,6,0,232,5,7,20,6,48,1,7.05
Paris Saint-Germain,10,900,1,5,2,722,37,1,17,12,47,0,7.05
FC Bayern München,6,467,1,1,1,279,12,0,8,3,17,0,7.05
Real Sociedad,6,474,1,1,1,224,6,3,13,3,21,0,7.05
Lazio,4,351,0,0,0,201,13,1,8,4,21,0,7.05
FC København,8,708,0,0,0,316,23,0,6,6,37,0,7.05
FC København,8,708,0,7,0,340,32,1,8,7,25,0,7.05
Borussia Dortmund,7,630,0,5,2,273,13,5,15,12,38,1,7.04
Atlético Madrid,10,791,2,8,1,405,22,1,24,7,46,0,7.04
FC Porto,5,388,0,1,0,131,2,5,16,9,20,0,7.04
Benfica,3,169,0,1,0,66,5,3,3,4,11,0,7.03
Inter,6,498,0,1,0,395,14,1,9,5,33,0,7.03
Manchester City,7,388,0,6,1,399,5,1,4,0,22,0,7.03
Newcastle United,6,540,0,0,0,247,25,0,7,6,30,1,7.02
FC Barcelona,7,440,0,2,0,320,3,1,11,7,20,1,7.01
PSV Eindhoven,8,720,0,13,1,312,26,1,15,7,53,1,7.0
Shakhtar Donetsk,5,344,0,2,2,193,20,0,3,6,10,1,7.0
FC Bayern München,7,388,2,5,3,227,6,1,5,4,15,0,7.0
FC Bayern München,8,649,1,7,0,330,11,6,17,7,31,0,7.0
1. FC Union Berlin,4,270,1,5,2,66,8,3,8,0,17,0,7.0
Newcastle United,1,90,0,0,0,41,4,0,0,0,4,0,7.0
Paris Saint-Germain,5,408,0,1,0,295,16,2,11,5,23,0,7.0
Arsenal,10,930,0,0,0,640,20,0,9,3,46,0,7.0
Lazio,5,369,0,2,0,264,21,1,3,5,28,0,7.0
PSV Eindhoven,7,613,0,1,0,355,51,3,15,11,51,0,6.99
Shakhtar Donetsk,5,450,0,3,1,218,15,0,11,2,17,1,6.98
Royal Antwerp FC,5,450,0,3,0,262,44,1,6,5,24,0,6.98
Inter,6,421,1,1,1,259,15,1,3,5,25,0,6.97
FC Bayern München,5,450,0,0,0,358,18,0,7,6,23,0,6.96
RC Lens,5,371,0,2,0,82,0,5,10,2,16,0,6.96
Sporting Braga,6,519,0,7,1,239,7,2,13,3,28,0,6.95
FC Barcelona,8,659,0,6,0,370,24,2,12,8,28,0,6.95
Celtic,6,540,0,3,1,519,22,1,8,0,37,0,6.95
Atlético Madrid,7,482,1,2,2,224,26,0,1,5,18,0,6.94
Milan,5,368,0,0,0,146,16,0,8,4,11,0,6.94
Feyenoord,6,540,0,1,0,513,16,2,3,5,46,1,6.93
FC København,3,192,1,3,1,65,6,3,7,0,9,0,6.93
RC Lens,6,511,0,2,0,205,17,3,18,8,31,0,6.93
Red Bull Salzburg,3,219,0,3,0,54,2,0,7,1,7,0,6.93
FC Porto,8,595,1,10,1,168,10,16,21,2,28,0,6.93
Lazio,6,540,1,2,1,332,10,0,7,2,33,0,6.92
BSC Young Boys,6,505,0,8,3,200,13,11,14,4,44,0,6.92
PSV Eindhoven,6,424,0,1,0,258,12,0,8,4,18,0,6.92
Inter,7,501,0,6,1,318,27,3,5,6,32,0,6.91
FC Bayern München,10,704,0,7,0,360,12,20,14,5,49,1,6.91
Atlético Madrid,9,818,0,2,1,574,35,6,7,6,43,1,6.91
Arsenal,6,388,2,6,1,178,6,2,4,2,14,0,6.9
Arsenal,10,752,1,3,1,388,6,3,9,9,25,0,6.9
Real Madrid,3,251,1,2,1,181,3,1,1,3,7,0,6.9
FC Bayern München,1,12,0,0,0,7,1,0,0,1,2,0,6.9
Real Sociedad,2,72,0,1,0,23,0,0,2,2,4,0,6.9
FK Crvena zvezda,6,540,0,2,0,231,18,0,6,6,28,0,6.9
FC Bayern München,9,658,0,2,0,559,24,0,10,17,47,0,6.9
PSV Eindhoven,2,91,0,0,0,60,5,0,0,2,1,0,6.9
BSC Young Boys,1,90,0,0,0,50,10,1,2,3,2,0,6.9
Inter,3,171,0,1,1,143,7,1,1,1,6,0,6.9
Red Bull Salzburg,6,494,0,2,0,257,21,4,12,5,35,0,6.9
Galatasaray,6,540,0,0,0,316,31,3,19,11,45,0,6.88
Feyenoord,6,540,0,8,0,286,15,1,15,7,26,0,6.88
Red Bull Salzburg,6,540,0,1,0,163,10,12,12,6,32,0,6.88
BSC Young Boys,5,407,0,0,0,214,15,0,6,7,22,0,6.88
Sporting Braga,4,315,0,7,1,163,11,1,10,3,17,0,6.88
Real Madrid,12,989,0,2,0,625,17,2,10,10,43,0,6.88
Feyenoord,4,282,0,3,0,286,6,0,5,2,14,0,6.88
Red Bull Salzburg,4,216,0,3,0,46,1,2,9,6,21,0,6.88
Feyenoord,6,540,0,1,0,399,14,8,14,5,39,0,6.87
SSC Napoli,6,326,0,6,1,153,8,0,13,7,16,0,6.87
FC Barcelona,6,327,0,2,0,190,7,10,6,1,22,0,6.87
Benfica,5,434,0,2,0,215,12,1,15,6,27,0,6.86
FC Porto,2,210,1,1,0,72,8,1,4,0,8,0,6.85
Milan,6,429,1,8,1,149,11,2,18,3,30,0,6.85
Sevilla,4,220,0,2,0,65,9,0,8,2,18,0,6.85
Borussia Dortmund,6,395,0,2,0,115,8,2,12,2,17,0,6.85
BSC Young Boys,5,450,1,2,0,171,11,5,8,6,24,0,6.84
Manchester United,3,213,1,3,1,80,2,2,7,10,14,0,6.83
FC København,3,92,0,0,0,52,4,0,1,0,4,0,6.83
SSC Napoli,4,214,0,2,0,154,4,0,3,2,13,0,6.83
PSV Eindhoven,8,646,1,9,0,252,7,14,13,4,34,0,6.83
Real Sociedad,4,251,0,3,0,61,5,4,9,10,16,0,6.83
Royal Antwerp FC,4,223,0,2,0,54,4,1,4,3,5,0,6.83
Newcastle United,5,450,0,1,0,168,10,1,5,0,21,0,6.82
Atlético Madrid,6,414,0,1,0,257,11,0,5,11,15,0,6.82
Manchester City,6,341,1,1,0,291,8,0,2,2,18,0,6.82
Real Sociedad,7,573,0,0,0,286,17,0,8,11,17,0,6.81
Paris Saint-Germain,11,843,0,5,2,566,25,4,15,3,44,1,6.81
Borussia Dortmund,11,913,0,4,0,427,21,3,19,12,49,0,6.81
Sporting Braga,5,391,0,0,0,213,11,0,6,5,19,1,6.8
RB Leipzig,7,599,0,0,0,250,15,1,12,10,30,1,6.8
FC Bayern München,11,771,1,1,0,362,12,10,32,8,42,0,6.8
Manchester United,2,135,1,2,0,38,3,0,2,3,9,0,6.8
Red Bull Salzburg,1,45,0,0,0,5,1,0,0,0,1,0,6.8
Sevilla,2,94,0,0,0,39,4,0,4,1,5,0,6.8
Lazio,7,423,0,1,0,172,3,5,10,5,25,0,6.8
Real Madrid,11,872,0,2,1,374,8,5,14,6,35,0,6.8
Sporting Braga,5,272,0,3,0,171,8,1,4,1,14,0,6.8
FC Porto,4,308,0,3,0,120,3,2,7,4,15,0,6.8
Atlético Madrid,6,288,0,0,0,149,4,1,6,5,17,0,6.78
Galatasaray,5,384,0,2,0,159,8,2,8,11,27,0,6.78
Arsenal,10,902,0,0,0,699,16,2,10,7,50,0,6.78
Real Madrid,4,192,1,3,0,148,5,1,1,1,10,0,6.78
1. FC Union Berlin,3,175,0,0,0,37,5,1,2,4,6,0,6.77
Inter,7,473,0,2,0,173,9,1,10,0,26,0,6.77
Real Sociedad,5,176,0,0,0,92,5,2,7,1,12,0,6.76
