team,appearances,minutesPlayed,saves,goalsConceded,rating
Benfica,5,434,0,9,6.86
FC Porto,2,210,0,1,6.85
Milan,6,429,0,7,6.85
Sevilla,4,220,0,2,6.85
Borussia Dortmund,6,395,0,3,6.85
BSC Young Boys,5,450,0,11,6.84
Manchester United,3,213,0,8,6.83
FC København,3,92,0,0,6.83
SSC Napoli,4,214,0,3,6.83
PSV Eindhoven,8,646,0,12,6.83
Real Sociedad,4,251,0,6,6.83
Royal Antwerp FC,4,223,0,6,6.83
Newcastle United,5,450,0,7,6.82
Atlético Madrid,6,414,0,5,6.82
Manchester City,6,341,0,5,6.82
Real Sociedad,7,573,0,6,6.81
Paris Saint-Germain,11,843,0,14,6.81
Borussia Dortmund,11,913,0,9,6.81
Sporting Braga,5,391,0,9,6.8
RB Leipzig,7,599,0,11,6.8
FC Bayern München,11,771,0,12,6.8
Manchester United,2,135,0,3,6.8
Red Bull Salzburg,1,45,0,0,6.8
Sevilla,2,94,0,3,6.8
Lazio,7,423,0,2,6.8
Real Madrid,11,872,0,10,6.8
Sporting Braga,5,272,0,6,6.8
FC Porto,4,308,0,6,6.8
Atlético Madrid,6,288,0,5,6.78
Galatasaray,5,384,0,9,6.78
Arsenal,10,902,0,8,6.78
Real Madrid,4,192,0,3,6.78
1. FC Union Berlin,3,175,0,4,6.77
Inter,7,473,0,5,6.77
Real Sociedad,5,176,0,1,6.76
Celtic,2,78,0,2,6.75
FC København,2,180,0,6,6.75
Benfica,2,111,0,2,6.75
1. FC Union Berlin,6,540,0,10,6.75
FC København,7,588,0,10,6.74
Lazio,7,522,0,9,6.74
Red Bull Salzburg,5,308,0,4,6.74
1. FC Union Berlin,3,260,0,4,6.73
Arsenal,6,279,0,2,6.73
FC København,7,464,0,11,6.73
Manchester United,4,334,0,8,6.73
BSC Young Boys,4,215,0,4,6.7
Shakhtar Donetsk,3,256,0,7,6.7
FC Bayern München,1,11,0,0,6.7
Real Madrid,3,12,0,0,6.7
Red Bull Salzburg,3,181,0,3,6.7
RC Lens,6,540,0,11,6.7
FC Barcelona,3,270,0,7,6.7
Red Bull Salzburg,2,180,0,2,6.7
RB Leipzig,7,620,0,11,6.69
Arsenal,7,388,0,4,6.68
RC Lens,6,495,0,10,6.68
Manchester United,2,66,0,1,6.65
Celtic,2,90,0,1,6.65
FC Barcelona,4,318,0,7,6.65
RB Leipzig,6,353,0,9,6.65
FK Crvena zvezda,4,238,0,6,6.65
Real Sociedad,5,121,0,1,6.65
Royal Antwerp FC,6,540,0,17,6.65
Sporting Braga,5,204,0,4,6.64
Red Bull Salzburg,3,153,0,4,6.63
Manchester United,6,462,0,12,6.63
FC Porto,6,188,0,2,6.63
FK Crvena zvezda,6,417,0,12,6.63
1. FC Union Berlin,3,270,0,5,6.63
PSV Eindhoven,3,190,0,2,6.63
RC Lens,4,120,0,6,6.63
Sporting Braga,4,360,0,8,6.63
Celtic,4,298,0,11,6.63
Celtic,6,540,0,15,6.62
Atlético Madrid,2,58,0,0,6.6
Lazio,2,180,0,5,6.6
BSC Young Boys,4,313,0,9,6.6
Manchester United,2,153,0,4,6.6
SSC Napoli,5,430,0,8,6.58
Real Sociedad,3,100,0,1,6.57
1. FC Union Berlin,3,260,0,5,6.57
Paris Saint-Germain,3,54,0,1,6.55
Shakhtar Donetsk,4,360,0,7,6.55
PSV Eindhoven,2,98,0,1,6.55
Lazio,4,160,0,4,6.55
Lazio,5,343,0,5,6.54
FC Porto,3,269,0,6,6.53
FC København,3,42,0,1,6.53
FK Crvena zvezda,6,540,0,15,6.53
FC Barcelona,3,141,0,2,6.53
Shakhtar Donetsk,4,284,0,5,6.53
FK Crvena zvezda,1,12,0,0,6.5
Sevilla,2,166,0,4,6.5
Royal Antwerp FC,3,101,0,2,6.5
Manchester United,4,297,0,10,6.5
Sporting Braga,4,324,0,7,6.5
PSV Eindhoven,2,84,0,5,6.5
Celtic,6,540,0,15,6.5
Royal Antwerp FC,6,409,0,15,6.48
Sevilla,4,329,0,5,6.48
Benfica,3,128,0,0,6.47
Feyenoord,1,79,0,1,6.4
Royal Antwerp FC,2,31,0,2,6.4
Sporting Braga,1,17,0,0,6.4
Sporting Braga,2,27,0,1,6.35
BSC Young Boys,5,325,0,9,6.34
BSC Young Boys,3,35,0,2,6.33
Royal Antwerp FC,6,452,0,14,6.32
Sevilla,3,197,0,7,6.3
Manchester United,1,90,0,4,6.3
Atlético Madrid,1,22,0,1,6.3
Galatasaray,1,75,0,2,6.3
Celtic,1,15,0,1,6.3
Feyenoord,3,81,0,0,6.3
Sevilla,2,31,0,2,6.3
FC København,2,27,0,3,6.25
BSC Young Boys,4,280,0,9,6.25
FC Barcelona,1,60,0,2,6.2
Newcastle United,1,45,0,1,6.2
Milan,1,90,0,3,6.1
Feyenoord,1,45,0,1,6.1
FK Crvena zvezda,1,65,0,2,6.0
Shakhtar Donetsk,1,65,0,3,6.0
RC Lens,2,29,0,1,5.9
Galatasaray,4,104,0,4,5.87
Benfica,4,279,0,7,5.8
Real Sociedad,1,2,0,0,0.0
Milan,1,2,0,0,0.0
Milan,1,1,0,0,0.0
Atlético Madrid,1,1,0,0,0.0
PSV Eindhoven,1,1,0,0,0.0
Manchester City,2,202,0,2,8.65
Manchester City,8,684,0,11,8.04
Manchester City,8,697,0,11,7.86
FC Barcelona,7,473,0,9,7.74
Real Madrid,11,993,0,15,7.74
RB Leipzig,8,599,0,9,7.65
FC Porto,7,651,0,9,7.59
Manchester City,7,299,0,3,7.59
Real Sociedad,7,630,0,6,7.56
Atlético Madrid,7,506,0,5,7.54
Feyenoord,6,473,0,7,7.52
FC Bayern München,12,1080,0,13,7.49
Paris Saint-Germain,12,914,0,11,7.48
Manchester United,6,540,0,15,7.47
FK Crvena zvezda,6,531,0,15,7.47
Real Madrid,12,864,0,13,7.44
Manchester City,8,534,0,8,7.44
FC Barcelona,10,836,0,12,7.43
Real Sociedad,7,532,0,5,7.41
Manchester United,2,167,0,6,7.4
Benfica,5,416,0,10,7.4
Real Madrid,3,152,0,4,7.4
Inter,6,513,0,3,7.38
Sevilla,6,459,0,10,7.37
Benfica,6,540,0,11,7.37
Inter,8,466,0,3,7.34
Arsenal,9,751,0,7,7.33
PSV Eindhoven,7,579,0,10,7.33
FC Bayern München,11,882,0,8,7.31
RB Leipzig,3,181,0,2,7.3
Sporting Braga,1,10,0,0,7.3
Feyenoord,6,401,0,6,7.3
Real Sociedad,8,563,0,5,7.26
Atlético Madrid,6,540,0,17,7.25
FC Barcelona,10,579,0,8,7.24
FC København,8,686,0,13,7.24
Shakhtar Donetsk,6,536,0,12,7.23
FC Porto,8,534,0,7,7.23
Arsenal,10,839,0,7,7.22
FC Bayern München,10,761,0,8,7.21
FC Bayern München,7,449,0,5,7.2
RC Lens,6,528,0,11,7.2
Newcastle United,6,413,0,6,7.2
RB Leipzig,7,292,0,3,7.2
Paris Saint-Germain,9,621,0,7,7.19
Lazio,8,647,0,10,7.19
Celtic,6,487,0,11,7.18
Galatasaray,5,250,0,6,7.18
FK Crvena zvezda,6,488,0,14,7.17
SSC Napoli,8,584,0,8,7.16
Sporting Braga,5,308,0,6,7.16
Inter,7,522,0,3,7.16
Real Madrid,3,39,0,0,7.15
Milan,4,325,0,5,7.15
Paris Saint-Germain,9,342,0,4,7.14
Manchester City,8,535,0,9,7.14
Atlético Madrid,8,616,0,10,7.14
Real Madrid,11,790,0,7,7.14
FC Barcelona,6,327,0,6,7.13
Atlético Madrid,9,771,0,12,7.13
FC Bayern München,9,439,0,7,7.13
Benfica,5,324,0,8,7.12
Galatasaray,5,200,0,7,7.12
FC København,6,540,0,8,7.12
BSC Young Boys,6,518,0,13,7.12
FC Bayern München,12,929,0,7,7.11
Inter,7,449,0,5,7.1
Real Madrid,13,1067,0,14,7.1
Newcastle United,4,335,0,6,7.1
Newcastle United,6,540,0,7,7.08
SSC Napoli,6,469,0,6,7.07
FC Bayern München,3,206,0,2,7.07
Sporting Braga,5,290,0,6,7.06
Borussia Dortmund,12,929,0,8,7.06
FC København,7,536,0,8,7.06
Real Sociedad,7,399,0,2,7.06
RB Leipzig,8,626,0,11,7.05
FC København,2,113,0,2,7.05
Manchester City,2,106,0,2,7.05
Sevilla,4,330,0,5,7.05
FC København,7,630,0,11,7.03
Paris Saint-Germain,11,905,0,13,7.03
Real Sociedad,8,713,0,6,7.03
Shakhtar Donetsk,6,540,0,12,7.0
FC Barcelona,3,229,0,1,7.0
Manchester City,4,221,0,3,7.0
Feyenoord,5,355,0,7,7.0
PSV Eindhoven,8,503,0,8,7.0
BSC Young Boys,4,265,0,4,7.0
RB Leipzig,2,92,0,1,7.0
Feyenoord,6,467,0,8,6.98
Feyenoord,4,198,0,3,6.98
Real Madrid,8,605,0,9,6.98
RC Lens,6,289,0,9,6.97
Red Bull Salzburg,6,390,0,6,6.97
Galatasaray,6,499,0,12,6.97
Milan,3,122,0,4,6.97
Real Madrid,11,418,0,3,6.96
Sevilla,5,346,0,4,6.96
RC Lens,2,36,0,0,6.95
Manchester City,6,434,0,5,6.95
FK Crvena zvezda,3,148,0,3,6.95
Arsenal,9,531,0,6,6.94
Atlético Madrid,7,258,0,5,6.94
Inter,7,372,0,1,6.94
Shakhtar Donetsk,6,497,0,12,6.93
Milan,6,479,0,8,6.93
Borussia Dortmund,7,563,0,7,6.93
Borussia Dortmund,13,496,0,5,6.93
Newcastle United,5,354,0,5,6.92
Atlético Madrid,10,887,0,12,6.92
1. FC Union Berlin,6,441,0,7,6.92
PSV Eindhoven,7,622,0,12,6.91
Lazio,8,546,0,7,6.9
Lazio,8,492,0,6,6.9
Benfica,6,540,0,11,6.9
FC Barcelona,5,395,0,7,6.9
Celtic,6,521,0,13,6.9
Celtic,3,137,0,2,6.9
RB Leipzig,5,269,0,5,6.9
Celtic,2,97,0,2,6.9
FC Porto,4,96,0,1,6.9
Real Madrid,9,386,0,4,6.89
Red Bull Salzburg,6,482,0,7,6.88
1. FC Union Berlin,6,247,0,5,6.88
BSC Young Boys,6,535,0,12,6.88
Real Sociedad,6,187,0,0,6.88
Borussia Dortmund,6,291,0,3,6.88
Arsenal,5,174,0,1,6.88
FC Porto,4,238,0,3,6.88
SSC Napoli,7,628,0,13,6.87
Arsenal,3,49,0,0,6.87
Real Madrid,9,320,0,3,6.86
FC Barcelona,8,280,0,5,6.85
Galatasaray,6,402,0,8,6.85
Lazio,6,473,0,9,6.85
Inter,2,112,0,0,6.85
PSV Eindhoven,7,317,0,6,6.84
Manchester United,5,381,0,9,6.84
Galatasaray,5,123,0,3,6.84
Red Bull Salzburg,5,400,0,8,6.84
FC Bayern München,7,207,0,4,6.83
Paris Saint-Germain,6,119,0,1,6.83
Borussia Dortmund,10,897,0,10,6.83
Atlético Madrid,8,317,0,4,6.83
Inter,7,406,0,4,6.83
Shakhtar Donetsk,4,207,0,5,6.83
Milan,4,219,0,4,6.83
Borussia Dortmund,9,450,0,1,6.82
FC Barcelona,5,202,0,4,6.82
