season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,1,Hugo Lloris
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,5,Pierre Højbjerg
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,7,Son Heung-min
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,10,Harry Kane
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,12,Emerson
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,15,Eric Dier
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,17,Cristian Romero
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,19,Ryan Sessegnon
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,21,Dejan Kulusevski
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_lineups.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,3-4-3,Starter,30,Rodrigo Bentancur
