season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2024-2025,334729,B. Clark,Liverpool,Missing Fixture,Back Injury,2024-08-17,,0
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-09-14,,56
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-09-17,,56
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-09-21,,56
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-10-02,,56
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-10-05,,56
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-10-20,,164
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-10-20,,56
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-10-23,,164
2024-2025,180317,C. Bradley,Liverpool,Missing Fixture,Injury,2024-10-23,,139
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Injury,2024-10-23,,66
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-10-23,,56
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-10-27,,164
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Muscle Injury,2024-10-27,,94
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-10-27,,56
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-11-02,,164
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Chest Injury,2024-11-02,,94
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Muscle Injury,2024-11-02,,66
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-11-02,,56
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-11-05,,164
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Chest Injury,2024-11-05,,94
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Muscle Injury,2024-11-05,,66
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-11-05,,56
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-11-09,,164
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Chest Injury,2024-11-09,,94
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Muscle Injury,2024-11-09,,66
2024-2025,19035,H. Elliott,Liverpool,Missing Fixture,Broken ankle,2024-11-09,,56
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-11-24,,164
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Chest Injury,2024-11-24,,94
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Muscle Injury,2024-11-24,,66
2024-2025,283,T. Alexander-Arnold,Liverpool,Missing Fixture,Thigh Injury,2024-11-24,,139
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-11-27,,164
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Chest Injury,2024-11-27,,94
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Muscle Injury,2024-11-27,,66
2024-2025,1600,K. Tsimikas,Liverpool,Missing Fixture,Ankle Injury,2024-11-27,,16
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-12-01,,164
2024-2025,180317,C. Bradley,Liverpool,Missing Fixture,Muscle Injury,2024-12-01,,139
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Chest Injury,2024-12-01,,94
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Muscle Injury,2024-12-01,,66
2024-2025,1145,I. Konate,Liverpool,Missing Fixture,Knee Injury,2024-12-01,,59
2024-2025,1600,K. Tsimikas,Liverpool,Missing Fixture,Ankle Injury,2024-12-01,,16
2024-2025,280,Alisson,Liverpool,Missing Fixture,Hamstring Injury,2024-12-04,,164
2024-2025,180317,C. Bradley,Liverpool,Missing Fixture,Muscle Injury,2024-12-04,,139
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Chest Injury,2024-12-04,,94
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Muscle Injury,2024-12-04,,66
2024-2025,1145,I. Konate,Liverpool,Missing Fixture,Knee Injury,2024-12-04,,59
2024-2025,1600,K. Tsimikas,Liverpool,Missing Fixture,Ankle Injury,2024-12-04,,16
2024-2025,6716,A. Mac Allister,Liverpool,Missing Fixture,Yellow Cards,2024-12-10,,165
2024-2025,180317,C. Bradley,Liverpool,Missing Fixture,Muscle Injury,2024-12-10,,139
2024-2025,2678,Diogo Jota,Liverpool,Missing Fixture,Chest Injury,2024-12-10,,94
2024-2025,30410,F. Chiesa,Liverpool,Missing Fixture,Lacking Match Fitness,2024-12-10,,66
2024-2025,1145,I. Konate,Liverpool,Missing Fixture,Knee Injury,2024-12-10,,59
2024-2025,1600,K. Tsimikas,Liverpool,Missing Fixture,Ankle Injury,2024-12-10,,16
2024-2025,6716,A. Mac Allister,Liverpool,Missing Fixture,Yellow Cards,2024-12-14,,165
2024-2025,180317,C. Bradley,Liverpool,Missing Fixture,Muscle Injury,2024-12-14,,139
2024-2025,1145,I. Konate,Liverpool,Missing Fixture,Knee Injury,2024-12-14,,59
2024-2025,1600,K. Tsimikas,Liverpool,Missing Fixture,Ankle Injury,2024-12-14,,16
2024-2025,180317,C. Bradley,Liverpool,Missing Fixture,Muscle Injury,2024-12-22,,139
2024-2025,1145,I. Konate,Liverpool,Missing Fixture,Knee Injury,2024-12-22,,59
