Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2023-09-20,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,4,0,nlPSV,59,"58,860",Martin Ødegaard,4-3-3,4-2-3-1,Felix Zwayer,https://fbref.com/en/matches/9928de4e/Arsenal-PSV-Eindhoven-September-20-2023-Champions-League,Match Report,
2023-10-03,21:00,Champions Lg,Group stage,Tue,Away,L,1,2,frLens,67,"37,040",Martin Ødegaard,4-3-3,3-4-3,Marco Guida,https://fbref.com/en/matches/dba6efee/Lens-Arsenal-October-3-2023-Champions-League,Match Report,
2023-10-24,21:00,Champions Lg,Group stage,Tue,Away,W,2,1,esSevilla,44,"39,595",Martin Ødegaard,4-3-3,4-2-3-1,Glenn Nyberg,https://fbref.com/en/matches/0c4b8772/Sevilla-Arsenal-October-24-2023-Champions-League,Match Report,
2023-11-08,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,2,0,esSevilla,62,"60,024",Jorginho,4-3-3,4-2-3-1,István Kovács,https://fbref.com/en/matches/2e9fad19/Arsenal-Sevilla-November-8-2023-Champions-League,Match Report,
2023-11-29,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,6,0,frLens,48,"59,987",Martin Ødegaard,4-3-3,3-4-3,Artur Soares Dias,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,Match Report,
2023-12-12,18:45,Champions Lg,Group stage,Tue,Away,D,1,1,nlPSV,58,"35,000",Jorginho,4-3-3,4-3-3,Tobias Stieler,https://fbref.com/en/matches/a44f0e00/PSV-Eindhoven-Arsenal-December-12-2023-Champions-League,Match Report,
2024-02-21,20:00(21:00),Champions Lg,Round of 16,Wed,Away,L,0,1,ptPorto,65,"49,111",Martin Ødegaard,4-3-3,4-2-3-1,Serdar Gözübüyük,https://fbref.com/en/matches/2ad57214/Porto-Arsenal-February-21-2024-Champions-League,Match Report,Leg 1 of 2
2024-03-12,20:00(21:00),Champions Lg,Round of 16,Tue,Home,W,1(4),0(2),ptPorto,58,"60,257",Martin Ødegaard,4-3-3,4-2-3-1,Clément Turpin,https://fbref.com/en/matches/5ce09854/Arsenal-Porto-March-12-2024-Champions-League,Match Report,Leg 2 of 2; Arsenal won; Arsenal won on penalty kicks following extra time
2024-04-09,20:00(21:00),Champions Lg,Quarter-finals,Tue,Home,D,2,2,deBayern Munich,59,"60,221",Martin Ødegaard,4-3-3,4-2-3-1,Glenn Nyberg,https://fbref.com/en/matches/77298172/Arsenal-Bayern-Munich-April-9-2024-Champions-League,Match Report,Leg 1 of 2
2024-04-17,21:00,Champions Lg,Quarter-finals,Wed,Away,L,0,1,deBayern Munich,49,"75,000",Martin Ødegaard,4-1-4-1,4-2-3-1,Danny Makkelie,https://fbref.com/en/matches/aa8f30b2/Bayern-Munich-Arsenal-April-17-2024-Champions-League,Match Report,Leg 2 of 2; Bayern Munich won
