season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2023-2024,153425,L. Dobbin,Everton,Missing Fixture,Ankle Injury,2024-04-02,,28
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-04-06,,281
2023-2024,153425,L. Dobbin,Everton,Missing Fixture,Ankle Injury,2024-04-06,,28
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-04-15,,281
2023-2024,153425,L. Dobbin,Everton,Missing Fixture,Ankle Injury,2024-04-15,,28
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-04-21,,281
2023-2024,153425,L. Dobbin,Everton,Missing Fixture,Ankle Injury,2024-04-21,,28
2023-2024,138417,N. Patterson,Everton,Missing Fixture,Thigh Injury,2024-04-21,,28
2023-2024,125743,Beto,Everton,Missing Fixture,Head Injury,2024-04-24,,2
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-04-24,,281
2023-2024,153425,L. Dobbin,Everton,Missing Fixture,Ankle Injury,2024-04-24,,28
2023-2024,138417,N. Patterson,Everton,Missing Fixture,Thigh Injury,2024-04-24,,28
2023-2024,125743,Beto,Everton,Missing Fixture,Head Injury,2024-04-27,,2
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-04-27,,281
2023-2024,153425,L. Dobbin,Everton,Missing Fixture,Ankle Injury,2024-04-27,,28
2023-2024,138417,N. Patterson,Everton,Missing Fixture,Thigh Injury,2024-04-27,,28
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Groin Injury,2024-04-27,,259
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-05-03,,281
2023-2024,138417,N. Patterson,Everton,Missing Fixture,Thigh Injury,2024-05-03,,28
2023-2024,2165,V. Mykolenko,Everton,Missing Fixture,Ankle Injury,2024-05-03,,15
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-05-11,,281
2023-2024,138417,N. Patterson,Everton,Missing Fixture,Thigh Injury,2024-05-11,,28
2023-2024,2165,V. Mykolenko,Everton,Missing Fixture,Ankle Injury,2024-05-11,,15
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-05-19,,281
2023-2024,19128,J. Harrison,Everton,Missing Fixture,Thigh Injury,2024-05-19,,273
2023-2024,138417,N. Patterson,Everton,Missing Fixture,Thigh Injury,2024-05-19,,28
2023-2024,2165,V. Mykolenko,Everton,Missing Fixture,Ankle Injury,2024-05-19,,15
