season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,295,A. Lallana,Brighton,Questionable,Lacking Match Fitness,2023-08-12,0
2023-2024,19265,A. Webster,Brighton,Questionable,Knock,2023-08-12,0
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-08-12,75
2023-2024,116117,M. Caicedo,Brighton,Questionable,Thigh Injury,2023-08-12,0
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-08-19,75
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-08-26,230
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-08-26,75
2023-2024,1469,D. Welbeck,Brighton,Questionable,Muscle Injury,2023-09-02,0
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-09-02,230
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-09-02,75
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-09-16,230
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-09-16,75
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-09-21,230
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-09-21,75
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-09-24,230
2023-2024,296,J. Milner,Brighton,Questionable,Muscle Injury,2023-09-24,0
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-09-24,75
2023-2024,18970,P. Gross,Brighton,Questionable,Muscle Injury,2023-09-24,0
2023-2024,295,A. Lallana,Brighton,Questionable,Injury,2023-09-30,0
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-09-30,230
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-09-30,75
2023-2024,18970,P. Gross,Brighton,Questionable,Muscle Injury,2023-09-30,0
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-10-05,230
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-10-05,75
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-10-08,230
2023-2024,296,J. Milner,Brighton,Questionable,Muscle Injury,2023-10-08,0
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-10-08,75
2023-2024,46731,P. Estupinan,Brighton,Missing Fixture,Injury,2023-10-08,21
2023-2024,138815,T. Lamptey,Brighton,Questionable,Injury,2023-10-08,0
2023-2024,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2023-10-21,230
2023-2024,40911,J. Moder,Brighton,Missing Fixture,Knee Injury,2023-10-21,75
2023-2024,46731,P. Estupinan,Brighton,Missing Fixture,Injury,2023-10-21,21
2023-2024,138815,T. Lamptey,Brighton,Questionable,Injury,2023-10-21,0
2023-2024,1469,D. Welbeck,Brighton,Missing Fixture,Muscle Injury,2023-10-26,49
