split,N,auc_roc,auc_pr,pr_baseline,lift,brier
Train,4971,0.6961832995174828,0.5045662601942116,0.3075839871253269,1.6404178413508343,0.23461562671938035
Val,5394,0.603447744234146,0.34192594994691794,0.25176121616611047,1.3581359160630895,0.24021018211611986
Test,5607,0.6099257398357235,0.36707058443587093,0.27661851257356873,1.3269921127865432,0.2420875362052049
