threshold,precision,recall,f1,specificity,alerts,alert_pct,tp,fp,tn,fn
0.2,0.27661851257356873,1.0,0.4333612740989103,0.0,5607,100.0,1551,4056,0,0
0.3,0.27661851257356873,1.0,0.4333612740989103,0.0,5607,100.0,1551,4056,0,0
0.4,0.2768543342269884,0.9987105093488072,0.43352924713126223,0.002465483234714004,5595,99.78598180845371,1549,4046,10,2
0.45,0.29538999344548833,0.8716956802063185,0.4412532637075718,0.20488165680473372,4577,81.63010522561083,1352,3225,831,199
0.5,0.36069210292812776,0.5241779497098646,0.4273324572930355,0.644723865877712,2254,40.19975031210986,813,1441,2615,738
0.55,0.4203262233375157,0.21598968407479047,0.28534923339011925,0.886094674556213,797,14.214374888532191,335,462,3594,1216
0.6,0.45121951219512196,0.02385557704706641,0.0453153704837722,0.988905325443787,82,1.4624576422329232,37,45,4011,1514
0.65,0.0,0.0,0.0,1.0,0,0.0,0,0,4056,1551
0.7,0.0,0.0,0.0,1.0,0,0.0,0,0,4056,1551
