season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,1,Aaron Ramsdale
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,2,William Saliba
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,4,Ben White
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,5,Thomas Partey
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,6,Gabriel Magalhães
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,7,Bukayo Saka
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,8,Martin Ødegaard
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,11,Gabriel Martinelli
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,12,Jurriën Timber
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,29,Kai Havertz
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Starter,41,Declan Rice
