season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Gabriel Martinelli,11,br BRA,FW,22-049,74,0,0,0,0,1,0,0,0,0,0,,5,1,1,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Leandro Trossard,19,be BEL,"FW,MF",28-245,16,1,0,0,0,1,1,0,0,0,1,,0,1,0,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Kai Havertz,29,de GER,FW,24-056,86,0,0,0,0,2,2,1,0,1,1,,0,0,1,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Fabio Vieira,21,pt POR,MF,23-068,4,0,0,0,0,0,0,0,0,0,0,,2,0,0,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Bukayo Saka,7,eng ENG,FW,21-335,90,0,1,0,0,2,0,0,0,1,1,,2,0,0,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Declan Rice,41,eng ENG,CM,24-204,80,0,0,0,0,1,0,0,0,0,1,,0,0,0,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Eddie Nketiah,14,eng ENG,FW,24-068,10,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Thomas Partey,5,gh GHA,CM,30-054,90,0,0,0,0,0,0,1,0,1,3,,0,2,0,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Martin Ødegaard,8,no NOR,CM,24-232,90,0,0,0,0,0,0,0,0,1,1,,0,0,0,,,
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_player_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,Jurriën Timber,12,nl NED,LB,22-050,75,0,0,0,0,0,0,0,0,0,1,,0,0,2,,,
