accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,position_group
4,0,0.0,0,8,38.1,3,25,28,63.64,2,100.0,0,1,0,0,0,0,19,0,0,0,0,4,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,6,0,0,2,2,0,0,0,0.1,0,0.0,0,3,0,16,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,17,0,2,8.3,0,0,4,5,1,6,0,2,0.0,0.0,0,0,0,0,0,0,0.0,4,0,0,0.0,0,11,0,0,2,100.0,21,12,32,44,8.3,0,0,70,0,0,0,Marc-André Ter Stegen,FC Barcelona,88625,2817,Goalkeepers
2,0,0.0,0,4,44.44,0,36,36,87.8,0,0.0,0,1,0,0,0,0,8,0,0,0,1,2,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,3,0,0,0,0,0,0,0,0.2,0,0.0,0,1,0,5,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,5,0,2,8.3,0,0,0,4,1,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,3,0,0,0,0.0,9,2,39,41,8.3,0,0,57,0,0,0,Josep Martínez,Inter,845291,2697,Goalkeepers
4,0,0.0,0,9,45.0,8,48,56,83.58,0,0.0,0,3,0,0,0,0,24,0,0,0,0,1,3,0,0,0,0,0,0,0,0.0,,0,0,0.0,11,0,0,4,4,0,0,0,2.97,1,100.0,0,2,0,11,1,0,0,2,210,0,,0,0,0,0,0.0,2,0,1,0,11,0,0,7.93,0,0,1,10,3,17,0,4,0.0,0.0,0,0,0,0,0,1,100.0,1,0,0,0.0,0,6,1,0,1,100.0,20,16,51,67,23.8,0,1,107,0,1,0,Mattia Perin,Juventus,79645,2687,Goalkeepers
1,0,0.0,1,9,28.13,8,24,32,58.18,4,100.0,0,2,0,0,0,0,18,0,0,0,1,5,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,18,0,0,1,1,0,0,0,1.83,0,0.0,0,2,0,23,0,1,0,2,126,0,,0,0,0,0,0.0,0,0,0,0,23,0,5,7.85,0,0,0,7,0,8,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,4,0,0,4,100.0,32,28,27,55,15.7,0,1,75,0,0,0,Justin Bijlow,Feyenoord,556696,2959,Goalkeepers
4,0,0.0,1,4,50.0,2,28,30,85.71,1,100.0,0,1,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,1,0.0,,0,0,0.0,1,0,0,2,1,1,0,0,0.11,1,100.0,0,2,0,5,0,0,0,1,90,0,,0,0,0,0,0.0,2,0,1,0,8,0,0,7.8,0,0,0,3,1,5,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,8,0,0,2,100.0,8,5,30,35,7.8,0,0,52,2,0,0,Pau López,Girona FC,548848,24264,Goalkeepers
4,0,0.0,2,9,42.86,2,49,51,80.95,2,100.0,0,2,0,0,0,0,19,0,0,0,1,2,2,0,0,0,0,1,0,0,0.0,,1,0,0.0,10,0,0,3,3,0,0,0,1.5,0,0.0,0,4,0,12,0,0,0,2,180,0,,0,0,0,1,0.0,1,0,1,0,12,0,1,7.75,0,0,1,3,6,9,0,3,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,4,0,0,2,66.67,21,9,54,63,15.5,0,0,92,1,0,0,Rui Silva,Sporting CP,253809,3001,Goalkeepers
27,0,0.0,15,73,43.45,36,197,233,70.39,10,100.0,0,8,0,0,0,0,79,0,0,0,2,11,8,0,0,0,0,0,1,0,0.24,,0,0,0.0,54,0,0,16,13,3,0,0,1.3,4,100.0,0,15,0,98,0,1,0,8,720,0,,1,0,0,0,0.0,2,0,1,0,101,0,4,7.68,0,0,2,26,11,39,0,15,0.0,0.0,0,0,0,0,0,1,100.0,2,0,0,0.0,1,46,1,0,14,100.0,168,106,225,331,61.4,0,2,443,3,0,0,Dmytro Riznyk,Shakhtar Donetsk,941669,3313,Goalkeepers
20,0,0.0,10,34,36.17,25,131,156,71.56,1,100.0,0,6,0,0,0,0,48,0,0,0,3,8,6,0,0,0,0,0,0,0,0.01,,0,0,0.0,21,0,0,3,3,0,0,0,3.78,0,0.0,0,3,0,62,0,0,0,6,570,0,,0,0,0,0,0.0,0,0,0,0,62,0,2,7.63,0,0,2,16,8,24,0,6,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,35,0,0,1,100.0,94,67,151,218,45.8,0,0,281,0,0,0,Alisson,Liverpool FC,243609,44,Goalkeepers
5,0,0.0,1,16,41.03,6,110,116,82.86,2,100.0,0,4,0,0,0,0,25,0,0,0,3,3,4,0,0,0,0,0,0,1,0.0,,0,0,0.0,18,0,0,3,3,0,0,0,2.38,0,0.0,0,2,0,24,0,0,0,4,360,0,,0,0,0,0,0.0,1,0,1,0,24,0,0,7.5,0,0,4,9,5,14,0,1,0.0,0.0,0,0,0,0,0,0,0.0,4,0,0,0.0,0,8,0,0,2,100.0,39,27,113,140,30.0,0,0,171,0,0,0,Caoimhin Kelleher,Liverpool FC,827362,44,Goalkeepers
9,0,0.0,3,26,37.68,9,150,159,77.56,7,87.5,1,7,0,0,0,0,49,0,0,0,2,16,7,0,0,0,0,1,0,2,0.01,,0,0,0.0,25,0,0,8,7,1,0,0,3.58,4,100.0,0,6,0,46,1,0,0,7,630,0,,0,0,0,0,0.0,2,0,1,0,47,0,8,7.49,0,0,6,17,4,22,0,5,0.0,0.0,0,0,0,0,0,1,100.0,6,2,1,50.0,0,13,1,0,11,91.67,69,39,166,205,52.4,0,1,299,3,0,0,Łukasz Skorupski,Bologna,44906,2685,Goalkeepers
