league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ENG-Premier League,2021,2020-09-28 Liverpool-Arsenal,1,2020,14115,2020-09-28 19:15:00,87,83,Liverpool,Arsenal,ARS,LIV,3,1,2.73834,1.17817,True,True,https://understat.com/match/14115
ENG-Premier League,2021,2020-10-03 Chelsea-Crystal Palace,1,2020,14467,2020-10-03 11:30:00,80,78,Chelsea,Crystal Palace,CRY,CHE,4,0,2.51433,0.103249,True,True,https://understat.com/match/14467
ENG-Premier League,2021,2020-10-03 Everton-Brighton,1,2020,14468,2020-10-03 14:00:00,72,220,Everton,Brighton,BRI,EVE,4,2,2.34034,1.16568,True,True,https://understat.com/match/14468
ENG-Premier League,2021,2020-10-03 Leeds-Manchester City,1,2020,14469,2020-10-03 16:30:00,245,88,Leeds,Manchester City,MCI,LED,1,1,2.56662,1.41533,True,True,https://understat.com/match/14469
ENG-Premier League,2021,2020-10-03 Newcastle United-Burnley,1,2020,14472,2020-10-03 19:00:00,86,92,Newcastle United,Burnley,BUR,NEW,3,1,1.95629,0.438849,True,True,https://understat.com/match/14472
ENG-Premier League,2021,2020-10-04 Arsenal-Sheffield United,1,2020,14465,2020-10-04 13:00:00,83,238,Arsenal,Sheffield United,SHE,ARS,2,1,0.667131,0.144994,True,True,https://understat.com/match/14465
ENG-Premier League,2021,2020-10-04 Aston Villa-Liverpool,1,2020,14466,2020-10-04 18:15:00,71,87,Aston Villa,Liverpool,LIV,AVL,7,2,3.07626,1.65705,True,True,https://understat.com/match/14466
ENG-Premier League,2021,2020-10-04 Leicester-West Ham,1,2020,14470,2020-10-04 11:00:00,75,81,Leicester,West Ham,WHU,LEI,0,3,0.456022,2.03227,True,True,https://understat.com/match/14470
ENG-Premier League,2021,2020-10-04 Manchester United-Tottenham,1,2020,14471,2020-10-04 15:30:00,89,82,Manchester United,Tottenham,TOT,MUN,1,6,0.873435,3.3017,True,True,https://understat.com/match/14471
ENG-Premier League,2021,2020-10-04 Southampton-West Bromwich Albion,1,2020,14473,2020-10-04 11:00:00,74,76,Southampton,West Bromwich Albion,WBA,SOU,2,0,0.949079,0.161283,True,True,https://understat.com/match/14473
ENG-Premier League,2021,2020-10-04 Wolverhampton Wanderers-Fulham,1,2020,14474,2020-10-04 13:00:00,229,228,Wolverhampton Wanderers,Fulham,FLH,WOL,1,0,0.89359,0.969393,True,True,https://understat.com/match/14474
ENG-Premier League,2021,2020-10-17 Chelsea-Southampton,1,2020,14475,2020-10-17 14:00:00,80,74,Chelsea,Southampton,SOU,CHE,3,3,1.98708,1.42348,True,True,https://understat.com/match/14475
ENG-Premier League,2021,2020-10-17 Everton-Liverpool,1,2020,14477,2020-10-17 11:30:00,72,87,Everton,Liverpool,LIV,EVE,2,2,1.35998,2.49492,True,True,https://understat.com/match/14477
ENG-Premier League,2021,2020-10-17 Manchester City-Arsenal,1,2020,14480,2020-10-17 16:30:00,88,83,Manchester City,Arsenal,ARS,MCI,1,0,1.43023,0.838322,True,True,https://understat.com/match/14480
ENG-Premier League,2021,2020-10-17 Newcastle United-Manchester United,1,2020,14481,2020-10-17 19:00:00,86,89,Newcastle United,Manchester United,MUN,NEW,1,4,0.867496,2.21729,True,True,https://understat.com/match/14481
ENG-Premier League,2021,2020-10-18 Crystal Palace-Brighton,1,2020,14476,2020-10-18 13:00:00,78,220,Crystal Palace,Brighton,BRI,CRY,1,1,0.761169,1.0935,True,True,https://understat.com/match/14476
ENG-Premier League,2021,2020-10-18 Leicester-Aston Villa,1,2020,14479,2020-10-18 18:15:00,75,71,Leicester,Aston Villa,AVL,LEI,0,1,0.671595,0.873776,True,True,https://understat.com/match/14479
ENG-Premier League,2021,2020-10-18 Sheffield United-Fulham,1,2020,14482,2020-10-18 11:00:00,238,228,Sheffield United,Fulham,FLH,SHE,1,1,1.66363,1.35611,True,True,https://understat.com/match/14482
ENG-Premier League,2021,2020-10-18 Tottenham-West Ham,1,2020,14483,2020-10-18 15:30:00,82,81,Tottenham,West Ham,WHU,TOT,3,3,1.77602,1.49992,True,True,https://understat.com/match/14483
ENG-Premier League,2021,2020-10-19 Leeds-Wolverhampton Wanderers,1,2020,14478,2020-10-19 19:00:00,245,229,Leeds,Wolverhampton Wanderers,WOL,LED,0,1,1.08332,0.618191,True,True,https://understat.com/match/14478
ENG-Premier League,2021,2020-10-19 West Bromwich Albion-Burnley,1,2020,14484,2020-10-19 16:30:00,76,92,West Bromwich Albion,Burnley,BUR,WBA,0,0,0.731692,1.08532,True,True,https://understat.com/match/14484
ENG-Premier League,2021,2020-10-23 Aston Villa-Leeds,1,2020,14486,2020-10-23 19:00:00,71,245,Aston Villa,Leeds,LED,AVL,0,3,1.50125,2.37695,True,True,https://understat.com/match/14486
ENG-Premier League,2021,2020-10-24 Fulham-Crystal Palace,1,2020,14489,2020-10-24 14:00:00,228,78,Fulham,Crystal Palace,CRY,FLH,1,2,1.05258,2.81049,True,True,https://understat.com/match/14489
ENG-Premier League,2021,2020-10-24 Liverpool-Sheffield United,1,2020,14490,2020-10-24 19:00:00,87,238,Liverpool,Sheffield United,SHE,LIV,2,1,2.40286,1.39788,True,True,https://understat.com/match/14490
ENG-Premier League,2021,2020-10-24 Manchester United-Chelsea,1,2020,14491,2020-10-24 16:30:00,89,80,Manchester United,Chelsea,CHE,MUN,0,0,0.648427,0.219906,True,True,https://understat.com/match/14491
ENG-Premier League,2021,2020-10-24 West Ham-Manchester City,1,2020,14493,2020-10-24 11:30:00,81,88,West Ham,Manchester City,MCI,WHU,1,1,0.263739,0.892456,True,True,https://understat.com/match/14493
ENG-Premier League,2021,2020-10-25 Arsenal-Leicester,1,2020,14485,2020-10-25 19:15:00,83,75,Arsenal,Leicester,LEI,ARS,0,1,0.73944,0.736172,True,True,https://understat.com/match/14485
ENG-Premier League,2021,2020-10-25 Southampton-Everton,1,2020,14492,2020-10-25 14:00:00,74,72,Southampton,Everton,EVE,SOU,2,0,0.74151,0.287054,True,True,https://understat.com/match/14492
ENG-Premier League,2021,2020-10-25 Wolverhampton Wanderers-Newcastle United,1,2020,14494,2020-10-25 16:30:00,229,86,Wolverhampton Wanderers,Newcastle United,NEW,WOL,1,1,0.758626,0.253685,True,True,https://understat.com/match/14494
ENG-Premier League,2021,2020-10-26 Brighton-West Bromwich Albion,1,2020,14487,2020-10-26 17:30:00,220,76,Brighton,West Bromwich Albion,WBA,BRI,1,1,0.546807,0.295654,True,True,https://understat.com/match/14487
ENG-Premier League,2021,2020-10-26 Burnley-Tottenham,1,2020,14488,2020-10-26 20:00:00,92,82,Burnley,Tottenham,TOT,BUR,0,1,0.95045,0.797344,True,True,https://understat.com/match/14488
ENG-Premier League,2021,2020-10-30 Wolverhampton Wanderers-Crystal Palace,1,2020,14504,2020-10-30 20:00:00,229,78,Wolverhampton Wanderers,Crystal Palace,CRY,WOL,2,0,1.34895,0.802767,True,True,https://understat.com/match/14504
