fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%
1222610,2024-08-10T14:00:00+00:00,Community Shield,2024,Final,Manchester City,50,True,Manchester United,33,1,1,Draw,1,PEN,1.0,5.0,9.0,3.0,6.0,3.0,10.0,6.0,2.0,56%,2.0,1.0,505.0,440.0,87%,,,,,,,,,,,,,,,
1222610,2024-08-10T14:00:00+00:00,Community Shield,2024,Final,Manchester United,33,False,Manchester City,50,1,1,Draw,1,PEN,,,,,,,,,,,,,,,,2.0,4.0,8.0,2.0,5.0,3.0,9.0,2.0,3.0,44%,1.0,0.0,399.0,342.0,86%
