team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Dynamo Kyiv,1,90,0,0,3,1,0,0,0,7.7
RB Leipzig,1,90,0,0,0,1,0,0,0,7.6
FC Bayern München,1,90,0,0,3,0,0,0,0,7.5
Real Madrid,13,1230,0,0,5,3,2,0,0,7.48
Sheriff Tiraspol,5,450,0,2,4,1,0,0,0,7.42
Juventus,1,90,0,0,0,0,0,0,0,7.3
Paris Saint-Germain,5,450,0,0,12,0,0,0,1,7.28
Paris Saint-Germain,3,270,0,0,3,2,0,0,0,7.13
Benfica,10,900,1,0,5,3,3,0,0,7.12
VfL Wolfsburg,1,90,0,0,1,1,0,0,0,7.1
Milan,3,270,0,0,3,1,0,0,0,7.1
Sheriff Tiraspol,1,90,0,0,2,0,1,0,0,7.0
FC Bayern München,9,810,0,0,3,1,0,0,0,6.93
Sevilla,6,540,0,0,2,0,1,0,0,6.93
VfL Wolfsburg,5,450,0,0,3,2,0,0,0,6.92
Atlético Madrid,10,900,0,0,5,6,0,0,0,6.91
Lille,6,540,0,0,2,2,3,0,0,6.88
Zenit St. Petersburg,4,360,0,0,11,6,1,0,0,6.88
Shakhtar Donetsk,3,270,0,0,1,0,0,0,0,6.87
Shakhtar Donetsk,3,266,0,0,3,1,0,0,0,6.87
Villarreal,12,1080,0,0,20,2,3,0,3,6.84
Milan,3,270,0,0,1,1,2,0,1,6.83
BSC Young Boys,3,270,0,0,2,0,0,0,0,6.83
Inter,8,720,1,0,4,0,1,0,0,6.81
Manchester United,1,68,0,0,3,1,0,0,0,6.8
Manchester City,1,90,1,0,1,0,1,0,0,6.8
Malmö FF,4,315,0,0,3,0,0,0,0,6.8
Malmö FF,3,225,0,0,3,2,0,0,0,6.77
AFC Ajax,6,540,1,0,1,0,1,0,1,6.75
Manchester United,7,630,0,0,0,0,0,0,1,6.74
FC Barcelona,6,540,0,0,2,0,0,0,0,6.73
Manchester City,1,17,0,0,0,0,0,0,0,6.7
Beşiktaş JK,1,90,0,0,0,0,0,0,0,6.7
Borussia Dortmund,6,540,1,0,2,0,2,0,0,6.7
Club Brugge KV,6,540,0,0,5,1,1,0,0,6.7
Juventus,7,630,0,0,4,1,0,0,0,6.69
BSC Young Boys,3,270,0,1,0,0,0,0,0,6.67
Atalanta,6,540,1,0,2,1,1,0,0,6.65
Chelsea,9,840,0,0,2,2,0,0,1,6.64
Liverpool FC,13,1170,1,0,7,0,3,0,0,6.64
FC Porto,6,540,1,0,1,1,1,0,2,6.62
Sporting CP,7,630,0,0,9,4,0,0,0,6.59
Manchester City,11,1003,0,1,3,1,1,0,0,6.54
Chelsea,1,90,0,0,0,0,0,0,0,6.5
Manchester United,1,22,0,0,0,0,0,0,0,6.5
Red Bull Salzburg,8,720,0,0,5,2,1,0,1,6.49
Zenit St. Petersburg,2,180,0,0,0,1,0,0,0,6.4
Dynamo Kyiv,5,450,0,0,6,1,0,0,0,6.4
Beşiktaş JK,5,450,0,0,3,0,0,0,0,6.36
Shakhtar Donetsk,1,8,0,0,0,0,0,0,0,6.3
