team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Dynamo Kyiv,1,90,0,0,0,16,8,0,0,0,5,0,7.7
RB Leipzig,1,90,0,0,0,13,10,0,0,0,10,0,7.6
FC Bayern München,1,90,0,0,0,24,2,0,0,0,9,0,7.5
Real Madrid,13,1230,0,0,0,300,63,1,0,0,108,0,7.48
Sheriff Tiraspol,5,450,0,0,0,100,41,0,0,2,34,0,7.42
Juventus,1,90,0,0,0,12,4,0,0,0,9,0,7.3
Paris Saint-Germain,5,450,0,0,0,98,19,0,0,0,41,0,7.28
Paris Saint-Germain,3,270,0,0,0,71,10,0,0,0,25,0,7.13
Benfica,10,900,0,0,0,197,69,0,1,0,74,0,7.12
VfL Wolfsburg,1,90,0,0,0,20,7,0,0,0,12,0,7.1
Milan,3,270,0,0,0,66,18,0,0,0,27,0,7.1
Sheriff Tiraspol,1,90,0,0,0,20,4,0,0,0,8,0,7.0
FC Bayern München,9,810,1,2,1,284,63,0,0,0,67,0,6.93
Sevilla,6,540,0,0,0,128,31,1,0,0,38,0,6.93
VfL Wolfsburg,5,450,0,0,0,111,48,0,0,0,41,0,6.92
Atlético Madrid,10,900,0,0,0,120,51,0,0,0,85,0,6.91
Lille,6,540,0,0,0,66,33,0,0,0,51,0,6.88
Zenit St. Petersburg,4,360,0,0,0,61,22,1,0,0,23,0,6.88
Shakhtar Donetsk,3,270,0,0,0,61,14,0,0,0,24,0,6.87
Shakhtar Donetsk,3,266,0,0,0,65,11,0,0,0,15,0,6.87
Villarreal,12,1080,0,0,0,284,75,0,0,0,106,0,6.84
Milan,3,270,0,0,0,60,14,0,0,0,31,0,6.83
BSC Young Boys,3,270,0,0,0,93,26,0,0,0,15,0,6.83
Inter,8,720,0,0,0,188,32,0,1,0,56,0,6.81
Manchester United,1,68,0,0,0,12,1,0,0,0,11,0,6.8
Manchester City,1,90,0,0,0,19,0,0,1,0,6,0,6.8
Malmö FF,4,315,0,0,0,41,22,0,0,0,26,0,6.8
Malmö FF,3,225,0,0,0,40,15,0,0,0,17,0,6.77
AFC Ajax,6,540,0,1,0,189,32,0,1,0,24,0,6.75
Manchester United,7,630,0,0,0,105,33,0,0,0,24,0,6.74
FC Barcelona,6,540,0,0,0,163,36,0,0,0,40,0,6.73
Manchester City,1,17,0,0,0,5,1,0,0,0,1,0,6.7
Beşiktaş JK,1,90,0,0,0,24,13,0,0,0,8,0,6.7
Borussia Dortmund,6,540,0,0,0,141,28,0,1,0,35,0,6.7
Club Brugge KV,6,540,0,0,0,151,71,1,0,0,55,0,6.7
Juventus,7,630,0,0,0,117,29,0,0,0,47,0,6.69
BSC Young Boys,3,270,0,1,0,53,16,0,0,1,16,0,6.67
Atalanta,6,540,0,0,0,98,29,0,1,0,42,0,6.65
Chelsea,9,840,0,0,0,142,20,0,0,0,55,0,6.64
Liverpool FC,13,1170,0,0,0,360,59,2,1,0,110,0,6.64
FC Porto,6,540,0,0,0,150,68,0,1,0,58,0,6.62
Sporting CP,7,630,0,0,0,134,33,0,0,0,64,0,6.59
Manchester City,11,1003,0,0,0,241,43,0,0,1,62,0,6.54
Chelsea,1,90,0,0,0,21,4,0,0,0,5,0,6.5
Manchester United,1,22,0,0,0,5,2,0,0,0,3,0,6.5
Red Bull Salzburg,8,720,0,0,0,127,46,0,0,0,61,0,6.49
Zenit St. Petersburg,2,180,0,0,0,22,6,0,0,0,7,0,6.4
Dynamo Kyiv,5,450,0,0,0,109,38,0,0,0,37,0,6.4
Beşiktaş JK,5,450,0,0,0,82,36,0,0,0,46,0,6.36
Shakhtar Donetsk,1,8,0,0,0,1,0,0,0,0,2,0,6.3
Lille,2,180,0,0,0,17,4,0,0,0,11,0,6.3
RB Leipzig,5,450,0,0,0,121,30,0,0,1,35,0,6.18
AFC Ajax,2,180,0,0,0,42,2,1,0,0,7,0,6.15
Sporting CP,1,90,0,0,0,23,4,0,0,0,8,0,6.1
Zenit St. Petersburg,5,444,2,14,2,195,17,3,16,10,30,0,7.64
Liverpool FC,3,180,0,4,1,78,8,5,6,1,11,0,7.5
Manchester City,9,840,3,14,4,577,38,19,13,25,49,2,7.49
Liverpool FC,9,794,3,23,5,550,58,5,17,9,73,0,7.44
Liverpool FC,5,344,2,9,4,148,11,5,7,6,36,0,7.44
Sporting CP,6,540,0,0,0,200,11,2,11,9,26,2,7.37
Chelsea,6,504,0,9,1,321,9,7,14,7,36,1,7.35
Manchester United,2,180,0,0,0,97,5,1,3,5,11,0,7.35
FC Bayern München,7,483,2,8,2,227,4,27,17,6,37,0,7.34
AFC Ajax,8,720,1,8,2,642,40,2,13,12,70,0,7.31
Villarreal,2,92,0,2,1,31,0,0,2,0,6,0,7.3
Juventus,7,580,0,1,1,384,48,1,8,15,24,0,7.27
Inter,8,720,0,1,0,411,15,3,15,9,30,1,7.25
Liverpool FC,10,826,3,25,3,495,17,9,9,12,62,0,7.22
Atlético Madrid,10,822,0,4,0,300,17,5,34,10,58,0,7.22
Manchester United,4,292,0,4,0,155,5,4,5,5,9,1,7.2
Manchester City,1,90,0,0,0,58,1,3,0,0,5,0,7.2
Paris Saint-Germain,2,165,0,0,0,102,8,1,6,5,12,0,7.2
Sevilla,5,450,0,0,0,308,24,5,4,9,39,0,7.2
FC Porto,5,349,0,2,1,159,29,0,4,6,36,0,7.2
Liverpool FC,9,810,0,0,0,629,50,4,5,13,55,0,7.2
Chelsea,9,762,1,6,0,571,23,0,7,12,56,0,7.18
Liverpool FC,8,720,0,4,0,466,19,2,16,13,48,2,7.18
Atalanta,4,360,0,6,4,180,12,0,14,4,34,0,7.18
Zenit St. Petersburg,6,497,2,3,0,286,43,4,4,9,43,1,7.15
Atalanta,5,450,1,1,1,208,10,0,16,13,38,1,7.14
AFC Ajax,8,571,1,6,1,359,25,6,12,5,37,1,7.13
FC Bayern München,8,571,0,1,0,484,24,7,16,10,61,0,7.13
Juventus,5,450,1,4,0,328,18,1,9,11,22,0,7.12
FC Bayern München,10,764,1,4,1,612,27,2,14,18,43,0,7.11
FC Barcelona,5,393,0,0,0,268,16,0,7,10,33,1,7.1
AFC Ajax,8,661,2,10,1,330,11,10,28,4,38,0,7.1
Shakhtar Donetsk,1,90,0,1,0,100,2,1,0,1,6,0,7.1
Chelsea,4,194,0,4,1,67,2,0,7,1,7,0,7.1
Paris Saint-Germain,8,720,1,2,1,490,34,0,10,4,46,0,7.09
Borussia Dortmund,5,358,0,2,1,272,20,3,14,7,26,0,7.08
Chelsea,9,840,1,5,1,679,49,3,13,6,48,1,7.08
Juventus,4,286,1,6,1,121,4,3,11,7,15,0,7.08
FC Bayern München,8,660,0,2,0,516,40,5,15,14,59,0,7.08
Real Madrid,12,1076,0,0,0,558,30,4,25,26,58,0,7.08
AFC Ajax,8,570,0,0,0,473,15,7,11,11,40,0,7.06
FC Barcelona,5,375,1,5,2,248,4,1,2,6,23,0,7.06
Real Madrid,11,959,1,14,3,494,32,7,16,12,59,0,7.05
Chelsea,8,603,1,2,1,527,17,5,8,7,41,1,7.05
Benfica,9,810,0,6,0,323,28,0,13,19,41,0,7.04
Atlético Madrid,5,450,0,1,0,152,21,2,7,10,24,0,7.04
Sevilla,6,539,0,0,0,361,40,2,7,3,48,0,7.03
Sheriff Tiraspol,6,540,0,1,0,154,26,1,17,6,25,0,7.03
Milan,5,392,0,1,0,201,11,1,8,9,17,0,7.02
Juventus,7,553,0,4,0,280,16,3,18,6,35,1,7.01
Benfica,2,180,0,0,0,123,4,1,3,2,9,1,7.0
Manchester United,6,534,0,1,0,307,41,1,8,5,29,1,7.0
Inter,6,487,0,2,0,302,13,0,5,11,31,1,7.0
