team,appearances,minutesPlayed,saves,goalsConceded,rating
Dynamo Kyiv,1,90,4,0,7.7
RB Leipzig,1,90,3,0,7.6
FC Bayern München,1,90,4,1,7.5
Real Madrid,13,1230,59,14,7.48
Sheriff Tiraspol,5,450,27,8,7.42
Juventus,1,90,2,0,7.3
Paris Saint-Germain,5,450,19,6,7.28
Paris Saint-Germain,3,270,11,5,7.13
Benfica,10,900,37,17,7.12
VfL Wolfsburg,1,90,5,2,7.1
Milan,3,270,7,2,7.1
Sheriff Tiraspol,1,90,5,3,7.0
FC Bayern München,9,810,14,6,6.93
Sevilla,6,540,14,5,6.93
VfL Wolfsburg,5,450,18,8,6.92
Atlético Madrid,10,900,26,10,6.91
Lille,6,540,12,4,6.88
Zenit St. Petersburg,4,360,11,6,6.88
Shakhtar Donetsk,3,270,17,9,6.87
Shakhtar Donetsk,3,266,6,2,6.87
Villarreal,12,1080,41,16,6.84
Milan,3,270,14,7,6.83
BSC Young Boys,3,270,11,6,6.83
Inter,8,720,12,7,6.81
Manchester United,1,68,3,1,6.8
Manchester City,1,90,3,2,6.8
Malmö FF,4,315,19,8,6.8
Malmö FF,3,225,12,6,6.77
AFC Ajax,6,540,14,6,6.75
Manchester United,7,630,20,9,6.74
FC Barcelona,6,540,16,9,6.73
Manchester City,1,17,1,0,6.7
Beşiktaş JK,1,90,4,2,6.7
Borussia Dortmund,6,540,13,11,6.7
Club Brugge KV,6,540,27,20,6.7
Juventus,7,630,13,10,6.69
BSC Young Boys,3,270,9,6,6.67
Atalanta,6,540,21,13,6.65
Chelsea,9,840,9,7,6.64
Liverpool FC,13,1170,14,14,6.64
FC Porto,6,540,18,11,6.62
Sporting CP,7,630,17,13,6.59
Manchester City,11,1003,15,14,6.54
Chelsea,1,90,4,3,6.5
Manchester United,1,22,0,0,6.5
Red Bull Salzburg,8,720,16,14,6.49
Zenit St. Petersburg,2,180,5,4,6.4
Dynamo Kyiv,5,450,13,11,6.4
Beşiktaş JK,5,450,20,17,6.36
Shakhtar Donetsk,1,8,1,1,6.3
Lille,2,180,4,4,6.3
RB Leipzig,5,450,11,14,6.18
AFC Ajax,2,180,2,2,6.15
Sporting CP,1,90,3,4,6.1
Zenit St. Petersburg,5,444,0,6,7.64
Liverpool FC,3,180,0,1,7.5
Manchester City,9,840,0,11,7.49
Liverpool FC,9,794,0,9,7.44
Liverpool FC,5,344,0,4,7.44
Sporting CP,6,540,0,8,7.37
Chelsea,6,504,0,8,7.35
Manchester United,2,180,0,3,7.35
FC Bayern München,7,483,0,4,7.34
AFC Ajax,8,720,0,8,7.31
Villarreal,2,92,0,0,7.3
Juventus,7,580,0,6,7.27
Inter,8,720,0,7,7.25
Liverpool FC,10,826,0,10,7.22
Atlético Madrid,10,822,0,4,7.22
Manchester United,4,292,0,2,7.2
Manchester City,1,90,0,0,7.2
Paris Saint-Germain,2,165,0,2,7.2
Sevilla,5,450,0,5,7.2
FC Porto,5,349,0,4,7.2
Liverpool FC,9,810,0,8,7.2
Chelsea,9,762,0,7,7.18
Liverpool FC,8,720,0,8,7.18
Atalanta,4,360,0,8,7.18
Zenit St. Petersburg,6,497,0,8,7.15
Atalanta,5,450,0,13,7.14
AFC Ajax,8,571,0,6,7.13
FC Bayern München,8,571,0,2,7.13
Juventus,5,450,0,6,7.12
FC Bayern München,10,764,0,7,7.11
FC Barcelona,5,393,0,7,7.1
AFC Ajax,8,661,0,7,7.1
Shakhtar Donetsk,1,90,0,1,7.1
Chelsea,4,194,0,1,7.1
Paris Saint-Germain,8,720,0,11,7.09
Borussia Dortmund,5,358,0,4,7.08
Chelsea,9,840,0,7,7.08
Juventus,4,286,0,4,7.08
FC Bayern München,8,660,0,5,7.08
Real Madrid,12,1076,0,11,7.08
AFC Ajax,8,570,0,6,7.06
FC Barcelona,5,375,0,2,7.06
Real Madrid,11,959,0,11,7.05
Chelsea,8,603,0,6,7.05
Benfica,9,810,0,12,7.04
Atlético Madrid,5,450,0,3,7.04
Sevilla,6,539,0,5,7.03
Sheriff Tiraspol,6,540,0,11,7.03
Milan,5,392,0,6,7.02
Juventus,7,553,0,6,7.01
Benfica,2,180,0,5,7.0
Manchester United,6,534,0,8,7.0
Inter,6,487,0,4,7.0
Villarreal,12,1080,0,16,7.0
Beşiktaş JK,1,90,0,2,7.0
Juventus,4,180,0,2,7.0
Shakhtar Donetsk,4,360,0,6,7.0
Manchester United,3,233,0,4,6.97
FC Bayern München,7,515,0,1,6.96
FC Barcelona,4,345,0,3,6.95
Manchester City,7,577,0,7,6.94
Manchester City,6,326,0,6,6.93
AFC Ajax,3,139,0,2,6.93
Borussia Dortmund,3,182,0,1,6.93
BSC Young Boys,6,462,0,11,6.93
Liverpool FC,7,630,0,9,6.93
Lille,7,591,0,4,6.93
Manchester United,5,353,0,6,6.92
Sevilla,5,380,0,3,6.92
Red Bull Salzburg,5,437,0,5,6.92
Real Madrid,12,1040,0,11,6.92
Benfica,10,900,0,17,6.91
Shakhtar Donetsk,1,90,0,2,6.9
Liverpool FC,2,91,0,1,6.9
Sevilla,4,192,0,1,6.9
Manchester United,5,426,0,6,6.9
Lille,5,418,0,6,6.9
Benfica,5,236,0,0,6.9
Sporting CP,6,368,0,10,6.9
Villarreal,12,1045,0,15,6.89
Atlético Madrid,9,700,0,4,6.89
Manchester City,8,501,0,12,6.89
Lille,8,720,0,8,6.89
Lille,7,537,0,8,6.89
Chelsea,9,680,0,8,6.88
Manchester City,9,796,0,9,6.88
BSC Young Boys,4,347,0,7,6.88
Manchester City,8,637,0,5,6.88
Manchester City,8,663,0,13,6.87
Real Madrid,10,867,0,11,6.87
Sheriff Tiraspol,6,540,0,11,6.87
Sporting CP,6,509,0,13,6.87
AFC Ajax,3,146,0,2,6.87
Milan,3,270,0,4,6.87
Dynamo Kyiv,6,540,0,11,6.87
Chelsea,8,546,0,4,6.86
Red Bull Salzburg,7,573,0,14,6.86
Atalanta,6,370,0,6,6.85
Red Bull Salzburg,2,29,0,0,6.85
FC Bayern München,4,52,0,1,6.85
