score_decile,N,mean_score,actual_rate,calibration_gap
"(0.385, 0.437]",561,0.4234799,0.1711229946524064,0.25235692001281573
"(0.437, 0.452]",561,0.4455409,0.21568627450980393,0.22985463048897536
"(0.452, 0.465]",561,0.4583545,0.20320855614973263,0.2551459467666034
"(0.465, 0.476]",560,0.47026268,0.2357142857142857,0.23454839076314654
"(0.476, 0.487]",561,0.48136944,0.21746880570409982,0.2639006300831011
"(0.487, 0.5]",560,0.49346226,0.2839285714285714,0.20953369310923986
"(0.5, 0.516]",561,0.5075337,0.3172905525846702,0.1902431764917153
"(0.516, 0.535]",560,0.5251768,0.3053571428571429,0.2198196802820478
"(0.535, 0.563]",561,0.54805875,0.38324420677361853,0.16481454147162072
"(0.563, 0.623]",561,0.5837404,0.43315508021390375,0.15058533297503057
