name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,lastName,averageX,averageY,pointsCount,team,match
Matteo Cocchi,Matteo Cocchi,matteo-cocchi,M. Cocchi,D,43,1113,M,1416579,"{'nameTranslation': {'ar': 'ماتيو كوتشي'}, 'shortNameTranslation': {'ar': 'م. كوتشي'}}",,,36.38,89.04,5,Inter,1741723200_inter_vs_feyenoord
Thomas Berenbruch,,thomas-berenbruch,T. Berenbruch,M,44,911,M,1488281,"{'nameTranslation': {'ar': 'توماس بيرينبروخ'}, 'shortNameTranslation': {'ar': 'ت. بيرينبروخ'}}",,,66.415384615385,27.892307692308,13,Inter,1741723200_inter_vs_feyenoord
Marko Arnautović,,marko-arnautovic,M. Arnautović,F,89,8673,M,21927,"{'nameTranslation': {'ar': 'ماركو أرناؤوتوفيتش', 'bn': 'মার্কো আরনাউটোভিচ', 'hi': 'मार्को अर्नौटोविक'}, 'shortNameTranslation': {'ar': 'م. أرناؤوتوفيتش', 'bn': 'এম. আরনাউটোভিচ', 'hi': 'एम. अर्नौटोविक'}}",m.arnautovic7,,66.5,42.7625,16,Inter,1741723200_inter_vs_feyenoord
Davide Frattesi,Davide,davide-frattesi,D. Frattesi,M,16,5944,M,835600,"{'nameTranslation': {'ar': 'دافيد فراتيسي', 'bn': 'ডেভিড ফ্রাটেসি', 'hi': 'डेविड फ्रेटेसी'}, 'shortNameTranslation': {'ar': 'د. فراتيسي', 'bn': 'ডি. ফ্রাটেসি', 'hi': 'डी. फ्रेटेसी'}}",davidefrrattesi_22,Frattesi,55.185185185185,38.0,27,Inter,1741723200_inter_vs_feyenoord
Marcus Thuram,Marcus,marcus-thuram,M. Thuram,F,9,27510,M,791702,"{'nameTranslation': {'ar': 'ماركوس تورام', 'bn': 'থুরাম, মার্কাস', 'hi': 'थुरम, मार्कस'}, 'shortNameTranslation': {'ar': 'م. تورام', 'bn': 'এম. থুরাম', 'hi': 'एम. मार्कस'}}",m_thuram,Thuram,63.181481481481,51.059259259259,27,Inter,1741723200_inter_vs_feyenoord
Alessandro Bastoni,Alessandro,alessandro-bastoni,A. Bastoni,D,95,18763,M,826188,"{'nameTranslation': {'ar': 'أليساندرو باستوني', 'bn': 'আলেসান্দ্রো বাস্তনি', 'hi': 'एलेसेंड्रो बस्टोनी'}, 'shortNameTranslation': {'ar': 'أ. باستوني', 'bn': 'এ. বাস্তনি', 'hi': 'ए. बस्टोनी'}}",alessandrobastoni,Bastoni,36.506451612903,78.748387096774,31,Inter,1741723200_inter_vs_feyenoord
Kristjan Asllani,,kristjan-asllani,K. Asllani,M,23,6375,M,996820,"{'nameTranslation': {'ar': 'كريستيان أسلاني', 'bn': 'ক্রিশ্চিয়ান আসলানি', 'hi': 'क्रिस्टजान अस्लानी'}, 'shortNameTranslation': {'ar': 'ك. أسلاني', 'bn': 'কে. আসলানি', 'hi': 'के. अस्लानी'}}",KristjanAsllani,,53.740625,48.109375,32,Inter,1741723200_inter_vs_feyenoord
Carlos Augusto,,carlos-augusto,C. Augusto,D,30,7943,M,929199,"{'nameTranslation': {'ar': 'كارلوس أوغستو', 'bn': 'কার্লোস অগাস্টো', 'hi': 'कार्लोस ऑगस्टो'}, 'shortNameTranslation': {'ar': 'ك. أوغستو', 'bn': 'সি. অগাস্টো', 'hi': 'सी. ऑगस्टो'}}",,,36.378571428571,82.214285714286,56,Inter,1741723200_inter_vs_feyenoord
Mehdi Taremi,Mehdi,mehdi-taremi,M. Taremi,F,99,20354,M,812533,"{'nameTranslation': {'ar': 'مهدي طارمي', 'bn': 'মেহেদী তারেমি', 'hi': 'मेहदी तारेमी'}, 'shortNameTranslation': {'ar': 'م. طارمي', 'bn': 'এম. তারেমি', 'hi': 'एम. तारेमी'}}",mehditaremi9,Taremi,59.89512195122,54.521951219512,41,Inter,1741723200_inter_vs_feyenoord
Denzel Dumfries,Denzel,denzel-dumfries,D. Dumfries,M,2,15834,M,759520,"{'nameTranslation': {'ar': 'دينزل دومفريز', 'bn': 'ডেনজেল \u200b\u200bডামফ্রিজ', 'hi': 'डेंज़ल डमफ्रिज़'}, 'shortNameTranslation': {'ar': 'د. دومفريز', 'bn': 'ডি. ডামফ্রিজ', 'hi': 'डी. डमफ्रिज़'}}",ddumfries2,Dumfries,41.731147540984,21.354098360656,61,Inter,1741723200_inter_vs_feyenoord
Yann Sommer,,yann-sommer,Y. Sommer,G,1,12877,M,16206,"{'nameTranslation': {'ar': 'يان زومر', 'bn': 'জন সোমার', 'hi': 'यान सोमर'}, 'shortNameTranslation': {'ar': 'ي. زومر', 'bn': 'ওয়াই. সোমার', 'hi': 'वाई. सोमर'}}",yannsommer,,10.526923076923,47.369230769231,78,Inter,1741723200_inter_vs_feyenoord
Francesco Acerbi,Francesco,francesco-acerbi,F. Acerbi,D,15,5753,M,126816,"{'nameTranslation': {'ar': 'فرانشيسكو أتشيربي', 'bn': 'ফ্রান্সেসকো অ্যাসারবি', 'hi': 'फ्रांसेस्को एसेरबी'}, 'shortNameTranslation': {'ar': 'ف. أتشيربي', 'bn': 'এফ. অ্যাসারবি', 'hi': 'एफ. एसेरबी'}}",,Acerbi,25.211904761905,52.425,84,Inter,1741723200_inter_vs_feyenoord
Benjamin Pavard,Benjamin,benjamin-pavard,B. Pavard,D,28,11045,M,787505,"{'nameTranslation': {'ar': 'بنيامين بافارد', 'bn': 'বেঞ্জামিন পাভার্ড', 'hi': 'बेंजामिन पावर्ड'}, 'shortNameTranslation': {'ar': 'ب. بافارد', 'bn': 'বি. পাভার্ড', 'hi': 'बी. पावर्ड'}}",benpavard21,Pavard,38.134722222222,24.652777777778,72,Inter,1741723200_inter_vs_feyenoord
