name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Cody Gakpo,Cody,Gakpo,cody-gakpo,C. Gakpo,M,18,51987,M,CodyGakpo,862967,"{'nameTranslation': {'ar': 'كودي جاكبو', 'bn': 'কোডি গাকপো', 'hi': 'कोडी गाकपो'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'bn': 'সি. গাকপো', 'hi': 'सी. गाकपो'}}",53.5875,84.6375,8,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Harvey Elliott,,,harvey-elliott,H. Elliott,M,9,20993,M,harvelliott,955245,"{'nameTranslation': {'ar': 'هارفي إليوت', 'bn': 'হার্ভে এলিয়ট', 'hi': 'हार्वे इलियट'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'bn': 'এইচ. এলিয়ট', 'hi': 'एच. इलियट'}}",48.46,30.07,10,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Darwin Núñez,Darwin,Nunez,darwin-nunez,D. Núñez,F,7,69637,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'bn': 'ডারউইন নুনেজ', 'hi': 'डार्विन नुन्येज़'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'bn': 'ডি. নুনেজ', 'hi': 'डी. नुन्येज़'}}",59.372727272727,51.668181818182,22,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Curtis Jones,,,curtis-jones,C. Jones,M,17,18675,M,curtisjones,927353,"{'nameTranslation': {'ar': 'كيرتس جونز', 'bn': 'কার্টিস জোন্স', 'hi': 'कर्टिस जोन्स'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'bn': 'সি. জোন্স', 'hi': 'सी. जोन्स'}}",51.823076923077,68.957692307692,26,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,10448,M,jarellquansah,1003339,"{'nameTranslation': {'ar': 'جاريل كوانسا', 'bn': 'জারেল কোয়ানসাহ', 'hi': 'जेरेल क्वांसाह'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'bn': 'জে. কোয়ানসাহ', 'hi': 'जे. क्वांसाह'}}",53.197142857143,19.968571428571,35,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Mohamed Salah,Mohamed,Salah,mohamed-salah,M. Salah,M,11,598570,M,MoSalah,159665,"{'nameTranslation': {'ar': 'محمد صلاح', 'bn': 'মোহাম্মদ সালাহ', 'hi': 'मोहम्मद सलाह'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'bn': 'এম. সালাহ', 'hi': 'एम. सलाह'}}",71.364705882353,22.217647058824,102,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Andy Robertson,Andy,Robertson,andy-robertson,A. Robertson,D,26,26113,M,andyrobertson94,262911,"{'nameTranslation': {'ar': 'أندرو روبرتسون', 'bn': 'অ্যান্ড্রু রবার্টসন', 'hi': 'एंड्रयू रॉबर्टसन'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'bn': 'এ. রবার্টসন', 'hi': 'ए. रॉबर्टसन'}}",58.047272727273,84.620909090909,110,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Diogo Jota,,,diogo-jota,D. Jota,F,,30527,M,DiogoJ18,606164,"{'nameTranslation': {'ar': 'ديوغو جوتا', 'bn': 'ডিওগো জোটা', 'hi': 'डियोगो जोटा'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'bn': 'ডি. জোটা', 'hi': 'डी. जोटा'}}",64.434090909091,55.213636363636,44,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Ryan Gravenberch,Ryan,Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,32784,M,ryanjiro,904897,"{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'bn': 'রায়ান গ্রেভেনবার্চ', 'hi': 'रयान ग्रेवेनबेर्च'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'bn': 'আর. গ্রেভেনবেচ', 'hi': 'आर. ग्रेवेनबेर्च'}}",50.3796875,46.1046875,64,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
Alisson,Alisson Ramses,Alisson,alisson,Alisson,G,1,69314,M,AlissonBecker,243609,"{'nameTranslation': {'ar': 'أليسون', 'bn': 'অ্যালিসন', 'hi': 'एलिसन'}, 'shortNameTranslation': {'ar': 'أليسون', 'bn': 'অ্যালিসন', 'hi': 'एलिसन'}}",10.394736842105,47.357894736842,76,Liverpool FC,1741723200_liverpool_fc_vs_paris_saint_germain
