name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,firstName,lastName,averageX,averageY,pointsCount,team,match
Igor Paixão,igor-paixao,I. Paixão,M,14,12846,M,981815,"{'nameTranslation': {'ar': 'إيغور بايشاو', 'bn': 'ইগর পাইক্সাও', 'hi': 'इगोर पेक्साओ'}, 'shortNameTranslation': {'ar': 'إ. بايشاو', 'bn': 'আই. পাইক্সাও', 'hi': 'आई. पेक्साओ'}}",,,,66.676,59.444,25,Feyenoord,1741196700_feyenoord_vs_inter
Julián Carranza,julian-carranza,J. Carranza,F,21,1448,M,895591,"{'nameTranslation': {'ar': 'جوليان كارانزا', 'bn': 'জুলিয়ান ক্যারাঞ্জা', 'hi': 'जूलियन कैरान्ज़ा'}, 'shortNameTranslation': {'ar': 'ج. كارانزا', 'bn': 'জে. ক্যারাঞ্জা', 'hi': 'जे. कैरान्ज़ा'}}",,,,61.596875,36.225,32,Feyenoord,1741196700_feyenoord_vs_inter
Ayase Ueda,ueda-ayase,A. Ueda,F,9,8304,M,985823,"{'nameTranslation': {'ar': 'أويدا، آياسي', 'bn': 'উয়েদা, আয়াস', 'hi': 'उएदा, अयासे'}, 'shortNameTranslation': {'ar': 'آ. أويدا', 'bn': 'এ. উয়েদা', 'hi': 'ए. उएदा'}}",bee18,,,44.5,43.328571428571,7,Feyenoord,1741196700_feyenoord_vs_inter
Timon Wellenreuther,timon-wellenreuther,T. Wellenreuther,G,22,600,M,253875,"{'nameTranslation': {'ar': 'تيمون ويلنرثر', 'bn': 'টিমন ওয়েলেনরেউথার', 'hi': 'टिमोन वेलेनरेउथर'}, 'shortNameTranslation': {'ar': 'ت. ويلنرثر', 'bn': 'টি. ওয়েলেনরিউথার', 'hi': 'टी. वेलेनरेउथर'}}",,Timon,Wellenreuther,12.072,51.466,50,Feyenoord,1741196700_feyenoord_vs_inter
Jeyland Mitchell,jeyland-mitchell,J. Mitchell,D,2,1959,M,1099285,"{'nameTranslation': {'ar': 'جيلاند ميتشل', 'bn': 'জেল্যান্ড মিচেল', 'hi': 'जेलैंड मिशेल'}, 'shortNameTranslation': {'ar': 'ج. ميتشل', 'bn': 'জে. মিচেল', 'hi': 'जे. मिशेल'}}",,,,43.1775,15.98375,80,Feyenoord,1741196700_feyenoord_vs_inter
Anis Hadj Moussa,anis-hadj-moussa,A. H. Moussa,M,23,25131,M,1218066,"{'nameTranslation': {'ar': 'أنيس حاج موسى', 'bn': 'আনিস হাজ মুসা', 'hi': 'अनीस हज़ मूसा'}, 'shortNameTranslation': {'ar': 'أ. ح. موسى', 'bn': 'এ.এইচ. মুসা', 'hi': 'ए. एच. मूसा'}}",hadj.a20,,,63.286956521739,15.14347826087,46,Feyenoord,1741196700_feyenoord_vs_inter
Gijs Smal,gijs-smal,G. Smal,D,5,343,M,860160,"{'nameTranslation': {'ar': 'غيس سمول'}, 'shortNameTranslation': {'ar': 'غ. سمول'}}",,,,48.563636363636,57.966666666667,33,Feyenoord,1741196700_feyenoord_vs_inter
Ibrahim Osman,osman-ibrahim,I. Osman,F,17,2810,M,1471095,"{'nameTranslation': {'ar': 'عثمان، إبراهيم', 'bn': 'ওসমান, ইব্রাহিম', 'hi': 'उस्मान, इब्राहिम'}, 'shortNameTranslation': {'ar': 'إ. عثمان', 'bn': 'আই. ওসমান', 'hi': 'आई. उस्मान'}}",,Ibrahim Osman,,69.457446808511,80.425531914894,47,Feyenoord,1741196700_feyenoord_vs_inter
Thomas Beelen,thomas-beelen,T. Beelen,D,3,424,M,1127916,"{'nameTranslation': {'ar': 'توماس بيلين', 'bn': 'টমাস বিলেন', 'hi': 'थॉमस बीलेन'}, 'shortNameTranslation': {'ar': 'ت. بيلين', 'bn': 'টি. বেলেন', 'hi': 'टी. बीलेन'}}",,,,34.822784810127,34.591139240506,79,Feyenoord,1741196700_feyenoord_vs_inter
Hugo Bueno,hugo-bueno,H. Bueno,D,3,1238,M,1013928,"{'nameTranslation': {'ar': 'هوغو بوينو', 'bn': 'হুগো বুয়েনো', 'hi': 'ह्यूगो ब्यूनो'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'bn': 'এইচ. বুয়েনো', 'hi': 'एच. ब्यूनो'}}",,,,55.127631578947,83.422368421053,76,Feyenoord,1741196700_feyenoord_vs_inter
