name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Jonas Urbig,Jonas Urbig,,jonas-urbig,J. Urbig,G,40,17122,M,1130647,"{'nameTranslation': {'ar': 'جوناس أوربيج', 'bn': 'জোনাস আরবিগ', 'hi': 'जोनास अर्बिग'}, 'shortNameTranslation': {'ar': 'ج. أوربيج', 'bn': 'জে. আরবিগ', 'hi': 'जे. अर्बिग'}}",,5.9777777777778,40.422222222222,9,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
João Palhinha,,,joao-palhinha,J. Palhinha,M,6,17040,M,364612,"{'nameTranslation': {'ar': 'جواو بالينيا', 'bn': 'জোয়াও পালহিনহা', 'hi': 'जोआओ पालहिन्हा'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'bn': 'জে. পলহিনহা', 'hi': 'जे. पालहिन्हा'}}",Palhinha,66.7375,51.425,8,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
Eric Dier,Eric,Dier,eric-dier,E. Dier,D,3,4275,M,146101,"{'nameTranslation': {'ar': 'إريك داير', 'bn': 'এরিক ডিয়ার', 'hi': 'एरिक डिएर'}, 'shortNameTranslation': {'ar': 'إ. داير', 'bn': 'ই. ডিয়ার', 'hi': 'ई. डिएर'}}",ericdier,44.471428571429,75.842857142857,7,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
Manuel Neuer,,,manuel-neuer,M. Neuer,G,1,55915,M,8959,"{'nameTranslation': {'ar': 'مانويل نوير', 'bn': 'ম্যানুয়েল নিউয়ার', 'hi': 'मैनुअल नॉयर'}, 'shortNameTranslation': {'ar': 'م. نوير', 'bn': 'এম. নিউয়ার', 'hi': 'एम. नॉयर'}}",MNeuer,15.936,50.536,25,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
Leroy Sané,,,leroy-sane,L. Sané,M,10,42712,M,293519,"{'nameTranslation': {'ar': 'ليروي ساني', 'bn': 'লিরোয় সানে', 'hi': 'लेरॉय साने'}, 'shortNameTranslation': {'ar': 'ل. ساني', 'bn': 'এল. সানে', 'hi': 'एल. साने'}}",LeroySane,74.886206896552,78.175862068966,29,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
Josip Stanišić,,,josip-stanisic,J. Stanišić,D,44,11237,M,927407,"{'nameTranslation': {'ar': 'يوسيب ستانيشيتش', 'bn': 'জোসিপ স্ট্যানিসিচ', 'hi': 'जोसिप स्टैनिसिक'}, 'shortNameTranslation': {'ar': 'ي. ستانيشيتش', 'bn': 'জে. স্ট্যানিসিচ', 'hi': 'जे. स्टैनिसिक'}}",josip_stanisic,56.507894736842,11.052631578947,38,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
Dayot Upamecano,Dayot,Upamecano,dayot-upamecano,D. Upamecano,D,2,16478,M,798583,"{'nameTranslation': {'ar': 'دايوت أوباميكانو', 'bn': 'ডেওট উপমেকানো', 'hi': 'दयोत उपामेकानो'}, 'shortNameTranslation': {'ar': 'د. أوباميكانو', 'bn': 'ডি. উপমেকানো', 'hi': 'डी. उपामेकानो'}}",Upamecano,42.365555555556,27.901111111111,90,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
Harry Kane,Harry,Kane,harry-kane,H. Kane,F,9,368326,M,108579,"{'nameTranslation': {'ar': 'هاري كين', 'bn': 'হ্যারি কেইন', 'hi': 'हैरी केन'}, 'shortNameTranslation': {'ar': 'ه. كين', 'bn': 'এইচ. কেইন', 'hi': 'एच. केन'}}",HurriKane,63.434146341463,51.665853658537,41,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
Joshua Kimmich,Joshua,Kimmich,joshua-kimmich,J. Kimmich,M,6,48004,M,259117,"{'nameTranslation': {'ar': 'جوشوا كيميش', 'bn': 'জোশুয়া কিমিচ', 'hi': 'जोशुआ किमिच'}, 'shortNameTranslation': {'ar': 'ج. كيميش', 'bn': 'জে. কিমিচ', 'hi': 'जे. किमिच'}}",Jok_32,53.241538461538,52.516923076923,130,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
Kim Min-jae,Kim,Min-jae,kim-min-jae,K. Min-jae,D,3,16367,M,896569,"{'nameTranslation': {'ar': 'كيم مين جاي', 'bn': 'মিন-জায়ে কিম', 'hi': 'मिन-जे किम'}, 'shortNameTranslation': {'ar': 'كيم مين جاي', 'bn': 'এম. কিম', 'hi': 'एम. किम'}}",kiminjae3,39.570491803279,70.665573770492,61,FC Bayern München,1741204800_fc_bayern_m_nchen_vs_bayer_04_leverkusen
