season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_goalkeeper_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Edouard Mendy,sn SEN,30-158,90,3,0,3,100.0
2022-2023,Chelsea 2022 2023,2022-08-14,Premier League,Tottenham Hotspur,2022-08-14_premier_league_tottenham_hotspur_goalkeeper_stats.csv,01e57bf5,https://fbref.com/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,2022-08-14,Premier League,Matchweek 2,Home,Tottenham Hotspur,D,2022-08-14_premier_league_tottenham_hotspur,Chelsea,Edouard Mendy,sn SEN,30-166,90,5,2,3,60.0
2022-2023,Chelsea 2022 2023,2022-08-21,Premier League,Leeds United,2022-08-21_premier_league_leeds_united_goalkeeper_stats.csv,a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Edouard Mendy,sn SEN,30-173,90,6,3,3,50.0
2022-2023,Chelsea 2022 2023,2022-08-27,Premier League,Leicester City,2022-08-27_premier_league_leicester_city_goalkeeper_stats.csv,b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Edouard Mendy,sn SEN,30-179,90,5,1,4,80.0
2022-2023,Chelsea 2022 2023,2022-08-30,Premier League,Southampton,2022-08-30_premier_league_southampton_goalkeeper_stats.csv,afd303a8,https://fbref.com/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League,2022-08-30,Premier League,Matchweek 5,Away,Southampton,L,2022-08-30_premier_league_southampton,Chelsea,Edouard Mendy,sn SEN,30-182,90,5,2,3,60.0
2022-2023,Chelsea 2022 2023,2022-09-03,Premier League,West Ham United,2022-09-03_premier_league_west_ham_united_goalkeeper_stats.csv,d7642197,https://fbref.com/en/matches/d7642197/Chelsea-West-Ham-United-September-3-2022-Premier-League,2022-09-03,Premier League,Matchweek 6,Home,West Ham United,W,2022-09-03_premier_league_west_ham_united,Chelsea,Edouard Mendy,sn SEN,30-186,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-09-06,Champions Lg,Hrdinamo Zagreb,2022-09-06_champions_lg_hrdinamo_zagreb_goalkeeper_stats.csv,07f058d4,https://fbref.com/en/matches/07f058d4/Dinamo-Zagreb-Chelsea-September-6-2022-Champions-League,2022-09-06,Champions Lg,Group stage,Away,hrDinamo Zagreb,L,2022-09-06_champions_lg_hrdinamo_zagreb,Chelsea,Kepa Arrizabalaga,es ESP,27-338,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-09-14,Champions Lg,Atrb Salzburg,2022-09-14_champions_lg_atrb_salzburg_goalkeeper_stats.csv,c36141e9,https://fbref.com/en/matches/c36141e9/Chelsea-Red-Bull-Salzburg-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,atRB Salzburg,D,2022-09-14_champions_lg_atrb_salzburg,Chelsea,Kepa Arrizabalaga,es ESP,27-346,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-10-01,Premier League,Crystal Palace,2022-10-01_premier_league_crystal_palace_goalkeeper_stats.csv,372249f3,https://fbref.com/en/matches/372249f3/Crystal-Palace-Chelsea-October-1-2022-Premier-League,2022-10-01,Premier League,Matchweek 9,Away,Crystal Palace,W,2022-10-01_premier_league_crystal_palace,Chelsea,Kepa Arrizabalaga,es ESP,27-363,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-10-05,Champions Lg,Itmilan,2022-10-05_champions_lg_itmilan_goalkeeper_stats.csv,012a9877,https://fbref.com/en/matches/012a9877/Chelsea-Milan-October-5-2022-Champions-League,2022-10-05,Champions Lg,Group stage,Home,itMilan,W,2022-10-05_champions_lg_itmilan,Chelsea,Kepa Arrizabalaga,es ESP,28-002,90,1,0,1,100.0
