season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Raheem Sterling,17,eng ENG,FW,27-241,90,0,0,0,0,3,0,0,0,3,3,1,0,1,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Kai Havertz,29,de GER,FW,23-056,74,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Armando Broja,18,al ALB,FW,20-330,16,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Mason Mount,19,eng ENG,FW,23-208,64,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Christian Pulisic,10,us USA,"FW,MF",23-322,26,0,0,0,0,1,0,0,0,1,3,0,0,2,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Ben Chilwell,21,eng ENG,LM,25-228,64,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Ruben Loftus-Cheek,12,eng ENG,MF,26-195,26,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Jorginho,5,it ITA,CM,30-229,89,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Conor Gallagher,23,eng ENG,MF,22-181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_player_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,N'Golo Kanté,7,fr FRA,CM,31-130,90,0,0,0,0,1,1,0,0,0,0,1,1,2,2,0,,
