Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Fraser Forster,engENG,GK,34,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Davinson Sánchez,coCOL,DF,26,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Son Heung-min,krKOR,"FW,MF",30,3,3,264,2.9,2,0,2,2,0,0,0,0,0.68,0.00,0.68,0.68,0.68,Matches
Ben Davies,wlsWAL,DF,29,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Perišić,hrCRO,"MF,FW",33,2,2,180,2.0,0,1,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matches
Japhet Tanganga,engENG,DF,23,2,2,180,2.0,0,1,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matches
Pape Matar Sarr,snSEN,MF,19,2,2,163,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Sessegnon,engENG,MF,22,2,2,146,1.6,0,1,1,0,0,0,0,0,0.00,0.62,0.62,0.00,0.62,Matches
Oliver Skipp,engENG,MF,21,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Harry Kane,engENG,FW,29,2,1,116,1.3,1,0,1,1,0,0,0,0,0.78,0.00,0.78,0.78,0.78,Matches
Emerson,brBRA,MF,23,2,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dejan Kulusevski,seSWE,FW,22,2,1,108,1.2,0,1,1,0,0,0,0,0,0.00,0.83,0.83,0.00,0.83,Matches
Bryan Gil,esESP,MF,21,2,1,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yves Bissouma,mlMLI,MF,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Eric Dier,engENG,DF,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Pierre Højbjerg,dkDEN,MF,26,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Clément Lenglet,frFRA,DF,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Pedro Porro,esESP,MF,22,1,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Moura,brBRA,FW,29,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo Bentancur,uyURU,MF,25,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matt Doherty,ieIRL,MF,30,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Richarlison,brBRA,FW,25,1,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Arnaut Danjuma,nlNED,"FW,MF",25,2,0,29,0.3,1,0,1,1,0,0,0,0,3.10,0.00,3.10,3.10,3.10,Matches
Djed Spence,engENG,"DF,MF",21,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alfie Devine,engENG,MF,17,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Brandon Austin,engENG,GK,23,0,0,,,,,,,,,,,,,,,,Matches
Hugo Lloris,frFRA,GK,35,0,0,,,,,,,,,,,,,,,,Matches
Romaine Mundle,engENG,MF,19,0,0,,,,,,,,,,,,,,,,Matches
Cristian Romero,arARG,DF,24,0,0,,,,,,,,,,,,,,,,Matches
Harvey White,engENG,MF,20,0,0,,,,,,,,,,,,,,,,Matches
