accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,position_group
12,0,0.0,0,16,34.04,8,88,96,74.42,1,100.0,0,4,0,0,0,0,29,0,0,0,2,5,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,2,2,0,0,0,3.55,2,100.0,0,2,0,33,0,0,0,4,315,0,,0,0,0,0,0.0,1,0,1,0,34,0,4,7.83,0,0,1,14,3,17,0,4,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,31,0,0,3,100.0,47,28,101,129,31.3,0,1,170,2,0,0,Gregor Kobel,Borussia Dortmund,556866,2673,Goalkeepers
7,0,0.0,1,24,57.14,2,83,85,80.19,1,100.0,0,3,0,0,0,0,16,0,0,0,3,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1.84,0,0.0,0,0,0,21,0,0,0,3,270,0,,0,0,0,0,0.0,0,0,0,0,23,0,0,7.57,0,0,0,7,2,9,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,14,0,0,1,100.0,42,12,94,106,22.7,0,0,133,1,0,0,Manuel Neuer,FC Bayern München,8959,2672,Goalkeepers
59,0,0.0,12,86,46.74,35,200,235,70.36,2,100.0,0,8,1,0,0,0,66,1,0,0,4,7,8,0,0,0,0,0,0,0,0.02,0.0,0,0,0.0,0,0,1,8,8,0,0,0,2.71,1,100.0,0,8,0,99,0,1,0,8,720,0,,0,0,0,0,0.0,4,0,3,0,104,0,4,7.53,0,0,4,19,12,31,0,5,0.0,0.0,0,0,0,0,0,0,0.0,4,0,0,0.0,1,127,0,0,3,100.0,184,113,221,334,60.2,0,1,428,1,0,0,Diogo Costa,FC Porto,843115,3002,Goalkeepers
26,0,0.0,2,41,53.95,20,101,121,76.58,2,100.0,0,5,0,0,0,0,40,0,0,0,3,5,5,0,0,0,0,0,0,0,0.01,0.0,0,0,0.0,0,0,0,5,5,0,0,0,2.11,1,100.0,0,3,0,37,0,0,0,5,450,0,,0,0,0,0,0.0,1,0,0,0,37,0,1,7.48,0,0,4,14,6,20,0,6,0.0,0.0,0,0,0,0,0,0,0.0,4,0,0,0.0,0,43,0,0,3,100.0,76,44,114,158,37.4,0,1,203,1,0,0,Ciprian Tătărușanu,Milan,44453,2692,Goalkeepers
13,0,0.0,2,24,35.29,14,48,62,57.94,1,100.0,0,4,0,0,0,0,29,0,0,0,1,2,4,0,0,0,1,1,0,0,0.0,0.0,0,0,0.0,0,0,0,9,9,0,0,0,0.19,0,0.0,0,6,0,45,0,0,0,4,360,0,,0,0,0,0,0.0,2,0,1,0,45,0,1,7.43,0,0,1,11,13,24,0,5,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,34,0,0,1,50.0,68,51,56,107,29.7,0,0,157,0,0,0,Kamil Grabara,FC København,902080,1284,Goalkeepers
79,0,0.0,8,97,53.59,49,160,209,71.33,3,100.0,0,8,0,0,0,0,66,0,0,0,5,9,8,0,0,0,0,0,0,0,0.01,0.0,0,0,0.0,0,0,0,11,10,1,0,0,4.78,0,0.0,0,6,0,84,1,0,0,8,720,0,,0,0,0,0,0.0,3,0,0,0,88,0,4,7.41,0,0,2,24,10,34,0,8,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,132,0,0,3,100.0,181,106,187,293,59.3,0,1,378,1,2,0,Simon Mignolet,Club Brugge KV,10406,2888,Goalkeepers
63,0,0.0,23,116,50.43,62,284,346,74.89,3,75.0,1,13,0,0,0,0,114,0,0,0,8,6,13,0,0,0,0,1,0,0,0.04,0.0,0,0,0.0,6,0,0,11,10,1,0,0,6.84,3,100.0,0,11,0,116,0,0,0,13,1170,0,,0,0,0,0,0.0,0,0,0,0,118,0,4,7.41,0,0,1,27,20,47,0,10,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,114,0,0,6,85.71,230,150,312,462,96.3,0,2,602,2,2,0,André Onana,Inter,787498,2697,Goalkeepers
2,0,0.0,0,2,50.0,0,32,32,94.12,0,0.0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,2,2,0,0,0,0.86,0,0.0,0,1,0,2,0,0,0,1,90,0,,0,0,0,0,0.0,1,0,0,0,2,0,0,7.4,0,0,0,3,3,6,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,3,0,0,0,0.0,4,0,34,34,7.4,0,0,46,0,0,0,Iñaki Peña,FC Barcelona,794949,2817,Goalkeepers
7,0,0.0,3,8,25.0,5,38,43,64.18,2,100.0,0,2,0,0,0,0,12,0,0,0,2,2,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.89,0,0.0,0,2,0,24,0,0,0,2,180,0,,0,0,0,0,0.0,0,0,0,0,24,0,2,7.4,0,0,0,2,2,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,16,0,0,2,100.0,32,22,45,67,14.8,0,0,82,0,0,0,Marko Dmitrović,Sevilla,94527,2833,Goalkeepers
39,0,0.0,4,41,35.34,9,215,224,74.92,4,100.0,0,10,0,0,0,0,85,0,0,0,5,9,10,0,0,0,2,2,1,0,0.0,0.0,0,0,0.0,0,0,0,11,9,2,0,0,5.85,1,33.33,0,8,0,75,0,0,0,10,900,0,,0,0,0,0,0.0,1,0,1,0,78,0,6,7.34,0,0,1,27,15,42,1,10,0.0,0.0,0,0,0,0,0,0,0.0,0,1,1,100.0,0,95,0,0,5,71.43,116,67,232,299,73.4,0,2,435,0,0,0,Thibaut Courtois,Real Madrid,70988,2829,Goalkeepers
