season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Luis Díaz,23,co COL,FW,25-198,89,0,0,0,0,2,0,0,0,1,1,1,1,2,0,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Fabio Carvalho,28,pt POR,"FW,MF",19-334,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Roberto Firmino,9,br BRA,FW,30-301,58,0,0,0,0,1,0,0,0,1,2,0,0,1,1,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Darwin Núñez,27,uy URU,FW,23-036,32,1,0,0,0,4,2,1,0,0,0,1,1,0,0,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Mohamed Salah,11,eg EGY,FW,30-045,89,1,1,1,1,2,1,0,0,1,0,1,4,0,0,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Curtis Jones,17,eng ENG,"FW,MF",21-181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Thiago Alcántara,6,es ESP,CM,31-110,84,0,0,0,0,1,0,0,0,4,0,0,0,1,2,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Naby Keïta,8,gn GUI,MF,27-170,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Fabinho,3,br BRA,CM,28-280,90,0,0,0,0,0,0,0,0,3,0,0,0,2,0,,,
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_player_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Jordan Henderson,14,eng ENG,CM,32-043,72,0,0,0,0,0,0,0,0,0,0,0,2,1,3,,,
