season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2022-2023,Liverpool 2022 2023,2022-07-30,Community Shield,Manchester City,2022-07-30_community_shield_manchester_city_goalkeeper_stats.csv,341bf7a1,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,2022-07-30,Community Shield,FA Community Shield,Neutral,Manchester City,W,2022-07-30_community_shield_manchester_city,Liverpool,Adrián,es ESP,35-208,90,8,1,7,87.5
2022-2023,Liverpool 2022 2023,2022-08-06,Premier League,Fulham,2022-08-06_premier_league_fulham_goalkeeper_stats.csv,6713c1dc,https://fbref.com/en/matches/6713c1dc/Fulham-Liverpool-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Fulham,D,2022-08-06_premier_league_fulham,Liverpool,Alisson,br BRA,29-308,90,2,2,1,50.0
2022-2023,Liverpool 2022 2023,2022-08-15,Premier League,Crystal Palace,2022-08-15_premier_league_crystal_palace_goalkeeper_stats.csv,b3c6f709,https://fbref.com/en/matches/b3c6f709/Liverpool-Crystal-Palace-August-15-2022-Premier-League,2022-08-15,Premier League,Matchweek 2,Home,Crystal Palace,D,2022-08-15_premier_league_crystal_palace,Liverpool,Alisson,br BRA,29-317,90,3,1,2,66.7
2022-2023,Liverpool 2022 2023,2022-08-22,Premier League,Manchester Utd,2022-08-22_premier_league_manchester_utd_goalkeeper_stats.csv,3c9a8f71,https://fbref.com/en/matches/3c9a8f71/North-West-Derby-Manchester-United-Liverpool-August-22-2022-Premier-League,2022-08-22,Premier League,Matchweek 3,Away,Manchester Utd,L,2022-08-22_premier_league_manchester_utd,Liverpool,Alisson,br BRA,29-324,90,4,2,2,50.0
2022-2023,Liverpool 2022 2023,2022-08-27,Premier League,Bournemouth,2022-08-27_premier_league_bournemouth_goalkeeper_stats.csv,de515487,https://fbref.com/en/matches/de515487/Liverpool-Bournemouth-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Bournemouth,W,2022-08-27_premier_league_bournemouth,Liverpool,Alisson,br BRA,29-329,90,2,0,2,100.0
2022-2023,Liverpool 2022 2023,2022-08-31,Premier League,Newcastle United,2022-08-31_premier_league_newcastle_united_goalkeeper_stats.csv,ac6047cf,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Home,Newcastle United,W,2022-08-31_premier_league_newcastle_united,Liverpool,Alisson,br BRA,29-333,90,2,1,1,50.0
2022-2023,Liverpool 2022 2023,2022-09-03,Premier League,Everton,2022-09-03_premier_league_everton_goalkeeper_stats.csv,073227b6,https://fbref.com/en/matches/073227b6/Merseyside-Derby-Everton-Liverpool-September-3-2022-Premier-League,2022-09-03,Premier League,Matchweek 6,Away,Everton,D,2022-09-03_premier_league_everton,Liverpool,Alisson,br BRA,29-336,90,4,0,3,100.0
2022-2023,Liverpool 2022 2023,2022-09-07,Champions Lg,Itnapoli,2022-09-07_champions_lg_itnapoli_goalkeeper_stats.csv,18676900.0,https://fbref.com/en/matches/186769e2/Napoli-Liverpool-September-7-2022-Champions-League,2022-09-07,Champions Lg,Group stage,Away,itNapoli,L,2022-09-07_champions_lg_itnapoli,Liverpool,Alisson,br BRA,29-340,90,7,4,4,57.1
2022-2023,Liverpool 2022 2023,2022-09-13,Champions Lg,Nlajax,2022-09-13_champions_lg_nlajax_goalkeeper_stats.csv,03c10fd7,https://fbref.com/en/matches/03c10fd7/Liverpool-Ajax-September-13-2022-Champions-League,2022-09-13,Champions Lg,Group stage,Home,nlAjax,W,2022-09-13_champions_lg_nlajax,Liverpool,Alisson,br BRA,29-346,90,1,1,0,0.0
2022-2023,Liverpool 2022 2023,2022-10-01,Premier League,Brighton,2022-10-01_premier_league_brighton_goalkeeper_stats.csv,aadd2e80,https://fbref.com/en/matches/aadd2e80/Liverpool-Brighton-and-Hove-Albion-October-1-2022-Premier-League,2022-10-01,Premier League,Matchweek 9,Home,Brighton,D,2022-10-01_premier_league_brighton,Liverpool,Alisson,br BRA,29-364,90,6,3,3,50.0
