season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,47547,A. Moreno,Aston Villa,Missing Fixture,Thigh Injury,2023-08-12,0
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-08-12,0
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-08-12,280
2023-2024,13489,J. Duran,Aston Villa,Missing Fixture,Injury,2023-08-12,0
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2023-08-12,21
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-08-12,91
2023-2024,2922,L. Dendoncker,Aston Villa,Missing Fixture,Muscle Injury,2023-08-12,14
2023-2024,284500,T. Iroegbunam,Aston Villa,Missing Fixture,Surgery,2023-08-12,42
2023-2024,47547,A. Moreno,Aston Villa,Questionable,Thigh Injury,2023-08-20,0
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-08-20,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2023-08-20,21
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-08-20,91
2023-2024,2922,L. Dendoncker,Aston Villa,Missing Fixture,Muscle Injury,2023-08-20,14
2023-2024,284500,T. Iroegbunam,Aston Villa,Missing Fixture,Surgery,2023-08-20,42
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-08-20,273
2023-2024,47547,A. Moreno,Aston Villa,Questionable,Thigh Injury,2023-08-27,0
2023-2024,147,Coutinho,Aston Villa,Missing Fixture,Hamstring Injury,2023-08-27,7
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-08-27,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2023-08-27,21
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-08-27,91
2023-2024,2922,L. Dendoncker,Aston Villa,Missing Fixture,Muscle Injury,2023-08-27,14
2023-2024,284500,T. Iroegbunam,Aston Villa,Missing Fixture,Surgery,2023-08-27,42
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-08-27,273
2023-2024,47547,A. Moreno,Aston Villa,Questionable,Thigh Injury,2023-09-03,0
2023-2024,147,Coutinho,Aston Villa,Missing Fixture,Hamstring Injury,2023-09-03,7
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-09-03,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2023-09-03,21
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-09-03,91
2023-2024,284500,T. Iroegbunam,Aston Villa,Missing Fixture,Surgery,2023-09-03,42
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-09-03,273
2023-2024,671,B. Traore,Aston Villa,Questionable,Injury,2023-09-16,0
2023-2024,21090,Diego Carlos,Aston Villa,Missing Fixture,Injury,2023-09-16,7
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-09-16,280
2023-2024,19192,J. Ramsey,Aston Villa,Questionable,Foot Injury,2023-09-16,0
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-09-16,91
2023-2024,284500,T. Iroegbunam,Aston Villa,Missing Fixture,Surgery,2023-09-16,42
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-09-16,273
2023-2024,671,B. Traore,Aston Villa,Questionable,Injury,2023-09-24,0
2023-2024,21090,Diego Carlos,Aston Villa,Missing Fixture,Injury,2023-09-24,7
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-09-24,280
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-09-24,91
2023-2024,284500,T. Iroegbunam,Aston Villa,Missing Fixture,Surgery,2023-09-24,42
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-09-24,273
2023-2024,47547,A. Moreno,Aston Villa,Questionable,Injury,2023-09-30,0
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-09-30,280
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-09-30,91
2023-2024,983,L. Bailey,Aston Villa,Missing Fixture,Thigh Injury,2023-09-30,0
2023-2024,284500,T. Iroegbunam,Aston Villa,Questionable,Surgery,2023-09-30,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-09-30,273
2023-2024,47547,A. Moreno,Aston Villa,Missing Fixture,Injury,2023-10-08,202
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-10-08,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Injury,2023-10-08,35
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-10-08,91
2023-2024,284500,T. Iroegbunam,Aston Villa,Questionable,Surgery,2023-10-08,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-10-08,273
2023-2024,47547,A. Moreno,Aston Villa,Missing Fixture,Injury,2023-10-22,202
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-10-22,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Injury,2023-10-22,35
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-10-22,91
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-10-22,273
2023-2024,47547,A. Moreno,Aston Villa,Missing Fixture,Injury,2023-10-29,202
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-10-29,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Injury,2023-10-29,35
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-10-29,91
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-10-29,273
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-11-05,280
2023-2024,13489,J. Duran,Aston Villa,Questionable,Toe Injury,2023-11-05,0
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Injury,2023-11-05,35
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-11-05,91
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-11-05,273
2023-2024,21090,Diego Carlos,Aston Villa,Questionable,Injury,2023-11-12,0
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-11-12,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Injury,2023-11-12,35
2023-2024,19177,K. Hause,Aston Villa,Missing Fixture,Knee Injury,2023-11-12,91
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-11-12,273
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-11-26,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-11-26,280
2023-2024,786,N. Zaniolo,Aston Villa,Questionable,Injury,2023-11-26,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-11-26,273
