season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,15908,M. Damsgaard,Brentford,Missing Fixture,Knock,2023-10-28,42
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-10-28,238
2023-2024,20110,S. Baptiste,Brentford,Questionable,Shoulder Injury,2023-10-28,0
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-11-04,139
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Thigh Injury,2023-11-04,78
2023-2024,106725,K. Lewis-Potter,Brentford,Questionable,Calf Injury,2023-11-04,0
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-11-04,185
2023-2024,15908,M. Damsgaard,Brentford,Missing Fixture,Knock,2023-11-04,42
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-11-04,238
2023-2024,20110,S. Baptiste,Brentford,Questionable,Shoulder Injury,2023-11-04,0
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2023-11-12,211
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-11-12,139
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Thigh Injury,2023-11-12,78
2023-2024,106725,K. Lewis-Potter,Brentford,Questionable,Calf Injury,2023-11-12,0
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-11-12,185
2023-2024,15908,M. Damsgaard,Brentford,Missing Fixture,Knock,2023-11-12,42
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-11-12,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2023-11-25,211
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-11-25,139
2023-2024,19362,J. Dasilva,Brentford,Questionable,Thigh Injury,2023-11-25,0
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-11-25,185
2023-2024,15908,M. Damsgaard,Brentford,Questionable,Knock,2023-11-25,0
2023-2024,19495,N. Collins,Brentford,Missing Fixture,Ankle Injury,2023-11-25,13
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-11-25,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2023-12-02,211
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-12-02,139
2023-2024,19362,J. Dasilva,Brentford,Questionable,Thigh Injury,2023-12-02,0
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-12-02,185
2023-2024,15908,M. Damsgaard,Brentford,Questionable,Knock,2023-12-02,0
2023-2024,47438,M. Jensen,Brentford,Questionable,Knock,2023-12-02,0
2023-2024,19495,N. Collins,Brentford,Missing Fixture,Ankle Injury,2023-12-02,13
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-12-02,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2023-12-06,211
2023-2024,30407,C. Norgaard,Brentford,Missing Fixture,Yellow Cards,2023-12-06,100
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-12-06,139
2023-2024,19362,J. Dasilva,Brentford,Questionable,Thigh Injury,2023-12-06,0
2023-2024,1119,K. Ajer,Brentford,Missing Fixture,Ankle Injury,2023-12-06,23
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-12-06,185
2023-2024,47438,M. Jensen,Brentford,Questionable,Knock,2023-12-06,0
2023-2024,19495,N. Collins,Brentford,Missing Fixture,Ankle Injury,2023-12-06,13
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-12-06,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2023-12-09,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2023-12-09,91
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-12-09,139
2023-2024,19362,J. Dasilva,Brentford,Questionable,Thigh Injury,2023-12-09,0
2023-2024,1119,K. Ajer,Brentford,Missing Fixture,Ankle Injury,2023-12-09,23
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-12-09,185
2023-2024,47438,M. Jensen,Brentford,Questionable,Knock,2023-12-09,0
2023-2024,19495,N. Collins,Brentford,Missing Fixture,Ankle Injury,2023-12-09,13
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-12-09,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2023-12-17,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2023-12-17,91
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-12-17,139
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Thigh Injury,2023-12-17,154
2023-2024,1119,K. Ajer,Brentford,Missing Fixture,Ankle Injury,2023-12-17,23
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-12-17,185
2023-2024,47438,M. Jensen,Brentford,Missing Fixture,Knock,2023-12-17,0
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-12-17,238
