season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2022-2023,18778,H. Barnes,Leicester,Missing Fixture,Knee Injury,2022-08-07,6
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-08-07,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-08-07,167
2022-2023,18778,H. Barnes,Leicester,Missing Fixture,Knee Injury,2022-08-13,6
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-08-13,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-08-13,167
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-08-20,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-08-20,167
2022-2023,18784,J. Maddison,Leicester,Questionable,Injury,2022-08-27,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-08-27,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-08-27,167
2022-2023,22094,W. Fofana,Leicester,Missing Fixture,Personal Reasons,2022-08-27,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-09-01,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-09-01,167
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-09-04,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-09-04,167
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-09-17,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-09-17,167
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-10-03,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-10-03,167
2022-2023,18785,N. Mendy,Leicester,Missing Fixture,Injury,2022-10-08,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-10-08,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-10-08,167
2022-2023,18786,W. Ndidi,Leicester,Missing Fixture,Thigh Injury,2022-10-08,232
2022-2023,18772,J. Evans,Leicester,Questionable,Calf Injury,2022-10-15,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-10-15,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-10-15,167
2022-2023,18786,W. Ndidi,Leicester,Missing Fixture,Thigh Injury,2022-10-15,232
2022-2023,18776,C. Soyuncu,Leicester,Questionable,Knee Injury,2022-10-20,0
2022-2023,18772,J. Evans,Leicester,Questionable,Calf Injury,2022-10-20,0
2022-2023,18784,J. Maddison,Leicester,Missing Fixture,Yellow Cards,2022-10-20,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-10-20,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-10-20,167
2022-2023,18786,W. Ndidi,Leicester,Missing Fixture,Thigh Injury,2022-10-20,232
2022-2023,18772,J. Evans,Leicester,Questionable,Calf Injury,2022-10-23,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-10-23,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-10-23,167
2022-2023,18786,W. Ndidi,Leicester,Missing Fixture,Thigh Injury,2022-10-23,232
2022-2023,18772,J. Evans,Leicester,Questionable,Calf Injury,2022-10-29,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-10-29,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-10-29,167
2022-2023,18772,J. Evans,Leicester,Questionable,Calf Injury,2022-11-05,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-11-05,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-11-05,167
2022-2023,18776,C. Soyuncu,Leicester,Missing Fixture,Thigh Injury,2022-11-12,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2022-11-12,197
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-11-12,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-11-12,167
2022-2023,18772,J. Evans,Leicester,Missing Fixture,Muscle Injury,2022-12-26,26
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2022-12-26,197
2022-2023,18784,J. Maddison,Leicester,Questionable,Knee Injury,2022-12-26,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-12-26,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-12-26,167
2022-2023,2925,D. Praet,Leicester,Missing Fixture,Back Injury,2022-12-30,3
2022-2023,18772,J. Evans,Leicester,Missing Fixture,Muscle Injury,2022-12-30,26
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2022-12-30,197
2022-2023,18784,J. Maddison,Leicester,Missing Fixture,Knee Injury,2022-12-30,14
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2022-12-30,237
