team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
FC Barcelona,1,90,0,0,4,2,0,0,0,8.3
Inter,1,90,0,0,2,0,0,0,0,8.3
Juventus,3,210,0,1,1,0,1,0,0,7.93
Feyenoord,2,126,0,0,5,4,0,0,0,7.85
Girona FC,1,90,0,0,2,1,1,0,0,7.8
Sporting CP,2,180,0,0,2,2,0,0,0,7.75
Shakhtar Donetsk,8,720,0,0,11,10,4,0,1,7.68
Liverpool FC,6,570,0,0,8,1,0,0,0,7.63
Liverpool FC,4,360,0,0,3,2,0,0,0,7.5
Bologna,7,630,2,1,16,7,4,0,0,7.49
FK Crvena zvezda,3,270,1,0,6,1,1,0,0,7.43
Real Madrid,12,1110,0,0,9,5,1,0,0,7.43
Aston Villa,12,1080,1,1,7,3,4,0,2,7.42
Real Madrid,2,180,0,0,1,2,0,0,0,7.4
Inter,14,1290,0,0,25,4,2,0,0,7.39
Bayer 04 Leverkusen,4,360,0,0,5,2,0,0,0,7.3
Girona FC,7,630,0,0,4,2,1,0,1,7.3
Milan,10,861,0,1,6,0,5,0,1,7.26
Arsenal,13,1170,0,0,7,5,0,0,0,7.22
Stade Brestois,9,810,1,0,14,3,1,0,0,7.22
Bologna,1,90,0,0,1,0,0,0,0,7.2
Celtic,10,900,0,0,9,1,0,0,0,7.17
SK Sturm Graz,6,540,0,0,9,4,1,0,0,7.17
FC Barcelona,8,750,0,0,19,2,2,0,1,7.15
Club Brugge KV,12,1080,0,0,8,1,3,0,0,7.13
BSC Young Boys,4,360,0,0,6,0,1,0,0,7.13
Sporting CP,8,720,1,0,4,1,2,0,1,7.13
ŠK Slovan Bratislava,8,720,0,0,13,5,0,0,1,7.13
Lille,10,900,1,0,13,1,2,0,0,7.11
Borussia Dortmund,1,90,0,0,0,0,0,0,0,7.1
Paris Saint-Germain,2,180,0,0,3,0,0,0,1,7.1
Atlético Madrid,10,930,0,0,9,1,1,0,0,7.1
Paris Saint-Germain,15,1380,0,2,24,11,4,0,1,7.1
