fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%
862929,2022-07-30T16:00:00+00:00,Community Shield,2022,Final,Liverpool,40,True,Manchester City,50,3,1,Win,3,FT,4.0,6.0,15.0,5.0,13.0,2.0,12.0,2.0,3.0,43%,1.0,7.0,396.0,323.0,82%,,,,,,,,,,,,,,,
862929,2022-07-30T16:00:00+00:00,Community Shield,2022,Final,Manchester City,50,False,Liverpool,40,1,3,Loss,0,FT,,,,,,,,,,,,,,,,8.0,4.0,14.0,2.0,13.0,1.0,8.0,4.0,3.0,57%,1.0,1.0,539.0,459.0,85%
