Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,W,4,0,esSevilla,62,"38,764",Kevin De Bruyne,4-3-3,3-4-3,Davide Massa,https://fbref.com/en/matches/85506897/Sevilla-Manchester-City-September-6-2022-Champions-League,Match Report,
2022-09-14,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,2,1,deDortmund,66,"50,441",İlkay Gündoğan,4-3-3,4-3-3,Daniele Orsato,https://fbref.com/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,Match Report,
2022-10-05,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,5,0,dkFC Copenhagen,75,"51,765",İlkay Gündoğan,4-2-2-2,4-3-2-1,Donatas Rumšas,https://fbref.com/en/matches/609cee82/Manchester-City-FC-Copenhagen-October-5-2022-Champions-League,Match Report,
2022-10-11,18:45,Champions Lg,Group stage,Tue,Away,D,0,0,dkFC Copenhagen,59,"35,447",İlkay Gündoğan,4-3-3,3-4-3,Artur Dias,https://fbref.com/en/matches/9fcbdbb0/FC-Copenhagen-Manchester-City-October-11-2022-Champions-League,Match Report,
2022-10-25,21:00,Champions Lg,Group stage,Tue,Away,D,0,0,deDortmund,73,"81,000",İlkay Gündoğan,4-4-2,3-5-2,Davide Massa,https://fbref.com/en/matches/606d549f/Dortmund-Manchester-City-October-25-2022-Champions-League,Match Report,
2022-11-02,20:00(21:00),Champions Lg,Group stage,Wed,Home,W,3,1,esSevilla,62,"51,610",İlkay Gündoğan,4-3-3,5-4-1,Orel Grinfeeld,https://fbref.com/en/matches/9fa4922b/Manchester-City-Sevilla-November-2-2022-Champions-League,Match Report,
2023-02-22,21:00,Champions Lg,Round of 16,Wed,Away,D,1,1,deRB Leipzig,62,"45,228",İlkay Gündoğan,4-2-3-1,4-2-3-1,Serdar Gözübüyük,https://fbref.com/en/matches/afe4ecd7/RB-Leipzig-Manchester-City-February-22-2023-Champions-League,Match Report,Leg 1 of 2
2023-03-14,20:00(21:00),Champions Lg,Round of 16,Tue,Home,W,7,0,deRB Leipzig,67,"52,038",İlkay Gündoğan,3-2-4-1,4-2-3-1,Slavko Vinčič,https://fbref.com/en/matches/808a6511/Manchester-City-RB-Leipzig-March-14-2023-Champions-League,Match Report,Leg 2 of 2; Manchester City won
2023-04-11,20:00(21:00),Champions Lg,Quarter-finals,Tue,Home,W,3,0,deBayern Munich,44,"52,257",İlkay Gündoğan,3-2-4-1,4-2-3-1,Jesús Gil,https://fbref.com/en/matches/9b5a5b22/Manchester-City-Bayern-Munich-April-11-2023-Champions-League,Match Report,Leg 1 of 2
2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Away,D,1,1,deBayern Munich,42,"75,000",İlkay Gündoğan,3-2-4-1,4-2-3-1,Clément Turpin,https://fbref.com/en/matches/3b8c18de/Bayern-Munich-Manchester-City-April-19-2023-Champions-League,Match Report,Leg 2 of 2; Manchester City won
2023-05-09,21:00,Champions Lg,Semi-finals,Tue,Away,D,1,1,esReal Madrid,56,"63,485",İlkay Gündoğan,4-3-3,4-3-3,Artur Dias,https://fbref.com/en/matches/40a448b8/Real-Madrid-Manchester-City-May-9-2023-Champions-League,Match Report,Leg 1 of 2
2023-05-17,20:00(21:00),Champions Lg,Semi-finals,Wed,Home,W,4,0,esReal Madrid,59,"52,313",İlkay Gündoğan,3-2-4-1,4-3-3,Szymon Marciniak,https://fbref.com/en/matches/8358b4a1/Manchester-City-Real-Madrid-May-17-2023-Champions-League,Match Report,Leg 2 of 2; Manchester City won
2023-06-10,22:00(21:00),Champions Lg,Final,Sat,Neutral,W,1,0,itInter,56,"71,412",İlkay Gündoğan,3-2-4-1,3-5-2,Szymon Marciniak,https://fbref.com/en/matches/32081d2b/Manchester-City-Internazionale-June-10-2023-Champions-League,Match Report,
