Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Nico O’Reilly,engENG,DF,19,6,5,476,5.3,3,2,5,3,0,0,2,0,0.57,0.38,0.95,0.57,0.95,Matches
Bernardo Silva,ptPOR,MF,29,5,4,426,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
İlkay Gündoğan,deGER,MF,33,6,4,375,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jack Grealish,engENG,MF,28,5,4,362,4.0,1,3,4,0,1,1,1,0,0.25,0.75,0.99,0.00,0.75,Matches
Rúben Dias,ptPOR,DF,27,5,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Ortega,deGER,GK,31,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sávio,brBRA,"MF,FW",20,4,4,299,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin De Bruyne,beBEL,"MF,FW",33,4,3,289,3.2,2,1,3,2,0,0,1,0,0.62,0.31,0.93,0.62,0.93,Matches
Omar Marmoush,egEGY,"FW,MF",25,4,3,275,3.1,1,1,2,1,0,1,0,0,0.33,0.33,0.65,0.33,0.65,Matches
Joško Gvardiol,hrCRO,DF,22,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
Rico Lewis,engENG,"DF,MF",19,3,3,270,3.0,1,1,2,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,Matches
Matheus Nunes,ptPOR,"DF,MF",25,3,3,270,3.0,0,1,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches
James Mcatee,engENG,MF,21,4,3,227,2.5,3,0,3,3,0,0,2,0,1.19,0.00,1.19,1.19,1.19,Matches
Phil Foden,engENG,FW,24,6,2,230,2.6,0,2,2,0,0,0,0,0,0.00,0.78,0.78,0.00,0.78,Matches
Mateo Kovačić,hrCRO,MF,30,3,2,187,2.1,0,1,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,Matches
Erling Haaland,noNOR,FW,24,3,2,182,2.0,1,1,2,1,0,1,0,0,0.49,0.49,0.99,0.49,0.99,Matches
Ederson,brBRA,GK,30,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jeremy Doku,beBEL,MF,22,3,2,173,1.9,2,2,4,1,1,1,0,0,1.04,1.04,2.08,0.52,1.56,Matches
Vitor Reis,brBRA,DF,18,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Aké,nlNED,DF,29,2,2,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Manuel Akanji,chSUI,DF,29,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdukodir Khusanov,uzUZB,DF,20,2,1,90,1.0,1,0,1,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,Matches
Divin Mubama,engENG,FW,19,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
Jahmai Simpson-Pusey,engENG,DF,18,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolás González,esESP,MF,22,4,1,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
John Stones,engENG,DF,30,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Claudio Echeverri,arARG,MF,18,1,0,15,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Scott Carson,engENG,GK,38,0,0,,,,,,,,,,,,,,,,Matches
