team,appearances,minutesPlayed,saves,goalsConceded,rating
Dynamo Kyiv,1,90,12,2,9.7
Juventus,1,90,7,0,8.5
Liverpool FC,1,90,4,0,7.8
Liverpool FC,2,180,9,1,7.65
Lazio,1,90,6,1,7.6
FC Bayern München,8,720,35,8,7.44
Paris Saint-Germain,12,1080,54,15,7.37
FC Krasnodar,4,360,22,8,7.35
Chelsea,12,1080,31,3,7.35
Liverpool FC,7,630,19,5,7.29
FC Porto,9,840,29,9,7.26
Borussia Dortmund,4,360,9,1,7.23
Manchester City,1,90,2,0,7.2
Shakhtar Donetsk,5,450,24,8,7.14
FC Krasnodar,2,180,10,3,7.05
Atalanta,3,270,5,1,7.03
Lokomotiv Moscow,6,540,25,10,7.03
FC Porto,1,90,1,0,7.0
Sevilla,5,450,16,6,7.0
FC Midtjylland,4,360,21,9,6.98
Manchester City,12,1080,17,5,6.91
FC Barcelona,3,270,3,1,6.9
Olympiacos FC,6,540,24,10,6.9
Juventus,7,660,20,8,6.9
FC Barcelona,5,450,16,9,6.88
Stade Rennais,4,360,15,7,6.85
AFC Ajax,6,540,22,7,6.85
Borussia M'gladbach,8,720,22,13,6.81
Real Madrid,12,1080,26,14,6.81
Club Brugge KV,1,90,3,1,6.8
Manchester United,5,450,14,8,6.78
Club Brugge KV,5,450,16,9,6.78
Inter,6,540,15,9,6.77
RB Leipzig,8,720,23,16,6.76
Borussia Dortmund,6,540,20,12,6.62
Atlético Madrid,8,720,14,11,6.61
Chelsea,1,90,1,1,6.6
Zenit St. Petersburg,6,540,15,13,6.58
FC Bayern München,2,180,3,2,6.55
Atalanta,5,450,21,11,6.48
Dynamo Kyiv,4,360,13,9,6.48
Lazio,7,630,17,12,6.44
Dynamo Kyiv,1,90,2,2,6.4
Stade Rennais,2,180,4,4,6.4
Olympique de Marseille,6,540,13,13,6.38
Sevilla,2,180,3,3,6.3
Ferencváros TC,6,540,20,17,6.3
Başakşehir FK,6,540,19,18,6.18
Red Bull Salzburg,6,540,16,17,6.18
FC Midtjylland,2,180,2,4,6.15
Manchester United,1,90,1,2,6.1
Sevilla,1,90,2,4,5.7
Shakhtar Donetsk,1,90,2,4,5.6
Inter,1,90,0,2,7.6
Sevilla,4,326,0,2,7.5
FC Midtjylland,1,90,0,1,7.5
Atalanta,7,626,0,7,7.47
FC Porto,3,182,0,0,7.35
Real Madrid,5,424,0,6,7.34
Juventus,5,480,0,5,7.34
Paris Saint-Germain,10,817,0,10,7.33
Juventus,5,405,0,4,7.32
FC Bayern München,7,522,0,5,7.3
Lazio,8,720,0,13,7.3
Manchester City,1,78,0,0,7.3
Real Madrid,6,476,0,8,7.28
Borussia M'gladbach,4,215,0,5,7.27
Liverpool FC,3,270,0,0,7.27
Liverpool FC,8,712,0,4,7.26
Borussia M'gladbach,7,620,0,10,7.24
Chelsea,6,220,0,1,7.22
FC Porto,10,930,0,9,7.21
Atlético Madrid,4,338,0,3,7.2
AFC Ajax,6,481,0,6,7.2
Manchester United,4,331,0,5,7.2
Borussia Dortmund,9,792,0,13,7.2
Chelsea,11,964,0,4,7.2
Juventus,7,568,0,6,7.19
Manchester City,11,970,0,5,7.17
FC Bayern München,7,537,0,6,7.17
Chelsea,5,450,0,1,7.16
Stade Rennais,2,180,0,3,7.15
Shakhtar Donetsk,3,127,0,0,7.15
Manchester City,9,605,0,3,7.14
Lokomotiv Moscow,5,405,0,8,7.14
FC Midtjylland,6,540,0,13,7.13
Liverpool FC,4,189,0,2,7.13
Chelsea,10,567,0,1,7.1
Chelsea,11,922,0,3,7.1
Dynamo Kyiv,1,90,0,2,7.1
Real Madrid,2,167,0,1,7.1
Liverpool FC,3,270,0,3,7.1
Club Brugge KV,3,270,0,3,7.1
Manchester City,11,982,0,5,7.1
FC Bayern München,10,693,0,9,7.09
Manchester City,11,796,0,4,7.08
Atlético Madrid,7,609,0,9,7.07
Atlético Madrid,8,657,0,11,7.06
Atalanta,2,176,0,3,7.05
Club Brugge KV,2,180,0,1,7.05
FC Porto,10,867,0,8,7.03
FC Bayern München,7,570,0,7,7.03
Manchester City,4,277,0,0,7.03
Manchester City,9,585,0,2,7.02
Lokomotiv Moscow,5,450,0,8,7.02
FC Barcelona,7,485,0,9,7.0
FC Midtjylland,1,90,0,1,7.0
Manchester City,2,180,0,0,7.0
Liverpool FC,4,321,0,3,7.0
FC Bayern München,6,322,0,3,7.0
Borussia Dortmund,7,348,0,5,6.98
Lokomotiv Moscow,4,270,0,6,6.98
Chelsea,8,567,0,3,6.98
Real Madrid,8,720,0,7,6.98
FC Bayern München,9,810,0,10,6.97
Inter,3,270,0,4,6.97
Inter,6,540,0,9,6.97
Real Madrid,2,167,0,4,6.95
Chelsea,2,179,0,0,6.95
Juventus,6,497,0,4,6.95
Atalanta,8,720,0,12,6.95
Borussia Dortmund,7,630,0,7,6.94
RB Leipzig,7,605,0,14,6.94
FC Barcelona,3,236,0,4,6.93
Real Madrid,9,810,0,11,6.93
Sevilla,7,515,0,11,6.93
Chelsea,7,591,0,2,6.93
AFC Ajax,5,415,0,5,6.92
FC Krasnodar,5,450,0,8,6.92
Real Madrid,11,963,0,12,6.92
Atlético Madrid,6,347,0,3,6.92
Zenit St. Petersburg,6,472,0,9,6.92
Sevilla,6,468,0,9,6.92
FC Porto,9,745,0,7,6.91
Paris Saint-Germain,12,786,0,9,6.91
Borussia M'gladbach,5,448,0,8,6.9
Borussia Dortmund,8,668,0,8,6.9
Olympiacos FC,1,66,0,1,6.9
Manchester City,3,208,0,1,6.9
FC Barcelona,6,254,0,1,6.9
Lazio,7,481,0,6,6.89
Atalanta,6,531,0,8,6.88
Manchester United,6,472,0,8,6.88
Club Brugge KV,5,450,0,9,6.88
Lazio,4,181,0,2,6.88
Liverpool FC,10,753,0,5,6.87
Dynamo Kyiv,6,540,0,13,6.87
FC Midtjylland,3,206,0,4,6.87
Sevilla,8,720,0,13,6.86
Atalanta,8,623,0,10,6.86
Borussia M'gladbach,8,685,0,12,6.85
Borussia Dortmund,2,27,0,1,6.85
Shakhtar Donetsk,6,540,0,12,6.85
RB Leipzig,7,551,0,11,6.84
Paris Saint-Germain,5,381,0,5,6.84
Atlético Madrid,8,711,0,10,6.84
Liverpool FC,6,332,0,3,6.83
FC Krasnodar,6,495,0,9,6.82
Lokomotiv Moscow,6,534,0,10,6.82
FC Porto,6,570,0,9,6.82
Borussia Dortmund,3,227,0,4,6.8
Inter,6,411,0,7,6.8
Lazio,8,720,0,13,6.8
Stade Rennais,1,17,0,0,6.8
Liverpool FC,2,174,0,2,6.8
Real Madrid,2,31,0,0,6.8
Manchester United,2,27,0,0,6.8
RB Leipzig,3,114,0,1,6.8
Olympiacos FC,3,189,0,1,6.8
Başakşehir FK,3,179,0,8,6.8
AFC Ajax,5,302,0,4,6.8
Atlético Madrid,8,384,0,8,6.8
Chelsea,10,775,0,3,6.79
Manchester United,5,450,0,9,6.78
Olympiacos FC,6,451,0,10,6.78
FC Barcelona,7,587,0,9,6.77
Red Bull Salzburg,6,540,0,17,6.77
FC Porto,6,419,0,5,6.77
Paris Saint-Germain,8,509,0,7,6.76
Atlético Madrid,5,382,0,8,6.76
Dynamo Kyiv,6,411,0,10,6.75
Lazio,2,135,0,3,6.75
Shakhtar Donetsk,4,298,0,4,6.75
Olympiacos FC,6,529,0,10,6.75
FC Midtjylland,5,450,0,12,6.74
Paris Saint-Germain,10,814,0,11,6.74
FC Bayern München,3,128,0,1,6.73
Lokomotiv Moscow,3,194,0,5,6.73
Liverpool FC,4,131,0,1,6.73
AFC Ajax,6,504,0,7,6.73
FC Bayern München,8,193,0,3,6.73
Olympique de Marseille,4,360,0,8,6.73
FC Bayern München,5,186,0,1,6.73
Stade Rennais,5,241,0,4,6.72
RB Leipzig,6,324,0,3,6.72
AFC Ajax,6,514,0,6,6.72
Borussia M'gladbach,8,720,0,13,6.71
Red Bull Salzburg,5,450,0,15,6.7
Liverpool FC,1,45,0,1,6.7
FC Porto,2,83,0,0,6.7
Zenit St. Petersburg,3,167,0,5,6.7
Manchester United,4,292,0,7,6.7
Zenit St. Petersburg,5,397,0,10,6.7
Juventus,5,400,0,4,6.7
Başakşehir FK,6,375,0,7,6.7
Stade Rennais,6,520,0,10,6.7
Lokomotiv Moscow,6,540,0,10,6.68
Zenit St. Petersburg,5,383,0,10,6.68
Inter,5,420,0,7,6.68
FC Krasnodar,3,151,0,3,6.67
Borussia Dortmund,6,468,0,9,6.67
Inter,5,358,0,6,6.66
Manchester United,5,392,0,7,6.66
FC Porto,4,136,0,0,6.65
Borussia M'gladbach,3,55,0,1,6.65
Club Brugge KV,4,318,0,7,6.65
Başakşehir FK,5,402,0,10,6.64
Paris Saint-Germain,11,980,0,15,6.64
RB Leipzig,6,475,0,12,6.63
Lazio,6,342,0,5,6.63
Inter,5,318,0,6,6.62
Olympique de Marseille,5,450,0,10,6.62
Borussia Dortmund,7,458,0,7,6.61
FC Krasnodar,5,450,0,10,6.6
Juventus,1,21,0,0,6.6
