team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Dynamo Kyiv,1,90,0,0,1,0,0,0,0,9.7
Juventus,1,90,0,0,0,0,0,0,0,8.5
Liverpool FC,1,90,0,0,2,2,0,0,0,7.8
Liverpool FC,2,180,0,0,2,1,0,0,0,7.65
Lazio,1,90,0,0,0,0,0,0,0,7.6
FC Bayern München,8,720,0,0,8,1,1,0,1,7.44
Paris Saint-Germain,12,1080,0,1,10,2,0,0,0,7.37
FC Krasnodar,4,360,0,0,8,4,3,0,1,7.35
Chelsea,12,1080,0,0,3,1,0,0,0,7.35
Liverpool FC,7,630,1,0,5,1,1,0,0,7.29
FC Porto,9,840,1,1,12,2,1,0,0,7.26
Borussia Dortmund,4,360,0,1,0,1,0,0,0,7.23
Manchester City,1,90,0,0,0,0,0,0,0,7.2
Shakhtar Donetsk,5,450,0,1,9,3,0,0,1,7.14
FC Krasnodar,2,180,0,0,0,1,0,0,0,7.05
Atalanta,3,270,0,0,5,4,0,0,0,7.03
Lokomotiv Moscow,6,540,1,0,6,3,2,0,0,7.03
FC Porto,1,90,0,0,0,0,0,0,0,7.0
Sevilla,5,450,0,0,0,1,0,0,0,7.0
FC Midtjylland,4,360,0,0,2,0,0,0,1,6.98
Manchester City,12,1080,0,0,7,2,2,0,0,6.91
FC Barcelona,3,270,0,0,0,0,0,0,0,6.9
Olympiacos FC,6,540,0,2,2,0,0,0,0,6.9
Juventus,7,660,1,1,8,2,2,0,0,6.9
FC Barcelona,5,450,0,0,4,2,0,0,0,6.88
Stade Rennais,4,360,0,0,2,0,0,0,0,6.85
AFC Ajax,6,540,0,0,1,0,0,0,1,6.85
Borussia M'gladbach,8,720,0,0,3,1,1,0,0,6.81
Real Madrid,12,1080,0,0,5,4,0,0,0,6.81
Club Brugge KV,1,90,0,0,1,1,0,0,0,6.8
Manchester United,5,450,0,0,3,0,0,0,0,6.78
Club Brugge KV,5,450,1,1,4,0,3,0,0,6.78
Inter,6,540,0,0,4,1,0,0,0,6.77
RB Leipzig,8,720,0,0,5,2,0,0,0,6.76
Borussia Dortmund,6,540,1,0,8,2,1,0,0,6.62
Atlético Madrid,8,720,0,0,3,3,1,0,0,6.61
Chelsea,1,90,0,0,0,0,0,0,0,6.6
Zenit St. Petersburg,6,540,0,0,7,4,1,0,0,6.58
FC Bayern München,2,180,0,0,1,0,0,0,0,6.55
Atalanta,5,450,0,0,0,0,1,0,2,6.48
Dynamo Kyiv,4,360,0,1,7,2,0,0,1,6.48
Lazio,7,630,0,2,5,2,0,0,1,6.44
Dynamo Kyiv,1,90,0,0,1,2,0,0,0,6.4
Stade Rennais,2,180,0,0,2,0,0,0,0,6.4
Olympique de Marseille,6,540,0,0,3,0,0,0,0,6.38
Sevilla,2,180,0,0,0,0,0,0,0,6.3
Ferencváros TC,6,540,1,0,3,1,1,0,1,6.3
Başakşehir FK,6,540,0,0,11,2,0,0,1,6.18
Red Bull Salzburg,6,540,0,0,1,1,0,0,1,6.18
FC Midtjylland,2,180,0,0,0,1,0,0,0,6.15
Manchester United,1,90,0,0,0,0,0,0,0,6.1
Sevilla,1,90,0,0,1,0,0,0,0,5.7
Shakhtar Donetsk,1,90,0,0,1,0,0,0,0,5.6
Inter,1,90,0,1,1,2,3,0,0,7.6
Sevilla,4,326,9,3,4,7,21,0,0,7.5
FC Midtjylland,1,90,2,4,10,6,2,1,0,7.5
Atalanta,7,626,18,30,28,33,28,1,0,7.47
FC Porto,3,182,0,2,15,4,4,0,0,7.35
Real Madrid,5,424,2,7,10,14,7,1,0,7.34
Juventus,5,480,10,15,6,16,26,1,0,7.34
Paris Saint-Germain,10,817,18,10,36,21,27,1,0,7.33
Juventus,5,405,9,7,9,10,13,2,0,7.32
FC Bayern München,7,522,15,14,16,3,20,0,0,7.3
Lazio,8,720,15,11,24,15,30,1,0,7.3
Manchester City,1,78,1,2,0,1,4,0,0,7.3
Real Madrid,6,476,20,10,17,10,27,0,0,7.28
Borussia M'gladbach,4,215,7,6,3,4,8,0,0,7.27
Liverpool FC,3,270,4,5,18,15,5,0,0,7.27
Liverpool FC,8,712,10,12,8,1,17,0,1,7.26
Borussia M'gladbach,7,620,15,11,31,13,17,0,0,7.24
Chelsea,6,220,7,3,4,3,14,0,0,7.22
FC Porto,10,930,13,8,49,19,26,0,0,7.21
Atlético Madrid,4,338,5,6,14,11,6,0,0,7.2
AFC Ajax,6,481,19,14,15,6,28,3,0,7.2
Manchester United,4,331,7,8,5,3,15,1,0,7.2
Borussia Dortmund,9,792,12,19,46,22,15,0,0,7.2
Chelsea,11,964,26,11,30,26,36,0,0,7.2
Juventus,7,568,18,20,9,8,26,0,0,7.19
Manchester City,11,970,14,16,22,22,19,2,0,7.17
FC Bayern München,7,537,7,13,19,14,17,2,0,7.17
Chelsea,5,450,3,2,23,17,5,0,0,7.16
Stade Rennais,2,180,4,6,3,5,6,0,0,7.15
Shakhtar Donetsk,3,127,3,5,10,3,3,0,0,7.15
Manchester City,9,605,24,6,6,12,43,1,0,7.14
Lokomotiv Moscow,5,405,10,11,25,13,14,0,0,7.14
FC Midtjylland,6,540,9,12,21,8,17,0,0,7.13
Liverpool FC,4,189,7,6,2,1,11,0,0,7.13
Chelsea,10,567,22,4,21,13,32,1,0,7.1
Chelsea,11,922,6,5,39,25,10,0,0,7.1
Dynamo Kyiv,1,90,2,1,3,1,6,0,0,7.1
Real Madrid,2,167,3,2,1,1,4,0,0,7.1
Liverpool FC,3,270,5,6,11,12,5,0,0,7.1
Club Brugge KV,3,270,5,5,9,4,10,0,0,7.1
Manchester City,11,982,23,14,15,14,36,0,0,7.1
FC Bayern München,10,693,24,5,16,12,48,1,0,7.09
Manchester City,11,796,8,9,23,11,13,1,0,7.08
Atlético Madrid,7,609,11,10,13,12,22,0,0,7.07
Atlético Madrid,8,657,16,11,10,1,42,3,0,7.06
Atalanta,2,176,6,3,0,1,11,0,0,7.05
Club Brugge KV,2,180,3,5,9,8,4,0,0,7.05
FC Porto,10,867,19,13,25,20,44,0,0,7.03
FC Bayern München,7,570,12,10,12,11,21,3,0,7.03
