team,appearances,minutesPlayed,tackles,interceptions,ballRecovery,groundDuelsWon,keyPasses,bigChancesCreated,accurateLongBalls,successfulDribbles,rating
Dynamo Kyiv,1,90,0,0,6,0,0,0,6,0,9.7
Juventus,1,90,0,0,6,0,0,0,5,0,8.5
Liverpool FC,1,90,0,0,9,0,0,0,12,0,7.8
Liverpool FC,2,180,0,0,20,0,0,0,17,0,7.65
Lazio,1,90,0,0,3,0,0,0,4,0,7.6
FC Bayern München,8,720,0,0,79,1,1,0,48,0,7.44
Paris Saint-Germain,12,1080,0,1,103,0,0,0,63,0,7.37
FC Krasnodar,4,360,0,0,34,3,0,0,27,2,7.35
Chelsea,12,1080,0,0,98,0,0,0,63,0,7.35
Liverpool FC,7,630,1,0,53,1,0,0,41,0,7.29
FC Porto,9,840,1,1,80,1,0,0,81,0,7.26
Borussia Dortmund,4,360,0,1,26,0,0,0,19,0,7.23
Manchester City,1,90,0,0,5,0,0,0,1,0,7.2
Shakhtar Donetsk,5,450,0,1,52,0,0,0,28,0,7.14
FC Krasnodar,2,180,0,0,17,0,0,0,21,0,7.05
Atalanta,3,270,0,0,18,0,0,0,34,0,7.03
Lokomotiv Moscow,6,540,1,0,62,2,0,0,59,1,7.03
FC Porto,1,90,0,0,7,0,0,0,5,0,7.0
Sevilla,5,450,0,0,35,0,0,0,29,0,7.0
FC Midtjylland,4,360,0,0,33,0,1,0,46,0,6.98
Manchester City,12,1080,0,0,77,2,0,0,45,0,6.91
FC Barcelona,3,270,0,0,20,0,0,0,9,0,6.9
Olympiacos FC,6,540,0,2,62,0,0,0,38,0,6.9
Juventus,7,660,1,1,36,2,0,0,8,1,6.9
FC Barcelona,5,450,0,0,29,0,0,0,20,0,6.88
Stade Rennais,4,360,0,0,29,0,0,0,28,0,6.85
AFC Ajax,6,540,0,0,54,0,0,0,44,0,6.85
Borussia M'gladbach,8,720,0,0,48,1,0,0,50,1,6.81
Real Madrid,12,1080,0,0,101,0,0,0,42,0,6.81
Club Brugge KV,1,90,0,0,8,0,0,0,9,0,6.8
Manchester United,5,450,0,0,29,0,0,0,24,0,6.78
Club Brugge KV,5,450,1,1,40,3,0,0,63,2,6.78
Inter,6,540,0,0,34,0,0,0,19,0,6.77
RB Leipzig,8,720,0,0,65,0,0,0,37,0,6.76
Borussia Dortmund,6,540,1,0,40,1,0,0,18,0,6.62
Atlético Madrid,8,720,0,0,61,1,0,0,43,0,6.61
Chelsea,1,90,0,0,2,0,0,0,0,0,6.6
Zenit St. Petersburg,6,540,0,0,59,1,0,0,33,0,6.58
FC Bayern München,2,180,0,0,14,0,0,0,8,0,6.55
Atalanta,5,450,0,0,35,1,0,0,24,0,6.48
Dynamo Kyiv,4,360,0,1,16,0,0,0,25,0,6.48
Lazio,7,630,0,2,60,0,0,0,38,0,6.44
Dynamo Kyiv,1,90,0,0,9,0,0,0,6,0,6.4
Stade Rennais,2,180,0,0,12,0,0,0,12,0,6.4
Olympique de Marseille,6,540,0,0,42,0,0,0,32,0,6.38
Sevilla,2,180,0,0,9,0,0,0,10,0,6.3
Ferencváros TC,6,540,1,0,41,1,0,0,52,0,6.3
Başakşehir FK,6,540,0,0,49,0,1,0,46,0,6.18
Red Bull Salzburg,6,540,0,0,34,0,0,0,17,0,6.18
FC Midtjylland,2,180,0,0,26,0,0,0,24,0,6.15
Manchester United,1,90,0,0,6,0,0,0,3,0,6.1
Sevilla,1,90,0,0,7,0,0,0,3,0,5.7
Shakhtar Donetsk,1,90,0,0,2,0,0,0,6,0,5.6
Inter,1,90,0,1,5,3,3,1,3,2,7.6
Sevilla,4,326,9,3,30,21,11,3,16,8,7.5
FC Midtjylland,1,90,2,4,10,2,0,0,0,0,7.5
Atalanta,7,626,18,30,67,28,4,2,12,1,7.47
FC Porto,3,182,0,2,6,4,0,0,7,3,7.35
Real Madrid,5,424,2,7,26,7,1,1,40,2,7.34
Juventus,5,480,10,15,41,26,10,2,9,6,7.34
Paris Saint-Germain,10,817,18,10,61,27,2,0,25,5,7.33
Juventus,5,405,9,7,24,13,1,0,25,1,7.32
FC Bayern München,7,522,15,14,38,20,2,1,43,1,7.3
Lazio,8,720,15,11,39,30,10,2,44,9,7.3
Manchester City,1,78,1,2,4,4,2,0,0,1,7.3
Real Madrid,6,476,20,10,23,27,2,2,19,4,7.28
Borussia M'gladbach,4,215,7,6,9,8,2,0,0,0,7.27
Liverpool FC,3,270,4,5,24,5,1,0,11,0,7.27
Liverpool FC,8,712,10,12,63,17,18,5,48,5,7.26
Borussia M'gladbach,7,620,15,11,26,17,0,0,13,1,7.24
Chelsea,6,220,7,3,10,14,7,0,0,5,7.22
FC Porto,10,930,13,8,50,26,1,0,36,8,7.21
Atlético Madrid,4,338,5,6,20,6,0,0,15,1,7.2
AFC Ajax,6,481,19,14,36,28,3,0,17,8,7.2
Manchester United,4,331,7,8,19,15,6,1,5,5,7.2
Borussia Dortmund,9,792,12,19,45,15,4,0,57,1,7.2
Chelsea,11,964,26,11,47,36,6,0,25,3,7.2
Juventus,7,568,18,20,43,26,1,0,25,6,7.19
Manchester City,11,970,14,16,37,19,3,2,26,1,7.17
FC Bayern München,7,537,7,13,36,17,1,0,23,9,7.17
Chelsea,5,450,3,2,26,5,0,0,9,1,7.16
Stade Rennais,2,180,4,6,11,6,0,0,5,0,7.15
Shakhtar Donetsk,3,127,3,5,1,3,0,0,6,0,7.15
Manchester City,9,605,24,6,42,43,8,2,11,17,7.14
Lokomotiv Moscow,5,405,10,11,23,14,0,0,30,1,7.14
FC Midtjylland,6,540,9,12,50,17,4,1,27,4,7.13
Liverpool FC,4,189,7,6,15,11,2,2,8,1,7.13
Chelsea,10,567,22,4,34,32,7,3,11,6,7.1
Chelsea,11,922,6,5,52,10,2,1,35,2,7.1
Dynamo Kyiv,1,90,2,1,3,6,0,0,1,2,7.1
Real Madrid,2,167,3,2,8,4,2,0,2,1,7.1
Liverpool FC,3,270,5,6,23,5,0,0,6,0,7.1
Club Brugge KV,3,270,5,5,14,10,1,0,9,0,7.1
Manchester City,11,982,23,14,80,36,3,0,39,11,7.1
FC Bayern München,10,693,24,5,43,48,4,0,29,13,7.09
Manchester City,11,796,8,9,32,13,2,0,23,3,7.08
Atlético Madrid,7,609,11,10,41,22,10,1,14,6,7.07
Atlético Madrid,8,657,16,11,51,42,8,1,9,17,7.06
Atalanta,2,176,6,3,13,11,1,0,2,2,7.05
Club Brugge KV,2,180,3,5,12,4,0,0,3,0,7.05
FC Porto,10,867,19,13,43,44,3,1,6,12,7.03
FC Bayern München,7,570,12,10,24,21,5,2,23,2,7.03
Manchester City,4,277,2,4,20,3,0,0,6,1,7.03
Manchester City,9,585,12,4,36,16,2,0,11,3,7.02
Lokomotiv Moscow,5,450,6,11,22,11,1,0,13,3,7.02
FC Barcelona,7,485,5,6,37,14,14,3,8,4,7.0
FC Midtjylland,1,90,5,3,7,5,0,0,1,0,7.0
Manchester City,2,180,3,3,11,4,0,0,1,0,7.0
Liverpool FC,4,321,6,6,20,9,0,0,7,3,7.0
FC Bayern München,6,322,8,6,34,29,1,1,2,18,7.0
Borussia Dortmund,7,348,6,1,31,13,4,1,13,6,6.98
Lokomotiv Moscow,4,270,0,6,10,0,0,0,6,0,6.98
Chelsea,8,567,6,8,33,13,0,0,21,1,6.98
Real Madrid,8,720,18,12,25,33,0,0,11,4,6.98
FC Bayern München,9,810,14,14,48,15,7,1,34,0,6.97
Inter,3,270,6,2,25,13,0,0,13,2,6.97
Inter,6,540,6,17,32,9,0,0,18,2,6.97
Real Madrid,2,167,5,0,8,8,3,1,5,1,6.95
Chelsea,2,179,1,0,10,5,1,0,5,2,6.95
Juventus,6,497,5,8,32,7,0,0,37,0,6.95
Atalanta,8,720,11,24,42,16,4,0,16,1,6.95
Borussia Dortmund,7,630,12,8,40,17,3,0,26,1,6.94
RB Leipzig,7,605,22,14,76,32,1,0,48,8,6.94
FC Barcelona,3,236,3,3,18,3,1,0,9,0,6.93
Real Madrid,9,810,11,14,45,16,1,0,39,2,6.93
Sevilla,7,515,3,6,28,14,2,0,24,3,6.93
Chelsea,7,591,3,10,32,4,0,0,18,0,6.93
AFC Ajax,5,415,9,5,43,15,2,0,31,4,6.92
FC Krasnodar,5,450,6,8,20,19,4,0,9,2,6.92
Real Madrid,11,963,13,13,56,50,8,2,18,19,6.92
Atlético Madrid,6,347,11,7,24,16,0,0,20,2,6.92
Zenit St. Petersburg,6,472,3,9,25,6,3,0,38,2,6.92
Sevilla,6,468,4,7,26,10,10,1,27,4,6.92
FC Porto,9,745,15,7,47,30,7,2,12,13,6.91
Paris Saint-Germain,12,786,10,20,49,17,1,0,25,2,6.91
Borussia M'gladbach,5,448,15,11,23,22,2,0,6,4,6.9
Borussia Dortmund,8,668,7,5,34,18,7,0,17,7,6.9
Olympiacos FC,1,66,3,0,3,3,0,0,1,0,6.9
Manchester City,3,208,2,3,14,2,0,0,11,0,6.9
FC Barcelona,6,254,7,2,20,13,1,0,1,3,6.9
Lazio,7,481,14,7,26,18,0,0,23,1,6.89
Atalanta,6,531,9,7,20,15,5,2,6,1,6.88
Manchester United,6,472,14,9,31,19,3,0,3,3,6.88
Club Brugge KV,5,450,9,9,42,13,0,0,20,2,6.88
Lazio,4,181,4,4,10,4,0,0,4,0,6.88
Liverpool FC,10,753,6,6,56,14,13,0,17,7,6.87
Dynamo Kyiv,6,540,8,14,23,8,7,2,13,0,6.87
