name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,match
Lucas Vázquez,lucas-vazquez,L. Vázquez,M,21,58334,M,LucasVaz91,255239,"{'nameTranslation': {'ar': 'لوكاس فاسكيز', 'bn': 'লুকাস ভাজকুয়েজ', 'hi': 'लुकास वाज़क्वेज़'}, 'shortNameTranslation': {'ar': 'ل. فاسكيز', 'bn': 'এল. ভাজকুয়েজ', 'hi': 'एल. वाज़क्वेज़'}}",,,58.925,13.808333333333,12,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,255701,M,TheOctopus,70988,"{'nameTranslation': {'ar': 'تيبو كورتوا', 'bn': 'থিবাউট কোর্টোইস', 'hi': 'थिबाउट कोर्टोइस'}, 'shortNameTranslation': {'ar': 'ت. كورتوا', 'bn': 'টি. কোর্টোইস', 'hi': 'टी. कोर्टोइस'}}",,,8.4444444444444,51.148148148148,27,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Endrick,endrick,Endrick,F,9,453296,M,Endrick,1174937,"{'nameTranslation': {'ar': 'إنديرا جيريمي'}, 'shortNameTranslation': {'ar': 'إ. جيريمي'}}",,,74.425,16.125,4,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Vinicius Júnior,vinicius-junior,Vinícius Jr.,F,7,1373233,M,ViniJr,868812,"{'nameTranslation': {'ar': 'فينيسيوس جونيور', 'bn': 'ভিনিসিয়াস জুনিয়র', 'hi': 'विनीसियस जूनियर'}, 'shortNameTranslation': {'ar': 'فينيسيوس', 'bn': 'ভিনিসিয়াস', 'hi': 'विनीसियस'}}",,,70.35,81.17037037037,54,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,2021754,M,KMbappé,826643,"{'nameTranslation': {'ar': 'كيليان مبابي', 'bn': 'কিলিয়ান এমবাপ্পে', 'hi': 'किलियन एमबाप्पे'}, 'shortNameTranslation': {'ar': 'ك. مبابي', 'bn': 'কে. এমবাপ্পে', 'hi': 'के. एमबाप्पे'}}",,,69.637037037037,48.061111111111,54,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Federico Valverde,federico-valverde,F. Valverde,M,8,443609,M,Fede,831808,"{'nameTranslation': {'ar': 'فيديريكو فالفيردي', 'bn': 'ফেদেরিকো ভালভার্দে', 'hi': 'फेडेरिको वेलवेर्डे'}, 'shortNameTranslation': {'ar': 'ف. فالفيردي', 'bn': 'এফ. ভালভার্দে', 'hi': 'एफ. वेलवेर्डे'}}",Federico,Valverde,51.248039215686,16.242156862745,102,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Luka Modrić,luka-modric,L. Modrić,M,14,353642,M,LModric10,15466,"{'nameTranslation': {'ar': 'لوكا مودريتش', 'bn': 'লুকা মডরিচ', 'hi': 'लुका मोड्रिक'}, 'shortNameTranslation': {'ar': 'ل. مودريتش', 'bn': 'এল. মডরিচ', 'hi': 'एल. मोड्रिक'}}",,,56.981034482759,44.365517241379,58,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,153988,M,ATchouaméni,859025,"{'nameTranslation': {'ar': 'أوريليان تشواميني', 'bn': 'অরেলিয়ান চৌমেনি', 'hi': 'ऑरेलियन टचौमेनी'}, 'shortNameTranslation': {'ar': 'أ. تشواميني', 'bn': 'এ. চৌমেনি', 'hi': 'ए. टचौमेनी'}}",Aurelien,Tchouameni,51.112264150943,44.522641509434,106,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Raúl Asencio,raul-asencio,R. Asencio,D,17,127145,M,asencio,1156645,"{'nameTranslation': {'ar': 'راؤول أسينسيو', 'bn': 'রাউল আসেনসিও', 'hi': 'राउल असेंशियो'}, 'shortNameTranslation': {'ar': 'ر. أسينسيو', 'bn': 'আর. অ্যাসেনসিও', 'hi': 'आर. असेंशियो'}}",,,39.168115942029,31.791304347826,69,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,192207,M,ARüdiger,142622,"{'nameTranslation': {'ar': 'أنطونيو روديغر', 'bn': 'আন্তোনিও রুডিগার', 'hi': 'एंटोनियो रुडिगर'}, 'shortNameTranslation': {'ar': 'أ. روديغر', 'bn': 'এ. রুডিগার', 'hi': 'ए. रुडिगर'}}",,,38.016,64.238666666667,75,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
