season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2022-2023,19127,A. Forshaw,Leeds,Missing Fixture,Knee Injury,2022-08-06,0
2022-2023,19329,D. James,Leeds,Missing Fixture,Red Card,2022-08-06,0
2022-2023,1564,J. Firpo,Leeds,Missing Fixture,Knee Injury,2022-08-06,14
2022-2023,19116,L. Ayling,Leeds,Missing Fixture,Knee Injury,2022-08-06,14
2022-2023,19118,L. Cooper,Leeds,Missing Fixture,Achilles Tendon Injury,2022-08-06,0
2022-2023,37161,L. Sinisterra,Leeds,Missing Fixture,Thigh Injury,2022-08-06,63
2022-2023,19125,M. Bogusz,Leeds,Missing Fixture,Knee Injury,2022-08-06,24
2022-2023,19126,S. Dallas,Leeds,Missing Fixture,Broken Leg,2022-08-06,295
2022-2023,1564,J. Firpo,Leeds,Missing Fixture,Knee Injury,2022-08-13,14
2022-2023,19116,L. Ayling,Leeds,Missing Fixture,Knee Injury,2022-08-13,14
2022-2023,19125,M. Bogusz,Leeds,Missing Fixture,Knee Injury,2022-08-13,24
2022-2023,19126,S. Dallas,Leeds,Missing Fixture,Broken Leg,2022-08-13,295
2022-2023,1564,J. Firpo,Leeds,Missing Fixture,Knee Injury,2022-08-21,14
2022-2023,19116,L. Ayling,Leeds,Missing Fixture,Knee Injury,2022-08-21,14
2022-2023,19118,L. Cooper,Leeds,Questionable,Achilles Tendon Injury,2022-08-21,0
2022-2023,19125,M. Bogusz,Leeds,Missing Fixture,Knee Injury,2022-08-21,24
2022-2023,19134,P. Bamford,Leeds,Questionable,Muscle Injury,2022-08-21,0
2022-2023,19126,S. Dallas,Leeds,Missing Fixture,Broken Leg,2022-08-21,295
2022-2023,1564,J. Firpo,Leeds,Questionable,Knee Injury,2022-08-27,0
2022-2023,19116,L. Ayling,Leeds,Questionable,Knee Injury,2022-08-27,0
2022-2023,19125,M. Bogusz,Leeds,Missing Fixture,Knee Injury,2022-08-27,24
2022-2023,19134,P. Bamford,Leeds,Questionable,Muscle Injury,2022-08-27,0
2022-2023,19126,S. Dallas,Leeds,Missing Fixture,Broken Leg,2022-08-27,295
2022-2023,1564,J. Firpo,Leeds,Questionable,Knee Injury,2022-08-30,0
2022-2023,19116,L. Ayling,Leeds,Questionable,Knee Injury,2022-08-30,0
2022-2023,19118,L. Cooper,Leeds,Questionable,Calf Injury,2022-08-30,0
2022-2023,19125,M. Bogusz,Leeds,Missing Fixture,Knee Injury,2022-08-30,24
2022-2023,19126,S. Dallas,Leeds,Missing Fixture,Broken Leg,2022-08-30,295
2022-2023,1564,J. Firpo,Leeds,Questionable,Knee Injury,2022-09-03,0
2022-2023,935,Rodrigo,Leeds,Missing Fixture,Shoulder Injury,2022-09-03,182
