season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_goalkeeper_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Hugo Lloris,fr FRA,35-223,90,2,1,1,50.0
2022-2023,Tottenham Hotspur 2022 2023,2022-08-14,Premier League,Chelsea,2022-08-14_premier_league_chelsea_goalkeeper_stats.csv,01e57bf5,https://fbref.com/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,2022-08-14,Premier League,Matchweek 2,Away,Chelsea,D,2022-08-14_premier_league_chelsea,Tottenham Hotspur,Hugo Lloris,fr FRA,35-231,90,3,2,1,33.3
2022-2023,Tottenham Hotspur 2022 2023,2022-08-20,Premier League,Wolves,2022-08-20_premier_league_wolves_goalkeeper_stats.csv,5cc3bd0e,https://fbref.com/en/matches/5cc3bd0e/Tottenham-Hotspur-Wolverhampton-Wanderers-August-20-2022-Premier-League,2022-08-20,Premier League,Matchweek 3,Home,Wolves,W,2022-08-20_premier_league_wolves,Tottenham Hotspur,Hugo Lloris,fr FRA,35-237,90,3,0,3,100.0
2022-2023,Tottenham Hotspur 2022 2023,2022-08-28,Premier League,Nottingham Forest,2022-08-28_premier_league_nottingham_forest_goalkeeper_stats.csv,3c364307,https://fbref.com/en/matches/3c364307/Nottingham-Forest-Tottenham-Hotspur-August-28-2022-Premier-League,2022-08-28,Premier League,Matchweek 4,Away,Nottingham Forest,W,2022-08-28_premier_league_nottingham_forest,Tottenham Hotspur,Hugo Lloris,fr FRA,35-245,90,1,0,1,100.0
2022-2023,Tottenham Hotspur 2022 2023,2022-08-31,Premier League,West Ham United,2022-08-31_premier_league_west_ham_united_goalkeeper_stats.csv,9f221621,https://fbref.com/en/matches/9f221621/West-Ham-United-Tottenham-Hotspur-August-31-2022-Premier-League,2022-08-31,Premier League,Matchweek 5,Away,West Ham United,D,2022-08-31_premier_league_west_ham_united,Tottenham Hotspur,Hugo Lloris,fr FRA,35-248,90,4,1,3,75.0
2022-2023,Tottenham Hotspur 2022 2023,2022-09-03,Premier League,Fulham,2022-09-03_premier_league_fulham_goalkeeper_stats.csv,a497b725,https://fbref.com/en/matches/a497b725/Tottenham-Hotspur-Fulham-September-3-2022-Premier-League,2022-09-03,Premier League,Matchweek 6,Home,Fulham,W,2022-09-03_premier_league_fulham,Tottenham Hotspur,Hugo Lloris,fr FRA,35-251,90,3,1,2,66.7
2022-2023,Tottenham Hotspur 2022 2023,2022-09-07,Champions Lg,Frmarseille,2022-09-07_champions_lg_frmarseille_goalkeeper_stats.csv,e5abb306,https://fbref.com/en/matches/e5abb306/Tottenham-Hotspur-Marseille-September-7-2022-Champions-League,2022-09-07,Champions Lg,Group stage,Home,frMarseille,W,2022-09-07_champions_lg_frmarseille,Tottenham Hotspur,Hugo Lloris,fr FRA,35-255,90,1,0,1,100.0
2022-2023,Tottenham Hotspur 2022 2023,2022-09-13,Champions Lg,Ptsporting Cp,2022-09-13_champions_lg_ptsporting_cp_goalkeeper_stats.csv,14945858,https://fbref.com/en/matches/14945858/Sporting-CP-Tottenham-Hotspur-September-13-2022-Champions-League,2022-09-13,Champions Lg,Group stage,Away,ptSporting CP,L,2022-09-13_champions_lg_ptsporting_cp,Tottenham Hotspur,Hugo Lloris,fr FRA,35-261,90,6,2,4,66.7
2022-2023,Tottenham Hotspur 2022 2023,2022-09-17,Premier League,Leicester City,2022-09-17_premier_league_leicester_city_goalkeeper_stats.csv,99e44c16,https://fbref.com/en/matches/99e44c16/Tottenham-Hotspur-Leicester-City-September-17-2022-Premier-League,2022-09-17,Premier League,Matchweek 8,Home,Leicester City,W,2022-09-17_premier_league_leicester_city,Tottenham Hotspur,Hugo Lloris,fr FRA,35-265,90,6,2,5,83.3
2022-2023,Tottenham Hotspur 2022 2023,2022-10-01,Premier League,Arsenal,2022-10-01_premier_league_arsenal_goalkeeper_stats.csv,aefe3b90,https://fbref.com/en/matches/aefe3b90/North-London-Derby-Arsenal-Tottenham-Hotspur-October-1-2022-Premier-League,2022-10-01,Premier League,Matchweek 9,Away,Arsenal,L,2022-10-01_premier_league_arsenal,Tottenham Hotspur,Hugo Lloris,fr FRA,35-279,90,9,3,6,66.7
