fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,home_yellow_cards,away_yellow_cards,home_goals_prevented,away_goals_prevented
1145560,2024-01-04T20:00:00+00:00,FA Cup,2023,3rd Round,Crystal Palace,52,True,Everton,45,0,0,Draw,1,FT,3.0,4.0,11.0,4.0,6.0,5.0,6.0,7.0,1.0,53%,0.0,3.0,463.0,359.0,78%,,,,,,,,,,,,,,,,,,2.0,,,
1145560,2024-01-04T20:00:00+00:00,FA Cup,2023,3rd Round,Everton,45,False,Crystal Palace,52,0,0,Draw,1,FT,,,,,,,,,,,,,,,,,3.0,7.0,13.0,3.0,9.0,4.0,12.0,7.0,3.0,47%,1.0,3.0,404.0,296.0,73%,,,0.0,,
1145570,2024-01-05T19:15:00+00:00,FA Cup,2023,3rd Round,Brentford,55,True,Wolves,39,1,1,Draw,1,FT,3.0,7.0,14.0,4.0,9.0,5.0,8.0,4.0,1.0,73%,0.0,0.0,596.0,532.0,89%,,,,,,,,,,,,,,,,,,3.0,,,
1145570,2024-01-05T19:15:00+00:00,FA Cup,2023,3rd Round,Wolves,39,False,Brentford,55,1,1,Draw,1,FT,,,,,,,,,,,,,,,,,1.0,5.0,7.0,1.0,4.0,3.0,12.0,7.0,2.0,27%,1.0,3.0,216.0,153.0,71%,,,2.0,,
1145554,2024-01-05T19:30:00+00:00,FA Cup,2023,3rd Round,Fulham,36,True,Rotherham,73,1,0,Win,3,FT,4.0,8.0,21.0,9.0,14.0,7.0,10.0,12.0,0.0,66%,,0.0,675.0,613.0,91%,,,,,,,,,,,,,,,,,,,,,
1145554,2024-01-05T19:30:00+00:00,FA Cup,2023,3rd Round,Rotherham,73,False,Fulham,36,0,1,Loss,0,FT,,,,,,,,,,,,,,,,,0.0,2.0,3.0,1.0,3.0,0.0,7.0,0.0,2.0,34%,,3.0,358.0,272.0,76%,,,,,
1145553,2024-01-05T20:00:00+00:00,FA Cup,2023,3rd Round,Tottenham,47,True,Burnley,44,1,0,Win,3,FT,7.0,7.0,16.0,2.0,13.0,3.0,14.0,8.0,2.0,63%,,1.0,619.0,530.0,86%,,,,,,,,,,,,,,,,,,1.0,,,
1145553,2024-01-05T20:00:00+00:00,FA Cup,2023,3rd Round,Burnley,44,False,Tottenham,47,0,1,Loss,0,FT,,,,,,,,,,,,,,,,,1.0,7.0,10.0,2.0,5.0,5.0,11.0,3.0,2.0,37%,,6.0,353.0,264.0,75%,,,2.0,,
1145558,2024-01-06T12:45:00+00:00,FA Cup,2023,3rd Round,Sunderland,746,True,Newcastle,34,0,3,Loss,0,FT,2.0,1.0,5.0,2.0,0.0,5.0,13.0,0.0,1.0,36%,,2.0,311.0,248.0,80%,,,,,,,,,,,,,,,,,,4.0,,,
1145558,2024-01-06T12:45:00+00:00,FA Cup,2023,3rd Round,Newcastle,34,False,Sunderland,746,3,0,Win,3,FT,,,,,,,,,,,,,,,,,4.0,4.0,10.0,2.0,8.0,2.0,16.0,5.0,1.0,64%,,2.0,553.0,483.0,87%,,,2.0,,
1145568,2024-01-06T15:00:00+00:00,FA Cup,2023,3rd Round,QPR,72,True,Bournemouth,35,2,3,Loss,0,FT,5.0,2.0,7.0,0.0,5.0,2.0,10.0,0.0,0.0,37%,,5.0,318.0,236.0,74%,,,,,,,,,,,,,,,,,,0.0,,,
1145568,2024-01-06T15:00:00+00:00,FA Cup,2023,3rd Round,Bournemouth,35,False,QPR,72,3,2,Win,3,FT,,,,,,,,,,,,,,,,,8.0,8.0,22.0,6.0,19.0,3.0,8.0,7.0,2.0,63%,,3.0,570.0,484.0,85%,,,3.0,,
1145551,2024-01-06T15:00:00+00:00,FA Cup,2023,3rd Round,Stoke City,75,True,Brighton,51,2,4,Loss,0,FT,5.0,1.0,8.0,2.0,4.0,4.0,13.0,2.0,4.0,31%,,3.0,322.0,253.0,79%,,,,,,,,,,,,,,,,,,3.0,,,
1145551,2024-01-06T15:00:00+00:00,FA Cup,2023,3rd Round,Brighton,51,False,Stoke City,75,4,2,Win,3,FT,,,,,,,,,,,,,,,,,7.0,4.0,15.0,4.0,11.0,4.0,8.0,8.0,3.0,69%,,4.0,741.0,658.0,89%,,,2.0,,
1145565,2024-01-06T15:00:00+00:00,FA Cup,2023,3rd Round,Gillingham,1347,True,Sheffield Utd,62,0,4,Loss,0,FT,1.0,4.0,10.0,5.0,7.0,3.0,12.0,6.0,2.0,31%,,5.0,271.0,200.0,74%,,,,,,,,,,,,,,,,,,1.0,,,
1145565,2024-01-06T15:00:00+00:00,FA Cup,2023,3rd Round,Sheffield Utd,62,False,Gillingham,1347,4,0,Win,3,FT,,,,,,,,,,,,,,,,,9.0,7.0,23.0,7.0,13.0,10.0,10.0,7.0,0.0,69%,,1.0,654.0,585.0,89%,,,1.0,,
1145567,2024-01-06T17:30:00+00:00,FA Cup,2023,3rd Round,Chelsea,49,True,Preston,59,4,0,Win,3,FT,12.0,7.0,24.0,5.0,18.0,6.0,7.0,8.0,0.0,70%,,2.0,695.0,625.0,90%,,,,,,,,,,,,,,,,,,0.0,,,
1145567,2024-01-06T17:30:00+00:00,FA Cup,2023,3rd Round,Preston,59,False,Chelsea,49,0,4,Loss,0,FT,,,,,,,,,,,,,,,,,2.0,1.0,4.0,1.0,2.0,2.0,9.0,2.0,1.0,30%,,7.0,298.0,227.0,76%,,,2.0,,
1145561,2024-01-06T17:30:00+00:00,FA Cup,2023,3rd Round,Middlesbrough,70,True,Aston Villa,66,0,1,Loss,0,FT,1.0,2.0,5.0,2.0,4.0,1.0,10.0,5.0,6.0,38%,,5.0,330.0,274.0,83%,,,,,,,,,,,,,,,,,,1.0,,,
1145561,2024-01-06T17:30:00+00:00,FA Cup,2023,3rd Round,Aston Villa,66,False,Middlesbrough,70,1,0,Win,3,FT,,,,,,,,,,,,,,,,,6.0,5.0,12.0,1.0,6.0,6.0,13.0,12.0,3.0,62%,,1.0,538.0,485.0,90%,,,5.0,,
1145552,2024-01-07T14:00:00+00:00,FA Cup,2023,3rd Round,West Ham,48,True,Bristol City,56,1,1,Draw,1,FT,4.0,6.0,17.0,7.0,13.0,4.0,9.0,9.0,1.0,57%,,4.0,585.0,494.0,84%,,,,,,,,,,,,,,,,,,2.0,,,
1145552,2024-01-07T14:00:00+00:00,FA Cup,2023,3rd Round,Bristol City,56,False,West Ham,48,1,1,Draw,1,FT,,,,,,,,,,,,,,,,,5.0,2.0,11.0,4.0,9.0,2.0,6.0,6.0,3.0,43%,,3.0,446.0,349.0,78%,,,3.0,,
1145563,2024-01-07T14:00:00+00:00,FA Cup,2023,3rd Round,Manchester City,50,True,Huddersfield,37,5,0,Win,3,FT,7.0,4.0,18.0,7.0,9.0,9.0,6.0,11.0,0.0,84%,,2.0,964.0,911.0,95%,,,,,,,,,,,,,,,,,,0.0,,,
1145563,2024-01-07T14:00:00+00:00,FA Cup,2023,3rd Round,Huddersfield,37,False,Manchester City,50,0,5,Loss,0,FT,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,4.0,16%,,3.0,179.0,121.0,68%,,,2.0,,
1150208,2024-01-07T14:00:00+00:00,FA Cup,2023,3rd Round,Nottingham Forest,65,True,Blackpool,1356,2,2,Draw,1,FT,6.0,9.0,17.0,2.0,10.0,7.0,13.0,7.0,4.0,71%,,0.0,702.0,614.0,87%,,,,,,,,,,,,,,,,,,1.0,,,
1150208,2024-01-07T14:00:00+00:00,FA Cup,2023,3rd Round,Blackpool,1356,False,Nottingham Forest,65,2,2,Draw,1,FT,,,,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,3.0,0.0,11.0,0.0,0.0,29%,,4.0,280.0,192.0,69%,,,5.0,,
1145548,2024-01-07T14:00:00+00:00,FA Cup,2023,3rd Round,Luton,1359,True,Bolton,68,0,0,Draw,1,FT,6.0,7.0,18.0,5.0,10.0,8.0,12.0,11.0,1.0,63%,,2.0,496.0,413.0,83%,,,,,,,,,,,,,,,,,,1.0,,,
1145548,2024-01-07T14:00:00+00:00,FA Cup,2023,3rd Round,Bolton,68,False,Luton,1359,0,0,Draw,1,FT,,,,,,,,,,,,,,,,,2.0,2.0,7.0,3.0,3.0,4.0,7.0,2.0,0.0,37%,,6.0,300.0,210.0,70%,,,0.0,,
1145549,2024-01-07T16:30:00+00:00,FA Cup,2023,3rd Round,Arsenal,42,True,Liverpool,40,0,2,Loss,0,FT,5.0,7.0,18.0,6.0,14.0,4.0,12.0,5.0,1.0,54%,,2.0,481.0,394.0,82%,,,,,,,,,,,,,,,,,,1.0,,,
1145549,2024-01-07T16:30:00+00:00,FA Cup,2023,3rd Round,Liverpool,40,False,Arsenal,42,2,0,Win,3,FT,,,,,,,,,,,,,,,,,3.0,8.0,12.0,1.0,9.0,3.0,15.0,2.0,2.0,46%,,6.0,412.0,339.0,82%,,,4.0,,
1145562,2024-01-08T20:15:00+00:00,FA Cup,2023,3rd Round,Wigan,61,True,Manchester United,33,0,2,Loss,0,FT,2.0,2.0,9.0,5.0,4.0,5.0,6.0,2.0,0.0,33%,,12.0,304.0,244.0,80%,,,,,,,,,,,,,,,,,,,,,
1145562,2024-01-08T20:15:00+00:00,FA Cup,2023,3rd Round,Manchester United,33,False,Wigan,61,2,0,Win,3,FT,,,,,,,,,,,,,,,,,14.0,11.0,33.0,8.0,20.0,13.0,9.0,12.0,1.0,67%,,2.0,603.0,544.0,90%,,,,,
1155955,2024-01-16T19:30:00+00:00,FA Cup,2023,3rd Round Replays,Wolves,39,True,Brentford,55,3,2,Win,3,AET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155955,2024-01-16T19:30:00+00:00,FA Cup,2023,3rd Round Replays,Brentford,55,False,Wolves,39,2,3,Loss,0,AET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156182,2024-01-16T19:45:00+00:00,FA Cup,2023,3rd Round Replays,Bristol City,56,True,West Ham,48,1,0,Win,3,FT,5.0,6.0,15.0,4.0,8.0,7.0,7.0,6.0,4.0,43%,0.0,1.0,438.0,360.0,82%,,,,,,,,,,,,,,,,,,2.0,,,
