fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,home_yellow_cards,away_yellow_cards,home_goals_prevented,away_goals_prevented
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Arsenal,42,True,Manchester City,50,1,1,Draw,1,PEN,3.0,3.0,7.0,1.0,6.0,1.0,6.0,5.0,,45%,,4.0,485.0,428.0,88%,,,,,,,,,,,,,,,,,,3.0,,,
1030795,2023-08-06T15:00:00+00:00,Community Shield,2023,Final,Manchester City,50,False,Arsenal,42,1,1,Draw,1,PEN,,,,,,,,,,,,,,,,,4.0,2.0,8.0,2.0,5.0,3.0,11.0,6.0,,55%,,2.0,590.0,522.0,88%,,,1.0,,
