fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,home_yellow_cards,away_yellow_cards,home_goals_prevented,away_goals_prevented
1126144,2023-09-19T16:45:00+00:00,Champions League,2023,Group F - 1,AC Milan,489,True,Newcastle,34,0,0,Draw,1,FT,9.0,10.0,25.0,6.0,16.0,9.0,16.0,6.0,4.0,53%,,1.0,404.0,339.0,84%,1.99,,,,,,,,,,,,,,,,,4.0,,,
1126144,2023-09-19T16:45:00+00:00,Champions League,2023,Group F - 1,Newcastle,34,False,AC Milan,489,0,0,Draw,1,FT,,,,,,,,,,,,,,,,,1.0,3.0,6.0,2.0,2.0,4.0,13.0,1.0,3.0,47%,,8.0,377.0,319.0,85%,0.28,,1.0,,
1126149,2023-09-19T19:00:00+00:00,Champions League,2023,Group G - 1,Manchester City,50,True,FK Crvena Zvezda,598,3,1,Win,3,FT,16.0,11.0,37.0,10.0,28.0,9.0,5.0,12.0,1.0,76%,,1.0,733.0,681.0,93%,4.13,,,,,,,,,,,,,,,,,2.0,,,
1126149,2023-09-19T19:00:00+00:00,Champions League,2023,Group G - 1,FK Crvena Zvezda,598,False,Manchester City,50,1,3,Loss,0,FT,,,,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,2.0,1.0,9.0,0.0,1.0,24%,,13.0,234.0,179.0,76%,0.78,,2.0,,
1126156,2023-09-20T19:00:00+00:00,Champions League,2023,Group B - 1,Arsenal,42,True,PSV Eindhoven,197,4,0,Win,3,FT,8.0,5.0,17.0,4.0,14.0,3.0,9.0,4.0,3.0,59%,,4.0,584.0,521.0,89%,2.36,,,,,,,,,,,,,,,,,1.0,,,
1126156,2023-09-20T19:00:00+00:00,Champions League,2023,Group B - 1,PSV Eindhoven,197,False,Arsenal,42,0,4,Loss,0,FT,,,,,,,,,,,,,,,,,4.0,5.0,12.0,3.0,6.0,6.0,8.0,4.0,1.0,41%,,4.0,406.0,333.0,82%,0.57,,3.0,,
1126154,2023-09-20T19:00:00+00:00,Champions League,2023,Group A - 1,Bayern Munich,157,True,Manchester United,33,4,3,Win,3,FT,9.0,4.0,19.0,6.0,14.0,5.0,8.0,7.0,2.0,60%,,1.0,600.0,538.0,90%,2.46,,,,,,,,,,,,,,,,,1.0,,,
1126154,2023-09-20T19:00:00+00:00,Champions League,2023,Group A - 1,Manchester United,33,False,Bayern Munich,157,3,4,Loss,0,FT,,,,,,,,,,,,,,,,,4.0,4.0,9.0,1.0,8.0,1.0,8.0,3.0,0.0,40%,,5.0,393.0,335.0,85%,1.68,,1.0,,
1126162,2023-10-03T19:00:00+00:00,Champions League,2023,Group A - 2,Manchester United,33,True,Galatasaray,645,2,3,Loss,0,FT,5.0,5.0,16.0,6.0,11.0,5.0,13.0,9.0,4.0,55%,1.0,1.0,459.0,346.0,75%,2.10,,,,,,,,,,,,,,,,,3.0,,,
1126162,2023-10-03T19:00:00+00:00,Champions League,2023,Group A - 2,Galatasaray,645,False,Manchester United,33,3,2,Win,3,FT,,,,,,,,,,,,,,,,,4.0,7.0,15.0,4.0,11.0,4.0,16.0,3.0,0.0,45%,0.0,4.0,383.0,269.0,70%,2.64,,3.0,,
