team_id,Opponent
1,Aston Villa
2,Bournemouth
3,Brentford
4,Brighton
5,Burnley
6,Chelsea
7,Crystal Palace
8,Everton
9,Fulham
10,Liverpool
11,Luton Town
12,Manchester City
13,Manchester Utd
14,Newcastle United
15,Nottingham Forest
16,Sheffield United
17,Tottenham Hotspur
18,West Ham United
19,Wolves
20,deBayern Munich
21,esSevilla
22,frLens
23,nlPSV
24,ptPorto
