season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2022-2023,622,A. Laporte,Manchester City,Missing Fixture,Knee Injury,2022-08-07,,199
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-08-07,,307
2022-2023,622,A. Laporte,Manchester City,Missing Fixture,Knee Injury,2022-08-13,,199
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-08-13,,307
2022-2023,622,A. Laporte,Manchester City,Missing Fixture,Knee Injury,2022-08-21,,199
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-08-21,,307
2022-2023,622,A. Laporte,Manchester City,Missing Fixture,Knee Injury,2022-08-27,,199
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-08-27,,307
2022-2023,622,A. Laporte,Manchester City,Missing Fixture,Knee Injury,2022-08-31,,199
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-08-31,,307
2022-2023,622,A. Laporte,Manchester City,Missing Fixture,Knee Injury,2022-09-03,,199
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-09-03,,307
2022-2023,622,A. Laporte,Manchester City,Missing Fixture,Knee Injury,2022-09-06,,199
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-09-06,,307
2022-2023,626,J. Stones,Manchester City,Missing Fixture,Injury,2022-09-06,,171
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Injury,2022-09-06,,66
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-09-14,,307
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-09-17,,307
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-10-02,,307
2022-2023,626,J. Stones,Manchester City,Missing Fixture,Thigh Injury,2022-10-02,,171
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-10-02,,34
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-10-05,,307
2022-2023,626,J. Stones,Manchester City,Missing Fixture,Thigh Injury,2022-10-05,,171
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-10-05,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Knock,2022-10-05,,66
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-10-08,,307
2022-2023,626,J. Stones,Manchester City,Missing Fixture,Thigh Injury,2022-10-08,,171
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-10-08,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Muscle Injury,2022-10-08,,66
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-10-11,,307
2022-2023,626,J. Stones,Manchester City,Missing Fixture,Thigh Injury,2022-10-11,,171
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-10-11,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Muscle Injury,2022-10-11,,66
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-10-16,,307
2022-2023,626,J. Stones,Manchester City,Missing Fixture,Thigh Injury,2022-10-16,,171
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-10-16,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Muscle Injury,2022-10-16,,66
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-10-22,,307
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-10-22,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Muscle Injury,2022-10-22,,66
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-10-25,,307
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-10-25,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Muscle Injury,2022-10-25,,66
2022-2023,23,S. Gomez,Manchester City,Missing Fixture,Red Card,2022-10-25,,0
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-10-29,,307
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-10-29,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Muscle Injury,2022-10-29,,66
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-11-02,,307
2022-2023,1100,E. Haaland,Manchester City,Missing Fixture,Foot Injury,2022-11-02,,0
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-11-02,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Muscle Injury,2022-11-02,,66
2022-2023,623,B. Mendy,Manchester City,Missing Fixture,Suspended,2022-11-05,,307
2022-2023,19130,K. Phillips,Manchester City,Missing Fixture,Shoulder Injury,2022-11-05,,34
2022-2023,627,K. Walker,Manchester City,Missing Fixture,Muscle Injury,2022-11-05,,66
