Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2023-08-12,17:30(18:30),Premier League,Matchweek 1,Sat,Home,W,5,1,Aston Villa,53,"52,207",Kieran Trippier,4-3-3,4-2-3-1,Andy Madley,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,Match Report,
2023-08-19,20:00(21:00),Premier League,Matchweek 2,Sat,Away,L,0,1,Manchester City,40,"53,419",Kieran Trippier,4-3-3,4-2-3-1,Robert Jones,https://fbref.com/en/matches/0b8f50a5/Manchester-City-Newcastle-United-August-19-2023-Premier-League,Match Report,
2023-08-27,16:30(17:30),Premier League,Matchweek 3,Sun,Home,L,1,2,Liverpool,60,"52,214",Kieran Trippier,4-3-3,4-3-3,John Brooks,https://fbref.com/en/matches/b31156ab/Newcastle-United-Liverpool-August-27-2023-Premier-League,Match Report,
2023-09-02,17:30(18:30),Premier League,Matchweek 4,Sat,Away,L,1,3,Brighton,44,"31,620",Kieran Trippier,4-3-3,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/4f754e0a/Brighton-and-Hove-Albion-Newcastle-United-September-2-2023-Premier-League,Match Report,
2023-09-16,17:30(18:30),Premier League,Matchweek 5,Sat,Home,W,1,0,Brentford,57,"51,670",Kieran Trippier,4-3-3,5-3-2,Craig Pawson,https://fbref.com/en/matches/71b7e5e2/Newcastle-United-Brentford-September-16-2023-Premier-League,Match Report,
2023-09-24,16:30(17:30),Premier League,Matchweek 6,Sun,Away,W,8,0,Sheffield United,58,"31,127",Kieran Trippier,4-3-3,3-4-3,Stuart Attwell,https://fbref.com/en/matches/cf4fef85/Sheffield-United-Newcastle-United-September-24-2023-Premier-League,Match Report,
2023-09-30,15:00(16:00),Premier League,Matchweek 7,Sat,Home,W,2,0,Burnley,53,"51,687",Jamaal Lascelles,4-3-3,4-2-3-1,Thomas Bramall,https://fbref.com/en/matches/a79ff136/Newcastle-United-Burnley-September-30-2023-Premier-League,Match Report,
2023-10-08,14:00(15:00),Premier League,Matchweek 8,Sun,Away,D,2,2,West Ham United,65,"62,473",Jamaal Lascelles,4-3-3,4-2-3-1,Peter Bankes,https://fbref.com/en/matches/017c9ca5/West-Ham-United-Newcastle-United-October-8-2023-Premier-League,Match Report,
2023-10-21,15:00(16:00),Premier League,Matchweek 9,Sat,Home,W,4,0,Crystal Palace,60,"52,189",Jamaal Lascelles,4-3-3,4-3-3,Tim Robinson,https://fbref.com/en/matches/21625dde/Newcastle-United-Crystal-Palace-October-21-2023-Premier-League,Match Report,
2023-10-28,17:30(18:30),Premier League,Matchweek 10,Sat,Away,D,2,2,Wolves,57,"31,584",Jamaal Lascelles,4-3-3,4-4-2,Anthony Taylor,https://fbref.com/en/matches/b84d060a/Wolverhampton-Wanderers-Newcastle-United-October-28-2023-Premier-League,Match Report,
2023-11-04,17:30(18:30),Premier League,Matchweek 11,Sat,Home,W,1,0,Arsenal,41,"52,194",Jamaal Lascelles,4-3-3,4-3-3,Stuart Attwell,https://fbref.com/en/matches/6096abaa/Newcastle-United-Arsenal-November-4-2023-Premier-League,Match Report,
