team,appearances,minutesPlayed,goals,assists,shotsOnTarget,totalShots,bigChancesMissed,successfulDribbles,aerialDuelsWon,rating
FC Barcelona,1,90,0,0,0,0,0,0,2,8.3
Inter,1,90,0,0,0,0,0,0,0,8.3
Juventus,3,210,0,0,0,0,0,1,0,7.93
Feyenoord,2,126,0,0,0,0,0,0,4,7.85
Girona FC,1,90,0,0,0,0,0,0,1,7.8
Sporting CP,2,180,0,0,0,0,0,0,2,7.75
Shakhtar Donetsk,8,720,0,0,0,0,0,1,10,7.68
Liverpool FC,6,570,0,0,0,0,0,0,1,7.63
Liverpool FC,4,360,0,0,0,0,0,0,2,7.5
Bologna,7,630,0,0,0,0,0,1,7,7.49
FK Crvena zvezda,3,270,0,0,0,0,0,0,1,7.43
Real Madrid,12,1110,0,0,0,0,0,0,5,7.43
Aston Villa,12,1080,0,0,0,0,0,0,3,7.42
Real Madrid,2,180,0,0,0,0,0,0,2,7.4
Inter,14,1290,0,0,0,0,0,1,4,7.39
Bayer 04 Leverkusen,4,360,0,0,0,0,0,0,2,7.3
Girona FC,7,630,0,0,0,0,0,0,2,7.3
Milan,10,861,0,0,0,0,0,1,0,7.26
Arsenal,13,1170,0,0,0,0,0,0,5,7.22
Stade Brestois,9,810,0,0,0,0,0,0,3,7.22
Bologna,1,90,0,0,0,0,0,0,0,7.2
Celtic,10,900,0,0,0,0,0,0,1,7.17
SK Sturm Graz,6,540,0,0,0,0,0,0,4,7.17
FC Barcelona,8,750,0,0,0,0,0,0,2,7.15
Club Brugge KV,12,1080,0,0,0,0,0,1,1,7.13
BSC Young Boys,4,360,0,0,0,0,0,0,0,7.13
Sporting CP,8,720,0,0,0,0,0,0,1,7.13
ŠK Slovan Bratislava,8,720,0,0,0,0,0,0,5,7.13
Lille,10,900,0,0,0,0,0,0,1,7.11
Borussia Dortmund,1,90,0,0,0,0,0,0,0,7.1
Paris Saint-Germain,2,180,0,0,0,0,0,0,0,7.1
Atlético Madrid,10,930,0,0,0,0,0,0,1,7.1
Paris Saint-Germain,15,1380,0,0,0,0,0,0,11,7.1
AC Sparta Praha,8,720,0,0,0,0,0,0,3,7.08
AS Monaco,8,720,0,0,0,0,0,0,3,7.06
GNK Dinamo Zagreb,3,270,0,0,0,0,0,0,1,7.03
FC Bayern München,1,90,0,0,0,0,0,0,1,7.0
Milan,1,39,0,0,0,0,0,0,0,7.0
RB Leipzig,2,180,0,0,0,0,0,2,0,7.0
PSV Eindhoven,11,1020,0,0,0,0,0,0,5,6.99
Feyenoord,11,954,0,0,0,0,0,0,3,6.99
Borussia Dortmund,13,1170,0,0,0,0,0,0,1,6.98
Manchester City,2,180,0,0,0,0,0,0,0,6.95
Benfica,12,1080,0,0,0,0,0,0,3,6.95
Juventus,8,719,0,0,0,0,0,0,2,6.94
SK Sturm Graz,2,180,0,0,0,0,0,0,1,6.9
Red Bull Salzburg,4,336,0,1,0,0,0,0,1,6.85
Manchester City,8,720,0,0,0,0,0,0,0,6.85
Atalanta,9,810,0,0,0,0,0,0,3,6.83
FC Bayern München,4,302,0,0,0,0,0,0,2,6.8
GNK Dinamo Zagreb,5,450,0,0,0,0,0,0,1,6.72
PSV Eindhoven,1,90,0,0,0,0,0,0,0,6.7
RB Leipzig,6,540,0,0,0,0,0,0,1,6.7
FC Bayern München,10,823,0,0,0,0,0,1,1,6.7
Bayer 04 Leverkusen,6,540,0,0,0,0,0,1,0,6.65
Atalanta,1,90,0,0,0,0,0,0,0,6.6
FC Barcelona,5,450,0,0,0,0,0,0,0,6.6
FC Bayern München,1,45,0,0,0,0,0,0,0,6.4
AS Monaco,2,180,0,0,0,0,0,0,1,6.4
BSC Young Boys,4,360,0,0,0,0,0,1,0,6.4
VfB Stuttgart,7,630,0,0,0,0,0,0,1,6.39
VfB Stuttgart,1,90,0,0,0,0,0,1,0,6.3
FK Crvena zvezda,3,270,0,0,0,0,0,0,1,6.27
Red Bull Salzburg,5,384,0,0,0,0,0,0,1,6.2
Arsenal,1,90,0,0,0,0,0,0,0,6.1
FK Crvena zvezda,2,180,0,0,0,0,0,0,0,5.95
Stade Brestois,1,90,0,0,0,0,0,0,0,5.8
Manchester City,7,531,1,3,3,5,0,11,2,7.75
Paris Saint-Germain,17,1541,4,5,15,36,3,20,8,7.55
Atlético Madrid,8,693,2,4,4,10,0,4,1,7.49
Borussia Dortmund,12,1080,0,1,5,9,1,4,11,7.41
Real Madrid,2,180,0,1,0,1,0,0,2,7.4
Paris Saint-Germain,16,1449,4,1,4,15,0,25,21,7.38
Lille,2,116,0,0,0,0,0,3,0,7.35
AS Monaco,6,508,2,1,2,4,0,0,14,7.33
Paris Saint-Germain,16,1440,0,0,3,9,2,3,42,7.32
Manchester City,6,364,1,2,2,4,1,0,8,7.32
Liverpool FC,9,840,1,0,2,4,0,1,13,7.31
Juventus,2,96,0,0,0,0,0,0,2,7.3
FC Bayern München,9,701,2,0,3,9,0,11,4,7.28
