team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
FC Barcelona,1,90,0,0,0,28,8,0,0,0,19,0,8.3
Inter,1,90,0,0,0,36,4,0,0,0,8,0,8.3
Juventus,3,210,0,0,0,56,9,1,0,1,24,0,7.93
Feyenoord,2,126,0,1,0,32,9,0,0,0,18,0,7.85
Girona FC,1,90,0,0,0,30,4,0,0,0,6,0,7.8
Sporting CP,2,180,0,0,0,51,9,0,0,0,19,0,7.75
Shakhtar Donetsk,8,720,0,1,0,233,73,1,0,0,79,0,7.68
Liverpool FC,6,570,0,0,0,156,34,0,0,0,48,0,7.63
Liverpool FC,4,360,0,0,0,116,16,0,0,0,25,0,7.5
Bologna,7,630,0,0,0,159,26,1,2,1,49,0,7.49
FK Crvena zvezda,3,270,0,0,0,47,26,0,1,0,24,0,7.43
Real Madrid,12,1110,0,0,0,272,25,0,0,0,84,0,7.43
Aston Villa,12,1080,0,0,0,338,55,0,1,1,100,0,7.42
Real Madrid,2,180,0,0,0,21,2,0,0,0,16,0,7.4
Inter,14,1290,0,0,0,464,87,1,0,0,103,0,7.39
Bayer 04 Leverkusen,4,360,0,0,0,88,23,0,0,0,30,0,7.3
Girona FC,7,630,0,0,0,172,30,0,0,0,47,0,7.3
Milan,10,861,0,0,0,265,46,1,0,1,76,0,7.26
Arsenal,13,1170,0,1,0,270,78,0,0,0,99,0,7.22
Stade Brestois,9,810,0,0,0,136,87,0,1,0,73,0,7.22
Bologna,1,90,0,0,0,27,7,0,0,0,8,0,7.2
Celtic,10,900,0,0,0,305,39,0,0,0,73,0,7.17
SK Sturm Graz,6,540,0,0,0,111,40,0,0,0,39,0,7.17
FC Barcelona,8,750,0,0,0,216,26,0,0,0,75,0,7.15
Club Brugge KV,12,1080,0,0,0,328,81,1,0,0,83,0,7.13
BSC Young Boys,4,360,0,1,0,113,20,0,0,0,33,0,7.13
Sporting CP,8,720,0,0,0,187,31,0,1,0,48,0,7.13
ŠK Slovan Bratislava,8,720,0,1,1,122,35,0,0,0,69,0,7.13
Lille,10,900,0,0,0,215,63,0,1,0,60,0,7.11
Borussia Dortmund,1,90,0,0,0,37,4,0,0,0,8,0,7.1
Paris Saint-Germain,2,180,0,0,0,32,8,0,0,0,11,0,7.1
Atlético Madrid,10,930,0,0,0,122,32,0,0,0,80,0,7.1
Paris Saint-Germain,15,1380,0,0,0,283,55,0,0,2,103,0,7.1
AC Sparta Praha,8,720,0,1,0,143,54,0,0,0,68,0,7.08
AS Monaco,8,720,0,0,0,128,22,0,0,0,76,0,7.06
GNK Dinamo Zagreb,3,270,0,0,0,61,20,0,0,1,17,0,7.03
FC Bayern München,1,90,0,0,0,26,6,0,0,0,5,0,7.0
Milan,1,39,0,0,0,11,3,0,0,0,2,0,7.0
RB Leipzig,2,180,0,0,0,47,6,2,0,0,18,0,7.0
PSV Eindhoven,11,1020,0,0,0,324,87,0,0,0,87,0,6.99
Feyenoord,11,954,0,0,0,286,61,0,0,0,94,0,6.99
Borussia Dortmund,13,1170,0,0,0,305,52,0,0,1,104,0,6.98
Manchester City,2,180,0,0,0,40,3,0,0,0,7,0,6.95
Benfica,12,1080,0,0,0,190,31,0,1,0,98,0,6.95
Juventus,8,719,0,1,0,150,44,0,0,0,58,0,6.94
SK Sturm Graz,2,180,0,0,0,30,11,0,0,0,18,0,6.9
Red Bull Salzburg,4,336,1,1,0,66,18,0,0,0,30,0,6.85
Manchester City,8,720,0,0,0,185,29,0,0,0,42,0,6.85
Atalanta,9,810,0,1,0,154,47,0,0,1,47,0,6.83
FC Bayern München,4,302,0,0,0,65,20,0,0,0,19,0,6.8
GNK Dinamo Zagreb,5,450,0,0,0,97,29,0,0,0,35,0,6.72
PSV Eindhoven,1,90,0,0,0,33,9,0,0,0,5,0,6.7
RB Leipzig,6,540,0,0,0,183,11,0,0,0,38,0,6.7
FC Bayern München,10,823,0,0,0,289,73,1,0,0,78,0,6.7
Bayer 04 Leverkusen,6,540,0,0,0,133,36,1,0,0,38,0,6.65
Atalanta,1,90,0,0,0,29,9,0,0,0,8,0,6.6
FC Barcelona,5,450,0,0,0,125,9,0,0,0,36,0,6.6
FC Bayern München,1,45,0,0,0,13,0,0,0,0,3,0,6.4
AS Monaco,2,180,0,0,0,23,5,0,1,0,10,0,6.4
BSC Young Boys,4,360,0,0,0,92,28,1,1,0,23,0,6.4
VfB Stuttgart,7,630,0,0,0,199,39,0,1,0,58,0,6.39
VfB Stuttgart,1,90,0,1,0,17,7,1,0,0,5,0,6.3
FK Crvena zvezda,3,270,0,0,0,68,16,0,0,0,13,0,6.27
Red Bull Salzburg,5,384,0,0,0,84,19,0,0,0,24,0,6.2
Arsenal,1,90,0,0,0,16,4,0,0,0,10,0,6.1
FK Crvena zvezda,2,180,0,0,0,21,12,0,0,0,15,0,5.95
Stade Brestois,1,90,0,0,0,13,8,0,0,0,11,0,5.8
Manchester City,7,531,3,10,5,334,6,11,18,7,29,1,7.75
Paris Saint-Germain,17,1541,5,36,6,1065,24,20,37,16,110,4,7.55
Atlético Madrid,8,693,4,11,5,346,11,4,20,5,41,2,7.49
Borussia Dortmund,12,1080,1,6,1,943,94,4,28,12,67,0,7.41
Real Madrid,2,180,1,3,0,102,6,0,7,5,9,0,7.4
Paris Saint-Germain,16,1449,1,13,1,849,46,25,48,23,83,4,7.38
Lille,2,116,0,1,0,35,3,3,3,6,6,0,7.35
AS Monaco,6,508,1,2,1,258,16,0,12,9,33,2,7.33
Paris Saint-Germain,16,1440,0,8,1,1095,55,3,29,6,67,0,7.32
Manchester City,6,364,2,6,2,368,12,0,5,1,21,1,7.32
Liverpool FC,9,840,0,2,0,632,48,1,6,7,29,1,7.31
Juventus,2,96,0,0,0,64,5,0,4,1,8,0,7.3
FC Bayern München,9,701,0,12,0,410,6,11,18,7,42,2,7.28
Benfica,12,1080,0,1,1,578,57,0,29,23,41,1,7.25
Atalanta,4,266,2,3,0,115,9,3,5,3,15,0,7.23
Liverpool FC,6,443,1,10,2,246,11,2,5,12,17,0,7.22
Arsenal,9,804,0,0,0,518,11,1,5,6,22,1,7.21
Inter,9,688,0,0,0,488,20,0,3,7,34,0,7.21
Liverpool FC,7,649,0,1,0,298,14,0,4,9,30,1,7.2
FC Bayern München,11,990,0,6,2,825,35,5,21,13,56,0,7.2
Milan,7,541,0,1,0,349,9,1,15,8,27,0,7.2
PSV Eindhoven,11,858,0,2,0,596,43,2,22,20,40,3,7.19
FC Barcelona,11,958,1,3,1,774,39,0,11,4,38,2,7.19
Celtic,10,838,0,2,1,416,13,3,28,14,34,0,7.19
PSV Eindhoven,11,912,0,7,1,708,80,1,16,19,44,0,7.18
Bayer 04 Leverkusen,5,360,1,2,1,242,5,1,7,7,15,1,7.18
Stade Brestois,2,180,0,0,0,62,8,0,4,3,6,0,7.15
Inter,12,910,0,3,1,500,18,0,11,14,21,1,7.13
FC Bayern München,11,785,1,15,2,396,7,8,18,8,42,1,7.13
Milan,5,343,1,1,1,231,16,0,5,2,10,1,7.12
Benfica,7,500,1,4,1,187,6,3,15,12,21,1,7.11
Bologna,7,530,0,0,0,372,32,1,16,8,33,1,7.11
Atalanta,8,618,0,9,0,238,20,8,30,8,40,0,7.11
Lille,10,900,1,5,0,554,35,7,11,9,54,0,7.11
Borussia Dortmund,12,747,1,9,1,369,9,6,23,16,42,2,7.1
Shakhtar Donetsk,2,162,0,2,1,71,3,2,5,1,7,0,7.1
SK Sturm Graz,5,450,0,6,2,101,8,1,10,7,18,0,7.08
Stade Brestois,4,256,0,0,0,74,9,1,8,5,12,1,7.08
Liverpool FC,8,551,1,9,3,354,10,4,6,5,32,0,7.08
Manchester City,8,646,1,4,1,609,13,2,5,3,35,0,7.08
Girona FC,6,540,0,8,0,229,12,8,10,4,27,1,7.07
VfB Stuttgart,8,705,2,9,3,339,10,6,31,5,41,0,7.06
Manchester City,10,814,1,7,2,589,8,4,15,10,50,0,7.06
Sporting CP,7,488,0,0,0,424,30,4,11,2,20,1,7.06
Bayer 04 Leverkusen,9,774,0,4,0,455,16,2,19,9,33,1,7.06
Juventus,9,801,1,2,0,509,16,7,7,17,39,0,7.06
Bayer 04 Leverkusen,9,669,0,3,0,530,31,2,7,5,26,0,7.06
Paris Saint-Germain,17,1542,0,2,1,1070,29,3,27,20,80,0,7.05
Arsenal,8,430,1,4,2,163,2,2,13,8,21,1,7.05
GNK Dinamo Zagreb,6,540,0,0,0,176,16,0,21,4,14,0,7.05
FC Bayern München,13,1074,0,3,1,893,25,2,21,21,52,1,7.04
AS Monaco,9,781,2,8,2,286,22,10,23,15,50,0,7.03
Borussia Dortmund,12,940,1,1,0,626,32,9,28,16,54,2,7.03
Bologna,4,236,0,2,0,59,8,2,14,5,11,0,7.03
Manchester City,4,286,0,1,0,234,3,0,1,1,8,0,7.03
FC Bayern München,6,301,0,0,0,223,13,0,4,1,16,1,7.02
Benfica,10,900,2,13,3,407,25,16,20,20,62,0,7.02
Sporting CP,5,221,0,0,0,120,6,0,19,11,14,0,7.02
Aston Villa,11,990,0,2,0,500,15,2,11,10,48,1,7.02
FC Barcelona,13,1106,3,10,2,617,18,6,14,7,49,0,7.02
Atlético Madrid,8,750,0,1,0,446,21,0,15,6,29,1,7.01
Stade Brestois,8,720,0,14,1,294,43,7,13,8,46,0,7.01
Atalanta,9,678,0,2,0,409,11,1,9,6,32,1,7.01
Club Brugge KV,12,1079,0,17,1,476,38,4,26,13,52,1,7.01
Atalanta,9,639,1,3,0,345,5,5,13,9,31,1,7.0
Girona FC,5,389,1,1,1,254,15,0,5,3,8,1,7.0
