accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,position_group
12,0,0.0,3,25,40.98,19,44,63,63.0,0,0.0,0,5,0,0,0,0,41,0,0,0,1,6,5,0,0,0,0,0,0,0,0.0,,0,0,0.0,45,0,0,5,5,0,0,0,4.86,0,0.0,0,6,0,37,0,0,0,5,450,0,,0,0,0,0,0,1,0,0,0,41,0,4,7.7,0,0,1,14,11,25,0,3,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,28,0,0,0,0.0,61,51,49,100,38.5,0,1,167,0,2,0,Nick Pope,Newcastle United,162653,39,Goalkeepers
1,0,0.0,0,7,50.0,4,34,38,84.44,2,100.0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,8,0,0,1,1,0,0,0,0.25,0,0.0,0,0,0,7,0,0,0,1,90,0,,0,0,0,0,0,1,0,0,0,7,0,0,7.6,0,0,0,3,0,4,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,2,100.0,14,9,36,45,7.6,0,0,56,0,0,0,Alexander Meyer,Borussia Dortmund,138491,2673,Goalkeepers
24,0,0.0,3,42,42.0,14,147,161,73.52,3,100.0,0,8,0,0,0,0,63,0,0,0,2,13,8,0,0,0,1,1,0,1,0.0,,0,0,0.0,54,0,0,10,7,3,0,0,2.12,2,66.67,0,10,0,58,0,0,0,8,750,0,,0,0,0,0,0,2,0,1,0,59,0,7,7.58,0,0,3,21,14,35,0,5,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,28,0,0,5,83.33,100,54,165,219,60.6,0,3,321,2,0,0,Andriy Lunin,Real Madrid,857574,2829,Goalkeepers
15,0,0.0,1,23,32.86,11,227,238,82.64,1,50.0,1,7,0,0,0,0,56,0,0,0,4,5,7,0,0,0,0,1,0,0,0.01,,0,0,0.0,39,0,0,4,3,1,0,0,2.92,0,0.0,0,5,0,50,0,0,0,7,660,0,,0,0,0,0,0,0,0,0,0,51,0,3,7.54,0,0,0,20,5,25,1,7,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,34,0,0,1,50.0,70,42,246,288,52.8,0,1,361,0,0,0,Yann Sommer,Inter,16206,2697,Goalkeepers
25,0,0.0,8,77,47.53,58,281,339,79.95,1,100.0,0,12,0,0,0,0,77,0,0,0,6,13,12,0,0,0,1,1,0,0,0.03,,0,0,0.0,81,0,0,10,10,0,0,0,5.86,3,75.0,0,5,0,85,0,0,0,12,1080,0,,0,0,0,0,0,2,0,1,0,88,0,4,7.54,0,0,0,31,15,46,1,13,0.0,0,0,0,0,0,0,1,100.0,0,0,0,0.0,0,48,1,0,4,80.0,162,126,298,424,90.5,0,3,534,2,0,0,Gregor Kobel,Borussia Dortmund,556866,2673,Goalkeepers
15,0,0.0,6,50,46.73,24,153,177,75.0,1,100.0,0,6,0,0,0,0,45,0,0,0,2,4,6,0,0,0,0,0,0,0,0.01,,0,0,0.0,46,0,0,8,7,1,0,0,1.66,0,0.0,0,3,0,59,1,0,0,6,540,0,,0,0,0,0,0,2,0,0,0,59,0,2,7.53,0,0,1,18,7,25,0,6,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,39,0,0,1,100.0,107,65,171,236,45.2,0,0,295,0,1,0,Alexander Schlager,Red Bull Salzburg,282073,2046,Goalkeepers
1,0,0.0,0,1,20.0,0,14,14,77.78,1,100.0,0,1,0,0,0,0,8,0,0,0,1,1,1,0,0,0,1,1,0,0,0.0,,0,0,0.0,2,0,0,0,0,0,0,0,0.8,0,0.0,0,0,0,4,0,0,0,1,90,0,,0,0,0,0,0,0,0,0,0,4,0,1,7.5,0,0,0,2,1,3,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,1,50.0,5,3,15,18,7.5,0,0,28,0,0,0,Thibaut Courtois,Real Madrid,70988,2829,Goalkeepers
25,0,0.0,5,42,40.78,18,104,122,66.3,1,100.0,0,5,0,0,0,0,43,0,0,0,1,4,5,0,0,0,0,0,1,1,0.01,,0,0,0.0,31,0,0,11,9,2,0,0,3.46,1,100.0,0,1,0,62,0,0,0,5,450,0,,0,0,0,0,0,2,0,0,0,65,0,2,7.4,0,0,1,23,8,31,0,3,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,54,0,0,2,100.0,103,64,120,184,37.0,0,0,251,0,0,0,Anthony Racioppi,BSC Young Boys,857764,2445,Goalkeepers
21,0,0.0,4,37,46.25,18,119,137,75.69,4,100.0,0,6,0,0,0,0,56,0,0,0,2,8,6,0,0,0,0,0,0,1,0.01,,0,0,0.0,31,0,0,12,9,3,0,0,-0.37,4,100.0,0,8,0,44,0,0,0,6,540,0,,0,0,0,0,0,1,0,0,0,45,0,5,7.4,0,0,4,17,8,25,0,6,0.0,0,0,0,0,0,0,1,100.0,3,1,1,100.0,0,37,1,0,8,100.0,80,43,138,181,44.4,0,1,253,2,1,0,Dmytro Riznyk,Shakhtar Donetsk,941669,3313,Goalkeepers
15,0,0.0,4,18,48.65,10,44,54,73.97,1,100.0,0,2,0,0,0,0,16,0,0,0,0,2,2,0,0,0,1,1,0,0,0.0,,0,0,0.0,19,0,0,4,4,0,0,0,0.26,0,0.0,0,0,0,19,0,0,0,2,180,0,,0,0,0,0,0,1,0,0,0,19,0,2,7.35,0,0,0,7,1,8,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,28,0,0,1,50.0,37,27,46,73,14.7,0,0,95,0,0,0,Ørjan Nyland,Sevilla,22209,2833,Goalkeepers
