fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals
946888,2022-10-04T19:00:00+00:00,Champions League,2022,Group D - 3,Eintracht Frankfurt,169,True,Tottenham,47,0,0,Draw,1,FT,2.0,2.0,12.0,8.0,6.0,6.0,8.0,6.0,1.0,44%,0.0,1.0,470.0,366.0,78%,,,,,,,,,,,,,,,,,,,
946888,2022-10-04T19:00:00+00:00,Champions League,2022,Group D - 3,Tottenham,47,False,Eintracht Frankfurt,169,0,0,Draw,1,FT,,,,,,,,,,,,,,,,2.0,6.0,11.0,3.0,8.0,3.0,9.0,4.0,0.0,56%,3.0,2.0,611.0,513.0,84%,,,,
946891,2022-10-05T19:00:00+00:00,Champions League,2022,Group E - 3,Chelsea,49,True,AC Milan,489,3,0,Win,3,FT,6.0,2.0,10.0,2.0,9.0,1.0,15.0,4.0,3.0,51%,2.0,1.0,510.0,425.0,83%,,,,,,,,,,,,,,,,,,,
946891,2022-10-05T19:00:00+00:00,Champions League,2022,Group E - 3,AC Milan,489,False,Chelsea,49,0,3,Loss,0,FT,,,,,,,,,,,,,,,,1.0,1.0,4.0,2.0,4.0,0.0,14.0,3.0,1.0,49%,3.0,3.0,492.0,392.0,80%,,,,
946893,2022-10-05T19:00:00+00:00,Champions League,2022,Group G - 3,Manchester City,50,True,FC Copenhagen,400,5,0,Win,3,FT,16.0,6.0,30.0,8.0,17.0,13.0,7.0,7.0,,75%,0.0,1.0,851.0,794.0,93%,,,,,,,,,,,,,,,,,,,
946893,2022-10-05T19:00:00+00:00,Champions League,2022,Group G - 3,FC Copenhagen,400,False,Manchester City,50,0,5,Loss,0,FT,,,,,,,,,,,,,,,,0.0,1.0,2.0,1.0,2.0,0.0,6.0,1.0,,25%,1.0,12.0,281.0,213.0,76%,,,,
946897,2022-10-11T16:45:00+00:00,Champions League,2022,Group G - 4,FC Copenhagen,400,True,Manchester City,50,0,0,Draw,1,FT,1.0,4.0,6.0,1.0,0.0,6.0,13.0,4.0,1.0,41%,2.0,4.0,445.0,376.0,84%,,,,,,,,,,,,,,,,0.0,,,
946897,2022-10-11T16:45:00+00:00,Champions League,2022,Group G - 4,Manchester City,50,False,FC Copenhagen,400,0,0,Draw,1,FT,,,,,,,,,,,,,,,,4.0,6.0,14.0,4.0,6.0,8.0,6.0,8.0,2.0,59%,1.0,1.0,635.0,571.0,90%,,1.0,,
946900,2022-10-11T19:00:00+00:00,Champions League,2022,Group E - 4,AC Milan,489,True,Chelsea,49,0,2,Loss,0,FT,1.0,4.0,7.0,2.0,4.0,3.0,12.0,2.0,0.0,30%,6.0,2.0,295.0,224.0,76%,,,,,,,,,,,,,,,,1.0,,,
946900,2022-10-11T19:00:00+00:00,Champions League,2022,Group E - 4,Chelsea,49,False,AC Milan,489,2,0,Win,3,FT,,,,,,,,,,,,,,,,4.0,7.0,15.0,4.0,10.0,5.0,18.0,5.0,2.0,70%,3.0,1.0,701.0,652.0,93%,,0.0,,
946911,2022-10-12T19:00:00+00:00,Champions League,2022,Group D - 4,Tottenham,47,True,Eintracht Frankfurt,169,3,2,Win,3,FT,8.0,2.0,11.0,1.0,8.0,3.0,13.0,4.0,3.0,51%,3.0,4.0,494.0,416.0,84%,,,,,,,,,,,,,,,,0.0,,,
946911,2022-10-12T19:00:00+00:00,Champions League,2022,Group D - 4,Eintracht Frankfurt,169,False,Tottenham,47,2,3,Loss,0,FT,,,,,,,,,,,,,,,,6.0,3.0,11.0,2.0,5.0,6.0,15.0,4.0,0.0,49%,4.0,5.0,462.0,376.0,81%,,1.0,,
946907,2022-10-12T19:00:00+00:00,Champions League,2022,Group A - 4,Rangers,257,True,Liverpool,40,1,7,Loss,0,FT,2.0,2.0,7.0,3.0,4.0,3.0,7.0,3.0,2.0,43%,0.0,2.0,413.0,287.0,69%,,,,,,,,,,,,,,,,,,,
946907,2022-10-12T19:00:00+00:00,Champions League,2022,Group A - 4,Liverpool,40,False,Rangers,257,7,1,Win,3,FT,,,,,,,,,,,,,,,,9.0,5.0,20.0,6.0,14.0,6.0,6.0,3.0,3.0,57%,1.0,1.0,546.0,436.0,80%,,,,
946913,2022-10-25T16:45:00+00:00,Champions League,2022,Group E - 5,Red Bull Salzburg,571,True,Chelsea,49,1,2,Loss,0,FT,7.0,5.0,16.0,4.0,10.0,6.0,18.0,9.0,1.0,30%,1.0,8.0,230.0,115.0,50%,,,,,,,,,,,,,,,,,,,
946913,2022-10-25T16:45:00+00:00,Champions League,2022,Group E - 5,Chelsea,49,False,Red Bull Salzburg,571,2,1,Win,3,FT,,,,,,,,,,,,,,,,11.0,2.0,15.0,2.0,11.0,4.0,11.0,2.0,0.0,70%,2.0,5.0,601.0,503.0,84%,,,,
946918,2022-10-25T19:00:00+00:00,Champions League,2022,Group G - 5,Borussia Dortmund,165,True,Manchester City,50,0,0,Draw,1,FT,4.0,4.0,11.0,3.0,6.0,5.0,5.0,0.0,3.0,27%,1.0,3.0,341.0,276.0,81%,,,,,,,,,,,,,,,,,,,
946918,2022-10-25T19:00:00+00:00,Champions League,2022,Group G - 5,Manchester City,50,False,Borussia Dortmund,165,0,0,Draw,1,FT,,,,,,,,,,,,,,,,3.0,3.0,8.0,2.0,5.0,3.0,10.0,3.0,3.0,73%,4.0,4.0,902.0,835.0,93%,,,,
946927,2022-10-26T19:00:00+00:00,Champions League,2022,Group D - 5,Tottenham,47,True,Sporting CP,228,1,1,Draw,1,FT,7.0,8.0,18.0,3.0,13.0,5.0,12.0,10.0,5.0,58%,1.0,3.0,550.0,463.0,84%,,,,,,,,,,,,,,,,,,,
946927,2022-10-26T19:00:00+00:00,Champions League,2022,Group D - 5,Sporting CP,228,False,Tottenham,47,1,1,Draw,1,FT,,,,,,,,,,,,,,,,4.0,6.0,10.0,0.0,7.0,3.0,10.0,6.0,1.0,42%,2.0,5.0,406.0,322.0,79%,,,,
946924,2022-10-26T19:00:00+00:00,Champions League,2022,Group A - 5,Ajax,194,True,Liverpool,40,0,3,Loss,0,FT,2.0,8.0,11.0,1.0,8.0,3.0,6.0,3.0,0.0,49%,,2.0,532.0,435.0,82%,,,,,,,,,,,,,,,,,,,
946924,2022-10-26T19:00:00+00:00,Champions League,2022,Group A - 5,Liverpool,40,False,Ajax,194,3,0,Win,3,FT,,,,,,,,,,,,,,,,5.0,7.0,13.0,1.0,10.0,3.0,9.0,4.0,1.0,51%,,1.0,543.0,473.0,87%,,,,
946931,2022-11-01T20:00:00+00:00,Champions League,2022,Group A - 6,Liverpool,40,True,Napoli,492,2,0,Win,3,FT,6.0,6.0,14.0,2.0,12.0,2.0,18.0,4.0,3.0,52%,3.0,2.0,494.0,405.0,82%,,,,,,,,,,,,,,,,,,,
946931,2022-11-01T20:00:00+00:00,Champions League,2022,Group A - 6,Napoli,492,False,Liverpool,40,0,2,Loss,0,FT,,,,,,,,,,,,,,,,2.0,6.0,10.0,2.0,6.0,4.0,10.0,3.0,3.0,48%,0.0,4.0,454.0,366.0,81%,,,,
946936,2022-11-01T20:00:00+00:00,Champions League,2022,Group D - 6,Marseille,81,True,Tottenham,47,1,2,Loss,0,FT,4.0,9.0,16.0,3.0,13.0,3.0,9.0,9.0,3.0,64%,1.0,1.0,669.0,595.0,89%,,,,,,,,,,,,,,,,,,,
946936,2022-11-01T20:00:00+00:00,Champions League,2022,Group D - 6,Tottenham,47,False,Marseille,81,2,1,Win,3,FT,,,,,,,,,,,,,,,,3.0,3.0,7.0,1.0,4.0,3.0,10.0,3.0,3.0,36%,2.0,3.0,382.0,314.0,82%,,,,
946939,2022-11-02T20:00:00+00:00,Champions League,2022,Group E - 6,Chelsea,49,True,Dinamo Zagreb,620,2,1,Win,3,FT,6.0,12.0,22.0,4.0,18.0,4.0,17.0,9.0,,59%,1.0,1.0,595.0,530.0,89%,,,,,,,,,,,,,,,,,,,
946939,2022-11-02T20:00:00+00:00,Champions League,2022,Group E - 6,Dinamo Zagreb,620,False,Chelsea,49,1,2,Loss,0,FT,,,,,,,,,,,,,,,,2.0,1.0,7.0,4.0,3.0,4.0,16.0,3.0,,41%,3.0,4.0,421.0,335.0,80%,,,,
946941,2022-11-02T20:00:00+00:00,Champions League,2022,Group G - 6,Manchester City,50,True,Sevilla,536,3,1,Win,3,FT,7.0,8.0,21.0,6.0,18.0,3.0,9.0,7.0,1.0,62%,,1.0,658.0,601.0,91%,,,,,,,,,,,,,,,,,,,
946941,2022-11-02T20:00:00+00:00,Champions League,2022,Group G - 6,Sevilla,536,False,Manchester City,50,1,3,Loss,0,FT,,,,,,,,,,,,,,,,2.0,5.0,7.0,0.0,7.0,0.0,7.0,1.0,0.0,38%,,4.0,418.0,359.0,86%,,,,
971793,2023-02-14T20:00:00+00:00,Champions League,2022,Round of 16,AC Milan,489,True,Tottenham,47,1,0,Win,3,FT,4.0,4.0,9.0,1.0,8.0,1.0,17.0,3.0,1.0,47%,2.0,3.0,404.0,322.0,80%,,,,,,,,,,,,,,,,,,1.89,
971793,2023-02-14T20:00:00+00:00,Champions League,2022,Round of 16,Tottenham,47,False,AC Milan,489,0,1,Loss,0,FT,,,,,,,,,,,,,,,,3.0,5.0,12.0,4.0,6.0,6.0,13.0,8.0,4.0,53%,2.0,3.0,441.0,352.0,80%,,,,0.50
971799,2023-02-15T20:00:00+00:00,Champions League,2022,Round of 16,Borussia Dortmund,165,True,Chelsea,49,1,0,Win,3,FT,2.0,5.0,14.0,7.0,8.0,6.0,13.0,5.0,0.0,48%,6.0,7.0,450.0,375.0,83%,,,,,,,,,,,,,,,,,,1.49,
971799,2023-02-15T20:00:00+00:00,Champions League,2022,Round of 16,Chelsea,49,False,Borussia Dortmund,165,0,1,Loss,0,FT,,,,,,,,,,,,,,,,8.0,7.0,21.0,6.0,15.0,6.0,12.0,10.0,3.0,52%,4.0,1.0,480.0,415.0,86%,,,,2.20
971801,2023-02-21T20:00:00+00:00,Champions League,2022,Round of 16,Liverpool,40,True,Real Madrid,541,2,5,Loss,0,FT,5.0,2.0,9.0,2.0,7.0,2.0,9.0,4.0,,52%,1.0,1.0,555.0,474.0,85%,,,,,,,,,,,,,,,,,,1.97,
971801,2023-02-21T20:00:00+00:00,Champions League,2022,Round of 16,Real Madrid,541,False,Liverpool,40,5,2,Win,3,FT,,,,,,,,,,,,,,,,6.0,2.0,9.0,1.0,8.0,1.0,9.0,3.0,,48%,1.0,2.0,527.0,449.0,85%,,,,1.64
971805,2023-02-22T20:00:00+00:00,Champions League,2022,Round of 16,RB Leipzig,173,True,Manchester City,50,1,1,Draw,1,FT,4.0,2.0,7.0,1.0,6.0,1.0,12.0,2.0,3.0,38%,1.0,2.0,427.0,366.0,86%,,,,,,,,,,,,,,,,,,0.77,
971805,2023-02-22T20:00:00+00:00,Champions League,2022,Round of 16,Manchester City,50,False,RB Leipzig,173,1,1,Draw,1,FT,,,,,,,,,,,,,,,,3.0,6.0,12.0,3.0,9.0,3.0,6.0,4.0,1.0,62%,0.0,3.0,700.0,635.0,91%,,,,1.18
971800,2023-03-07T20:00:00+00:00,Champions League,2022,Round of 16,Chelsea,49,True,Borussia Dortmund,165,2,0,Win,3,FT,4.0,7.0,13.0,2.0,9.0,4.0,17.0,5.0,6.0,40%,4.0,4.0,313.0,233.0,74%,,,,,,,,,,,,,,,,,,1.97,
971800,2023-03-07T20:00:00+00:00,Champions League,2022,Round of 16,Borussia Dortmund,165,False,Chelsea,49,0,2,Loss,0,FT,,,,,,,,,,,,,,,,4.0,5.0,13.0,4.0,7.0,6.0,9.0,3.0,0.0,60%,3.0,2.0,486.0,390.0,80%,,,,0.94
971794,2023-03-08T20:00:00+00:00,Champions League,2022,Round of 16,Tottenham,47,True,AC Milan,489,0,0,Draw,1,FT,2.0,3.0,9.0,4.0,6.0,3.0,18.0,6.0,0.0,54%,4.0,3.0,470.0,391.0,83%,,,,,,,,,,,,,,,,1.0,,0.47,
971794,2023-03-08T20:00:00+00:00,Champions League,2022,Round of 16,AC Milan,489,False,Tottenham,47,0,0,Draw,1,FT,,,,,,,,,,,,,,,,3.0,5.0,14.0,6.0,8.0,6.0,12.0,0.0,1.0,46%,1.0,3.0,423.0,355.0,84%,,0.0,,1.42
971806,2023-03-14T20:00:00+00:00,Champions League,2022,Round of 16,Manchester City,50,True,RB Leipzig,173,7,0,Win,3,FT,16.0,3.0,23.0,4.0,20.0,3.0,10.0,10.0,1.0,67%,2.0,1.0,647.0,589.0,91%,,,,,,,,,,,,,,,,,,4.24,
