season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2024-2025,Aston Villa 2024 2025,2024-11-03,Premier League,Tottenham Hotspur,2024-11-03_premier_league_tottenham_hotspur_goalkeeper_stats.csv,8fa951f9,https://fbref.com/en/matches/8fa951f9/Tottenham-Hotspur-Aston-Villa-November-3-2024-Premier-League,2024-11-03,Premier League,Matchweek 10,Away,Tottenham Hotspur,L,2024-11-03_premier_league_tottenham_hotspur,Aston Villa,Emiliano Martínez,ar ARG,32-062,90,6.0,4,2.0,33.3
2024-2025,Aston Villa 2024 2025,2024-11-06,Champions Lg,Beclub Brugge,2024-11-06_champions_lg_beclub_brugge_goalkeeper_stats.csv,b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,Emiliano Martínez,ar ARG,32-065,90,6.0,1,6.0,100.0
2024-2025,Aston Villa 2024 2025,2024-11-09,Premier League,Liverpool,2024-11-09_premier_league_liverpool_goalkeeper_stats.csv,737af5bf,https://fbref.com/en/matches/737af5bf/Liverpool-Aston-Villa-November-9-2024-Premier-League,2024-11-09,Premier League,Matchweek 11,Away,Liverpool,L,2024-11-09_premier_league_liverpool,Aston Villa,Emiliano Martínez,ar ARG,32-068,90,5.0,2,3.0,60.0
2024-2025,Aston Villa 2024 2025,2024-11-23,Premier League,Crystal Palace,2024-11-23_premier_league_crystal_palace_goalkeeper_stats.csv,bf2e07a1,https://fbref.com/en/matches/bf2e07a1/Aston-Villa-Crystal-Palace-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Crystal Palace,D,2024-11-23_premier_league_crystal_palace,Aston Villa,Emiliano Martínez,ar ARG,32-082,90,6.0,2,4.0,66.7
2024-2025,Aston Villa 2024 2025,2024-11-27,Champions Lg,Itjuventus,2024-11-27_champions_lg_itjuventus_goalkeeper_stats.csv,c862f866,https://fbref.com/en/matches/c862f866/Aston-Villa-Juventus-November-27-2024-Champions-League,2024-11-27,Champions Lg,League phase,Home,itJuventus,D,2024-11-27_champions_lg_itjuventus,Aston Villa,Emiliano Martínez,ar ARG,32-086,90,2.0,0,2.0,100.0
2024-2025,Aston Villa 2024 2025,2024-12-01,Premier League,Chelsea,2024-12-01_premier_league_chelsea_goalkeeper_stats.csv,080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Emiliano Martínez,ar ARG,32-090,45,5.0,2,3.0,60.0
2024-2025,Aston Villa 2024 2025,2024-12-01,Premier League,Chelsea,2024-12-01_premier_league_chelsea_goalkeeper_stats.csv,080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Robin Olsen,se SWE,34-328,45,3.0,1,2.0,66.7
2024-2025,Aston Villa 2024 2025,2024-12-04,Premier League,Brentford,2024-12-04_premier_league_brentford_goalkeeper_stats.csv,c24a734b,https://fbref.com/en/matches/c24a734b/Aston-Villa-Brentford-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Brentford,W,2024-12-04_premier_league_brentford,Aston Villa,Emiliano Martínez,ar ARG,32-093,90,1.0,1,0.0,0.0
2024-2025,Aston Villa 2024 2025,2024-12-07,Premier League,Southampton,2024-12-07_premier_league_southampton_goalkeeper_stats.csv,92cfde2c,https://fbref.com/en/matches/92cfde2c/Aston-Villa-Southampton-December-7-2024-Premier-League,2024-12-07,Premier League,Matchweek 15,Home,Southampton,W,2024-12-07_premier_league_southampton,Aston Villa,Emiliano Martínez,ar ARG,32-096,90,0.0,0,0.0,
2024-2025,Aston Villa 2024 2025,2024-12-10,Champions Lg,Derb Leipzig,2024-12-10_champions_lg_derb_leipzig_goalkeeper_stats.csv,64174109,https://fbref.com/en/matches/64174109/RB-Leipzig-Aston-Villa-December-10-2024-Champions-League,2024-12-10,Champions Lg,League phase,Away,deRB Leipzig,W,2024-12-10_champions_lg_derb_leipzig,Aston Villa,Emiliano Martínez,ar ARG,32-099,90,6.0,2,4.0,66.7
