team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Liverpool FC,4,189,1,2,2,88,8,1,7,6,15,0,7.13
Chelsea,10,567,1,7,3,248,11,6,22,4,34,0,7.1
Chelsea,11,922,1,2,1,544,35,2,6,5,52,0,7.1
Dynamo Kyiv,1,90,0,0,0,38,1,2,2,1,3,0,7.1
Real Madrid,2,167,0,2,0,117,2,1,3,2,8,0,7.1
Liverpool FC,3,270,0,0,0,151,6,0,5,6,23,0,7.1
Club Brugge KV,3,270,0,1,0,112,9,0,5,5,14,0,7.1
Manchester City,11,982,0,3,0,682,39,11,23,14,80,0,7.1
FC Bayern München,10,693,0,4,0,492,29,13,24,5,43,1,7.09
Manchester City,11,796,0,2,0,635,23,3,8,9,32,0,7.08
Atlético Madrid,7,609,0,10,1,286,14,6,11,10,41,0,7.07
Atlético Madrid,8,657,1,8,1,223,9,17,16,11,51,1,7.06
Atalanta,2,176,0,1,0,44,2,2,6,3,13,0,7.05
Club Brugge KV,2,180,0,0,0,45,3,0,3,5,12,0,7.05
FC Porto,10,867,0,3,1,188,6,12,19,13,43,1,7.03
FC Bayern München,7,570,2,5,2,312,23,2,12,10,24,0,7.03
Manchester City,4,277,0,0,0,289,6,1,2,4,20,0,7.03
Manchester City,9,585,1,2,0,530,11,3,12,4,36,0,7.02
Lokomotiv Moscow,5,450,0,1,0,162,13,3,6,11,22,0,7.02
FC Barcelona,7,485,2,14,3,424,8,4,5,6,37,0,7.0
FC Midtjylland,1,90,0,0,0,9,1,0,5,3,7,0,7.0
Manchester City,2,180,0,0,0,123,1,0,3,3,11,0,7.0
Liverpool FC,4,321,0,0,0,168,7,3,6,6,20,0,7.0
FC Bayern München,6,322,0,1,1,237,2,18,8,6,34,0,7.0
Borussia Dortmund,7,348,1,4,1,203,13,6,6,1,31,0,6.98
Lokomotiv Moscow,4,270,0,0,0,76,6,0,0,6,10,0,6.98
Chelsea,8,567,0,0,0,322,21,1,6,8,33,0,6.98
Real Madrid,8,720,0,0,0,387,11,4,18,12,25,0,6.98
