team,appearances,minutesPlayed,goals,assists,keyPasses,bigChancesCreated,successfulDribbles,accurateCrosses,shotsOnTarget,totalShots,rating
Dynamo Kyiv,1,90,0,0,0,0,0,0,0,0,9.7
Juventus,1,90,0,0,0,0,0,0,0,0,8.5
Liverpool FC,1,90,0,0,0,0,0,0,0,0,7.8
Liverpool FC,2,180,0,0,0,0,0,0,0,0,7.65
Lazio,1,90,0,0,0,0,0,0,0,0,7.6
FC Bayern München,8,720,0,0,1,0,0,0,0,0,7.44
Paris Saint-Germain,12,1080,0,0,0,0,0,0,0,0,7.37
FC Krasnodar,4,360,0,0,0,0,2,0,0,0,7.35
Chelsea,12,1080,0,0,0,0,0,0,0,0,7.35
Liverpool FC,7,630,0,0,0,0,0,0,0,0,7.29
FC Porto,9,840,0,0,0,0,0,0,0,0,7.26
Borussia Dortmund,4,360,0,0,0,0,0,0,0,0,7.23
Manchester City,1,90,0,0,0,0,0,0,0,0,7.2
Shakhtar Donetsk,5,450,0,0,0,0,0,0,0,0,7.14
FC Krasnodar,2,180,0,0,0,0,0,0,0,0,7.05
Atalanta,3,270,0,0,0,0,0,0,0,0,7.03
Lokomotiv Moscow,6,540,0,0,0,0,1,0,0,0,7.03
FC Porto,1,90,0,0,0,0,0,0,0,0,7.0
Sevilla,5,450,0,0,0,0,0,0,0,0,7.0
FC Midtjylland,4,360,0,0,1,0,0,0,0,0,6.98
Manchester City,12,1080,0,0,0,0,0,0,0,0,6.91
FC Barcelona,3,270,0,0,0,0,0,0,0,0,6.9
Olympiacos FC,6,540,0,0,0,0,0,0,0,0,6.9
Juventus,7,660,0,0,0,0,1,0,0,0,6.9
FC Barcelona,5,450,0,0,0,0,0,0,0,0,6.88
Stade Rennais,4,360,0,0,0,0,0,0,0,0,6.85
AFC Ajax,6,540,0,0,0,0,0,0,0,0,6.85
Borussia M'gladbach,8,720,0,0,0,0,1,0,0,0,6.81
Real Madrid,12,1080,0,0,0,0,0,0,0,0,6.81
Club Brugge KV,1,90,0,0,0,0,0,0,0,0,6.8
Manchester United,5,450,0,0,0,0,0,0,0,0,6.78
Club Brugge KV,5,450,0,0,0,0,2,0,0,0,6.78
Inter,6,540,0,0,0,0,0,0,0,0,6.77
RB Leipzig,8,720,0,0,0,0,0,0,0,0,6.76
Borussia Dortmund,6,540,0,0,0,0,0,0,0,0,6.62
Atlético Madrid,8,720,0,0,0,0,0,0,0,0,6.61
Chelsea,1,90,0,0,0,0,0,0,0,0,6.6
Zenit St. Petersburg,6,540,0,0,0,0,0,0,0,0,6.58
FC Bayern München,2,180,0,0,0,0,0,0,0,0,6.55
Atalanta,5,450,0,0,0,0,0,0,0,0,6.48
Dynamo Kyiv,4,360,0,0,0,0,0,0,0,0,6.48
Lazio,7,630,0,0,0,0,0,0,0,0,6.44
Dynamo Kyiv,1,90,0,0,0,0,0,0,0,0,6.4
Stade Rennais,2,180,0,0,0,0,0,0,0,0,6.4
Olympique de Marseille,6,540,0,0,0,0,0,0,0,0,6.38
Sevilla,2,180,0,0,0,0,0,0,0,0,6.3
Ferencváros TC,6,540,0,0,0,0,0,0,0,0,6.3
Başakşehir FK,6,540,0,0,1,0,0,0,0,0,6.18
Red Bull Salzburg,6,540,0,0,0,0,0,0,0,0,6.18
FC Midtjylland,2,180,0,0,0,0,0,0,0,0,6.15
