team,appearances,minutesPlayed,saves,goalsConceded,rating
Borussia Dortmund,4,315,17,2,7.83
FC Bayern München,3,270,9,0,7.57
FC Porto,8,720,31,8,7.53
Milan,5,450,20,5,7.48
FC København,4,360,24,9,7.43
Club Brugge KV,8,720,34,11,7.41
Inter,13,1170,47,11,7.41
FC Barcelona,1,90,6,2,7.4
Sevilla,2,180,4,0,7.4
Real Madrid,10,900,42,11,7.34
FC Bayern München,3,270,8,2,7.33
Manchester City,11,990,28,4,7.29
FC Bayern München,4,360,13,4,7.28
Shakhtar Donetsk,6,540,30,10,7.27
Milan,7,630,22,6,7.21
Eintracht Frankfurt,8,720,29,13,7.13
SSC Napoli,10,900,22,8,7.12
Tottenham Hotspur,2,180,6,1,7.1
Tottenham Hotspur,6,540,17,6,7.1
Chelsea,9,810,28,8,7.1
Juventus,2,180,9,4,7.05
Manchester City,2,180,5,1,7.0
Atlético Madrid,5,450,15,7,7.0
RB Leipzig,6,527,20,11,7.0
GNK Dinamo Zagreb,6,540,25,11,6.98
Red Bull Salzburg,6,540,21,9,6.95
Borussia Dortmund,5,405,12,5,6.92
Paris Saint-Germain,8,720,26,10,6.88
Bayer 04 Leverkusen,6,540,17,8,6.83
FC Viktoria Plzeň,1,90,8,5,6.8
Rangers,5,450,24,18,6.74
Olympique de Marseille,6,540,12,8,6.7
Benfica,10,900,19,13,6.67
Liverpool FC,8,720,16,12,6.66
Real Madrid,2,180,3,2,6.65
FC København,2,180,3,3,6.55
FC Barcelona,5,450,13,10,6.54
Sporting CP,5,383,17,5,6.52
Chelsea,1,90,1,1,6.5
Rangers,1,90,5,4,6.5
AFC Ajax,6,540,21,16,6.47
FC Viktoria Plzeň,5,450,23,19,6.44
Maccabi Haifa,6,540,22,21,6.4
Sevilla,4,360,14,12,6.38
Juventus,4,360,10,9,6.35
Atlético Madrid,1,90,3,2,6.3
Celtic,6,540,16,15,6.23
Sporting CP,2,154,4,4,6.15
RB Leipzig,3,193,2,6,5.77
FC Bayern München,2,174,0,0,7.75
Atlético Madrid,1,90,0,2,7.7
Liverpool FC,6,341,0,2,7.45
SSC Napoli,10,890,0,8,7.41
Manchester City,12,1048,0,4,7.41
Borussia Dortmund,4,353,0,4,7.38
SSC Napoli,3,196,0,2,7.33
Milan,4,275,0,0,7.33
Manchester City,8,608,0,2,7.27
Inter,12,990,0,6,7.26
FC Barcelona,2,147,0,2,7.25
Borussia Dortmund,4,315,0,4,7.25
GNK Dinamo Zagreb,6,540,0,11,7.25
Liverpool FC,7,626,0,11,7.21
Benfica,8,657,0,7,7.21
SSC Napoli,9,786,0,7,7.21
Chelsea,8,692,0,7,7.18
FC Bayern München,7,615,0,4,7.17
Borussia Dortmund,6,481,0,5,7.17
FC Porto,3,270,0,2,7.17
Chelsea,8,641,0,7,7.16
FC Barcelona,5,406,0,10,7.16
Bayer 04 Leverkusen,5,409,0,4,7.14
FC Bayern München,9,593,0,6,7.13
Benfica,9,794,0,10,7.13
RB Leipzig,7,514,0,7,7.13
Manchester City,11,945,0,4,7.13
Chelsea,7,560,0,4,7.11
Liverpool FC,4,242,0,2,7.1
FC Porto,4,360,0,1,7.1
Juventus,1,90,0,2,7.1
Sevilla,3,224,0,1,7.1
FC Bayern München,10,507,0,2,7.09
Chelsea,7,570,0,4,7.09
SSC Napoli,7,614,0,4,7.07
FC Bayern München,9,603,0,3,7.07
Tottenham Hotspur,7,511,0,4,7.06
Manchester City,8,686,0,3,7.05
Manchester City,2,118,0,1,7.05
Milan,6,509,0,3,7.05
Milan,4,209,0,2,7.03
FC Barcelona,3,218,0,4,7.03
Maccabi Haifa,4,325,0,6,7.03
Olympique de Marseille,5,407,0,5,7.02
