team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Borussia Dortmund,4,315,0,0,5,1,2,0,0,7.83
FC Bayern München,3,270,0,0,0,1,0,0,0,7.57
FC Porto,8,720,0,0,7,2,1,0,0,7.53
Milan,5,450,0,0,5,2,1,0,0,7.48
FC København,4,360,0,0,2,1,0,0,0,7.43
Club Brugge KV,8,720,0,1,9,3,0,0,0,7.41
Inter,13,1170,0,0,6,3,3,0,0,7.41
FC Barcelona,1,90,0,0,0,0,0,0,0,7.4
Sevilla,2,180,0,0,2,2,0,0,0,7.4
Real Madrid,10,900,1,0,9,4,1,0,1,7.34
FC Bayern München,3,270,0,0,2,1,0,0,0,7.33
Manchester City,11,990,0,0,7,0,2,0,0,7.29
FC Bayern München,4,360,0,0,8,2,1,0,0,7.28
Shakhtar Donetsk,6,540,0,0,10,2,0,0,0,7.27
Milan,7,630,0,0,7,5,1,0,0,7.21
Eintracht Frankfurt,8,720,0,0,9,5,0,0,0,7.13
SSC Napoli,10,900,0,0,12,4,3,0,0,7.12
Tottenham Hotspur,2,180,0,0,0,0,0,0,0,7.1
Tottenham Hotspur,6,540,0,1,5,0,0,0,0,7.1
Chelsea,9,810,0,1,7,2,0,0,0,7.1
Juventus,2,180,0,0,0,0,0,0,0,7.05
Manchester City,2,180,0,0,0,0,0,0,0,7.0
Atlético Madrid,5,450,0,0,2,0,0,0,0,7.0
RB Leipzig,6,527,0,0,5,1,0,0,0,7.0
GNK Dinamo Zagreb,6,540,0,0,6,1,1,0,0,6.98
Red Bull Salzburg,6,540,1,0,3,0,4,0,0,6.95
Borussia Dortmund,5,405,0,0,1,0,0,0,0,6.92
Paris Saint-Germain,8,720,0,0,11,0,1,0,1,6.88
Bayer 04 Leverkusen,6,540,0,0,1,0,1,0,1,6.83
FC Viktoria Plzeň,1,90,0,0,0,0,0,0,0,6.8
Rangers,5,450,0,0,2,0,0,0,0,6.74
Olympique de Marseille,6,540,0,0,4,1,4,0,0,6.7
Benfica,10,900,0,0,9,1,0,0,0,6.67
Liverpool FC,8,720,0,0,1,0,1,0,1,6.66
Real Madrid,2,180,0,0,1,1,1,0,0,6.65
FC København,2,180,0,0,0,0,0,0,0,6.55
FC Barcelona,5,450,0,0,2,1,0,0,0,6.54
Sporting CP,5,383,0,0,6,0,0,0,1,6.52
Chelsea,1,90,0,0,0,0,0,0,0,6.5
Rangers,1,90,0,0,0,1,0,0,0,6.5
AFC Ajax,6,540,0,0,5,0,0,0,1,6.47
FC Viktoria Plzeň,5,450,0,0,4,0,0,0,0,6.44
Maccabi Haifa,6,540,0,0,5,0,1,0,0,6.4
Sevilla,4,360,0,0,4,0,0,0,0,6.38
Juventus,4,360,0,0,2,0,0,0,0,6.35
Atlético Madrid,1,90,0,0,0,0,0,0,0,6.3
Celtic,6,540,0,1,1,0,1,0,1,6.23
Sporting CP,2,154,0,0,0,0,0,0,1,6.15
RB Leipzig,3,193,0,0,0,0,0,0,1,5.77
FC Bayern München,2,174,3,8,2,4,7,0,0,7.75
Atlético Madrid,1,90,4,1,5,4,4,0,0,7.7
Liverpool FC,6,341,5,2,4,4,17,1,0,7.45
SSC Napoli,10,890,18,12,19,14,35,1,0,7.41
Manchester City,12,1048,26,7,25,22,30,3,0,7.41
Borussia Dortmund,4,353,13,6,8,2,16,0,0,7.38
SSC Napoli,3,196,3,2,13,9,5,0,0,7.33
Milan,4,275,10,10,12,7,14,0,0,7.33
Manchester City,8,608,12,7,12,14,15,1,0,7.27
Inter,12,990,20,9,30,18,29,1,0,7.26
FC Barcelona,2,147,0,0,1,0,0,0,0,7.25
Borussia Dortmund,4,315,8,7,17,3,11,0,0,7.25
GNK Dinamo Zagreb,6,540,8,14,52,28,10,0,1,7.25
Liverpool FC,7,626,19,4,3,2,26,2,0,7.21
Benfica,8,657,14,17,9,6,30,1,0,7.21
SSC Napoli,9,786,12,22,32,32,15,0,0,7.21
Chelsea,8,692,14,7,8,3,37,1,0,7.18
FC Bayern München,7,615,5,10,20,11,9,1,0,7.17
Borussia Dortmund,6,481,7,10,10,3,18,2,0,7.17
FC Porto,3,270,2,4,12,7,2,0,0,7.17
Chelsea,8,641,8,9,32,13,15,1,0,7.16
FC Barcelona,5,406,5,6,15,8,9,0,0,7.16
Bayer 04 Leverkusen,5,409,10,5,10,5,12,1,0,7.14
FC Bayern München,9,593,12,13,20,11,19,0,0,7.13
Benfica,9,794,17,15,31,22,23,3,0,7.13
RB Leipzig,7,514,16,12,7,11,38,0,0,7.13
Manchester City,11,945,27,9,18,10,33,2,0,7.13
Chelsea,7,560,12,4,5,3,29,2,0,7.11
Liverpool FC,4,242,8,3,3,11,11,0,0,7.1
FC Porto,4,360,7,3,15,8,9,1,0,7.1
Juventus,1,90,2,3,4,5,2,0,0,7.1
Sevilla,3,224,7,1,9,1,11,0,0,7.1
FC Bayern München,10,507,14,3,2,4,24,1,0,7.09
Chelsea,7,570,12,8,20,15,17,0,0,7.09
SSC Napoli,7,614,9,2,26,19,12,1,0,7.07
FC Bayern München,9,603,22,8,6,0,49,1,0,7.07
Tottenham Hotspur,7,511,15,7,14,9,21,0,0,7.06
Manchester City,8,686,2,4,10,7,15,1,0,7.05
Manchester City,2,118,1,0,0,1,4,0,0,7.05
Milan,6,509,6,6,24,6,6,2,0,7.05
Milan,4,209,3,3,10,1,6,0,0,7.03
FC Barcelona,3,218,4,3,4,4,7,0,0,7.03
Maccabi Haifa,4,325,12,5,9,3,16,0,0,7.03
Olympique de Marseille,5,407,14,4,6,5,18,2,0,7.02
Bayer 04 Leverkusen,5,351,6,4,18,3,8,1,0,7.02
Borussia Dortmund,8,675,5,6,24,7,9,0,0,7.01
Benfica,10,896,11,14,33,10,15,0,0,7.01
Sevilla,2,180,2,2,5,3,6,0,0,7.0
Chelsea,6,437,8,5,17,10,12,1,0,7.0
Paris Saint-Germain,8,720,9,11,23,17,15,0,0,7.0
Sporting CP,1,38,1,0,2,1,1,0,0,7.0
Olympique de Marseille,6,490,11,13,12,16,13,0,0,6.98
Red Bull Salzburg,4,267,5,3,13,5,8,1,0,6.98
Real Madrid,8,438,9,17,14,7,16,0,0,6.97
FC Bayern München,10,715,14,14,20,11,19,0,2,6.97
RB Leipzig,6,540,9,4,23,3,17,0,0,6.97
SSC Napoli,6,388,6,7,3,4,14,2,0,6.97
Milan,6,499,17,15,12,3,23,0,0,6.97
Liverpool FC,3,259,6,1,10,7,11,0,0,6.97
Manchester City,5,286,9,3,8,3,14,0,0,6.96
Inter,12,926,10,11,45,26,19,2,0,6.96
Real Madrid,9,748,10,9,37,13,22,0,0,6.96
Real Madrid,11,872,18,7,15,6,28,0,0,6.95
Bayer 04 Leverkusen,5,338,9,4,5,5,16,2,0,6.95
Inter,8,537,9,4,20,13,11,2,0,6.95
Sevilla,2,180,5,1,3,5,7,0,0,6.95
Club Brugge KV,8,720,11,11,37,20,12,0,0,6.95
Tottenham Hotspur,8,545,18,3,11,9,32,2,0,6.94
Shakhtar Donetsk,6,540,7,7,30,5,8,0,0,6.93
Milan,11,948,27,6,20,10,57,4,0,6.93
Borussia Dortmund,8,564,10,3,14,10,21,1,0,6.93
FC Bayern München,5,393,13,3,10,8,22,1,0,6.92
Olympique de Marseille,5,305,6,15,8,5,11,1,0,6.92
Red Bull Salzburg,6,540,17,3,29,21,24,0,0,6.92
Paris Saint-Germain,7,449,10,6,12,5,17,0,0,6.92
Milan,10,750,15,7,15,11,25,0,0,6.91
Red Bull Salzburg,3,166,9,0,4,6,9,0,0,6.9
AFC Ajax,2,76,1,2,2,0,1,0,0,6.9
Atlético Madrid,5,402,6,6,19,8,8,0,0,6.9
Chelsea,8,412,12,8,6,7,19,0,0,6.9
FC København,4,360,3,7,22,5,5,1,0,6.9
Borussia Dortmund,7,564,16,13,6,3,23,3,0,6.9
