team,appearances,minutesPlayed,goals,assists,shotsOnTarget,totalShots,bigChancesMissed,successfulDribbles,aerialDuelsWon,rating
Newcastle United,5,450,0,0,0,0,0,0,0,7.7
Borussia Dortmund,1,90,0,0,0,0,0,0,2,7.6
Real Madrid,8,750,0,0,0,0,0,0,3,7.58
Inter,7,660,0,0,0,0,0,0,1,7.54
Borussia Dortmund,12,1080,0,0,0,0,0,1,1,7.54
Red Bull Salzburg,6,540,0,0,0,0,0,0,1,7.53
Real Madrid,1,90,0,0,0,0,0,0,1,7.5
BSC Young Boys,5,450,0,0,0,0,0,0,1,7.4
Shakhtar Donetsk,6,540,0,0,0,0,0,1,4,7.4
Sevilla,2,180,0,0,0,0,0,0,1,7.35
SSC Napoli,8,720,0,0,0,0,0,0,1,7.29
Milan,6,531,0,0,0,0,0,0,2,7.27
Atlético Madrid,10,930,0,0,0,0,0,0,2,7.24
FK Crvena zvezda,6,540,0,0,0,0,0,0,0,7.17
Arsenal,9,840,0,0,0,0,0,0,2,7.17
Benfica,6,540,0,0,0,0,0,0,2,7.12
Royal Antwerp FC,1,90,0,0,0,0,0,0,0,7.1
1. FC Union Berlin,6,540,0,0,0,0,0,0,1,7.1
RC Lens,6,540,0,0,0,0,0,0,0,7.08
Sporting Braga,6,540,0,0,0,0,0,0,2,7.08
Lazio,8,720,1,0,1,1,0,0,4,7.08
Real Sociedad,8,720,0,0,0,0,0,0,1,7.06
FC Barcelona,8,720,0,0,0,0,0,1,1,7.04
FC København,8,720,0,0,0,0,0,0,3,7.04
Paris Saint-Germain,12,1080,0,0,0,0,0,0,3,7.03
Real Madrid,4,360,0,0,0,0,0,0,2,7.03
FC Bayern München,9,810,0,0,0,0,0,1,3,7.02
Celtic,6,540,0,0,0,0,0,0,2,7.02
Arsenal,1,90,0,0,0,0,0,0,0,7.0
FC Barcelona,2,180,0,0,0,0,0,0,1,7.0
FC Porto,8,750,0,0,0,0,0,0,3,6.94
Milan,1,9,0,0,0,0,0,0,0,6.9
RB Leipzig,5,450,0,1,0,0,0,0,1,6.88
Manchester United,6,540,0,0,0,0,0,0,0,6.87
Galatasaray,6,540,0,0,0,0,0,0,2,6.87
PSV Eindhoven,8,720,0,0,0,0,0,0,2,6.86
Manchester City,7,660,0,0,0,0,0,0,0,6.83
Feyenoord,4,360,0,0,0,0,0,1,2,6.78
Feyenoord,2,180,0,0,0,0,0,0,1,6.75
Sevilla,4,360,0,0,0,0,0,0,2,6.73
Manchester City,3,270,0,0,0,0,0,1,0,6.67
FC Bayern München,3,270,0,0,0,0,0,0,1,6.67
RB Leipzig,3,270,0,0,0,0,0,0,0,6.67
Royal Antwerp FC,5,450,0,0,0,0,0,0,2,6.58
Inter,1,90,0,0,0,0,0,0,0,6.5
BSC Young Boys,1,90,0,0,0,0,0,0,1,6.4
Newcastle United,1,90,0,0,0,0,0,0,0,6.2
