model,threshold,f1,precision,recall,specificity,balanced_accuracy,alerts,alert_rate,tp,fp,fn,tn
V4A,0.05,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.0590909090909091,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.06818181818181818,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.07727272727272727,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.08636363636363636,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.09545454545454546,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.10454545454545455,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.11363636363636363,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.12272727272727273,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.13181818181818183,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.14090909090909093,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.15,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.1590909090909091,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.16818181818181818,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.17727272727272725,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.18636363636363634,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.19545454545454544,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.20454545454545453,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.21363636363636362,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4A,0.22272727272727272,0.4024640657084189,0.2519280205655527,1.0,0.0008583690987124463,0.5004291845493563,1556,0.9993577392421323,392,1164,0,1
V4A,0.2318181818181818,0.4024640657084189,0.2519280205655527,1.0,0.0008583690987124463,0.5004291845493563,1556,0.9993577392421323,392,1164,0,1
V4A,0.2409090909090909,0.4028776978417266,0.25225225225225223,1.0,0.002575107296137339,0.5012875536480687,1554,0.9980732177263969,392,1162,0,3
V4A,0.25,0.4066390041493776,0.2552083333333333,1.0,0.018025751072961373,0.5090128755364807,1536,0.9865125240847784,392,1144,0,21
V4A,0.2590909090909091,0.4139387539598733,0.2609853528628495,1.0,0.04721030042918455,0.5236051502145923,1502,0.9646756583172769,392,1110,0,55
V4A,0.2681818181818182,0.4326710816777042,0.27605633802816903,1.0,0.11759656652360514,0.5587982832618026,1420,0.9120102761721259,392,1028,0,137
V4A,0.2772727272727273,0.4551804423748545,0.2948717948717949,0.9974489795918368,0.19742489270386265,0.5974369361478498,1326,0.8516377649325626,391,935,1,230
V4A,0.2863636363636364,0.4730139478471801,0.31026252983293556,0.9948979591836735,0.255793991416309,0.6253459752999913,1257,0.8073217726396917,390,867,2,298
V4A,0.29545454545454547,0.48507462686567165,0.3207236842105263,0.9948979591836735,0.2909871244635193,0.6429425418235964,1216,0.7809890815671162,390,826,2,339
V4A,0.3045454545454545,0.4890282131661442,0.32418952618453867,0.9948979591836735,0.3021459227467811,0.6485219409652273,1203,0.7726396917148363,390,813,2,352
V4A,0.3136363636363636,0.49025769956002513,0.32527105921601335,0.9948979591836735,0.3055793991416309,0.6502386791626522,1199,0.7700706486833655,390,809,2,356
V4A,0.3227272727272727,0.4918032786885246,0.32663316582914576,0.9948979591836735,0.3098712446351931,0.6523846019094333,1194,0.766859344894027,390,804,2,361
V4A,0.3318181818181818,0.49273531269741,0.327455919395466,0.9948979591836735,0.31244635193133047,0.653672155557502,1191,0.7649325626204239,390,801,2,364
V4A,0.3409090909090909,0.49461001902346224,0.3291139240506329,0.9948979591836735,0.31759656652360513,0.6562472628536393,1185,0.7610789980732178,390,795,2,370
V4A,0.35,0.49583600256245997,0.33105218135158254,0.9872448979591837,0.32875536480686696,0.6580001313830253,1169,0.7508028259473346,387,782,5,383
V4A,0.35909090909090907,0.5085413929040736,0.3424778761061947,0.9872448979591837,0.3622317596566524,0.6747383288079181,1130,0.7257546563904945,387,743,5,422
V4A,0.36818181818181817,0.5272601794340924,0.36140018921475875,0.9744897959183674,0.4206008583690987,0.6975453271437331,1057,0.6788696210661529,382,675,10,490
V4A,0.37727272727272726,0.5446623093681917,0.38071065989847713,0.9566326530612245,0.47639484978540775,0.7165137514233161,985,0.6326268464996788,375,610,17,555
V4A,0.38636363636363635,0.5590909090909091,0.39762931034482757,0.9413265306122449,0.5201716738197425,0.7307491022159938,928,0.5960179833012202,369,559,23,606
V4A,0.39545454545454545,0.5694117647058824,0.4110985277463194,0.9260204081632653,0.5536480686695279,0.7398342384163965,883,0.5671162491971741,363,520,29,645
V4A,0.40454545454545454,0.5792437650844731,0.42303172737955347,0.9183673469387755,0.5785407725321888,0.7484540597354822,851,0.5465639049454079,360,491,32,674
V4A,0.41363636363636364,0.5872756933115824,0.4316546762589928,0.9183673469387755,0.5931330472103005,0.7557501970745379,834,0.535645472061657,360,474,32,691
V4A,0.4227272727272727,0.5870809484873263,0.43200962695547535,0.9158163265306123,0.5948497854077254,0.7553330559691689,831,0.5337186897880539,359,472,33,693
V4A,0.43181818181818177,0.5885245901639344,0.4335748792270531,0.9158163265306123,0.5974248927038627,0.7566206096172374,828,0.5317919075144508,359,469,33,696
V4A,0.44090909090909086,0.5897858319604613,0.43552311435523117,0.9132653061224489,0.6017167381974249,0.7574910221599369,822,0.5279383429672447,358,464,34,701
V4A,0.44999999999999996,0.5956375838926175,0.44375,0.9056122448979592,0.6180257510729614,0.7618189979854604,800,0.5138086062941555,355,445,37,720
V4A,0.45909090909090905,0.6112084063047285,0.4653333333333333,0.8903061224489796,0.655793991416309,0.7730500569326443,750,0.4816955684007707,349,401,43,764
V4A,0.46818181818181814,0.6161048689138576,0.48668639053254437,0.8392857142857143,0.7021459227467811,0.7707158185162477,676,0.4341682723185613,329,347,63,818
V4A,0.47727272727272724,0.6353646353646354,0.5221674876847291,0.8112244897959183,0.7502145922746781,0.7807195410352983,609,0.3911368015414258,318,291,74,874
V4A,0.48636363636363633,0.6534653465346535,0.574468085106383,0.7576530612244898,0.8111587982832618,0.7844059297538758,517,0.33204881181759793,297,220,95,945
V4A,0.4954545454545454,0.6589057043073341,0.6059957173447538,0.7219387755102041,0.8420600858369098,0.7819994306735569,467,0.2999357739242132,283,184,109,981
V4A,0.5045454545454545,0.6539833531510107,0.6124721603563474,0.701530612244898,0.8506437768240344,0.7760871945344662,449,0.28837508028259473,275,174,117,991
V4A,0.5136363636363637,0.6547192353643967,0.6157303370786517,0.6989795918367347,0.8532188841201717,0.7760992379784533,445,0.28580603725112397,274,171,118,994
