model,threshold,f1,precision,recall,specificity,balanced_accuracy,alerts,alert_rate,tp,fp,fn,tn
V4B Strict,0.05,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.0590909090909091,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.06818181818181818,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.07727272727272727,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.08636363636363636,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.09545454545454546,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.10454545454545455,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.11363636363636363,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.12272727272727273,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.13181818181818183,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.14090909090909093,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.15,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.1590909090909091,0.4022575679835813,0.25176621708413616,1.0,0.0,0.5,1557,1.0,392,1165,0,0
V4B Strict,0.16818181818181818,0.4024640657084189,0.2519280205655527,1.0,0.0008583690987124463,0.5004291845493563,1556,0.9993577392421323,392,1164,0,1
V4B Strict,0.17727272727272725,0.4024640657084189,0.2519280205655527,1.0,0.0008583690987124463,0.5004291845493563,1556,0.9993577392421323,392,1164,0,1
V4B Strict,0.18636363636363634,0.4026707755521315,0.25209003215434084,1.0,0.0017167381974248926,0.5008583690987124,1555,0.9987154784842646,392,1163,0,2
V4B Strict,0.19545454545454544,0.40308483290488434,0.2524146812620734,1.0,0.0034334763948497852,0.5017167381974249,1553,0.9974309569685292,392,1161,0,4
V4B Strict,0.20454545454545453,0.40308483290488434,0.2524146812620734,1.0,0.0034334763948497852,0.5017167381974249,1553,0.9974309569685292,392,1161,0,4
V4B Strict,0.21363636363636362,0.40329218106995884,0.25257731958762886,1.0,0.004291845493562232,0.5021459227467812,1552,0.9967886962106616,392,1160,0,5
V4B Strict,0.22272727272727272,0.4041237113402062,0.2532299741602067,1.0,0.007725321888412017,0.503862660944206,1548,0.9942196531791907,392,1156,0,9
V4B Strict,0.2318181818181818,0.4041343669250646,0.25340246273493194,0.9974489795918368,0.011158798283261802,0.5043038889375493,1543,0.9910083493898523,391,1152,1,13
V4B Strict,0.2409090909090909,0.40602284527518173,0.25488917861799215,0.9974489795918368,0.01888412017167382,0.5081665498817552,1534,0.9852280025690431,391,1143,1,22
V4B Strict,0.25,0.40667361835245047,0.25557011795543905,0.9948979591836735,0.024892703862660945,0.5098953315231672,1526,0.9800899165061014,390,1136,2,29
V4B Strict,0.2590909090909091,0.406266318537859,0.25541694024950756,0.9923469387755102,0.026609442060085836,0.509478190417798,1523,0.9781631342324983,389,1134,3,31
V4B Strict,0.2681818181818182,0.4077568134171908,0.25659630606860157,0.9923469387755102,0.03261802575107296,0.5124824822632915,1516,0.9736673089274245,389,1127,3,38
V4B Strict,0.2772727272727273,0.40887480190174325,0.25782811459027316,0.9872448979591837,0.04377682403433476,0.5155108609967592,1501,0.9640333975594091,387,1114,5,51
V4B Strict,0.2863636363636364,0.41201716738197425,0.2608695652173913,0.9795918367346939,0.06609442060085836,0.5228431286677762,1472,0.945407835581246,384,1088,8,77
V4B Strict,0.29545454545454547,0.4145021645021645,0.26304945054945056,0.9770408163265306,0.07896995708154507,0.5280053867040378,1456,0.9351316634553629,383,1073,9,92
V4B Strict,0.3045454545454545,0.41707717569786534,0.26550522648083624,0.9719387755102041,0.09527896995708154,0.5336088727336429,1435,0.9216441875401413,381,1054,11,111
V4B Strict,0.3136363636363636,0.4226289517470882,0.27002126151665484,0.9719387755102041,0.11587982832618025,0.5439093019181922,1411,0.9062299293513166,381,1030,11,135
V4B Strict,0.3227272727272727,0.42792792792792794,0.2745664739884393,0.9693877551020408,0.13819742489270387,0.5537925899973724,1384,0.8888888888888888,380,1004,12,161
V4B Strict,0.3318181818181818,0.42735042735042733,0.2751283932501834,0.9566326530612245,0.151931330472103,0.5542819917666637,1363,0.8754014129736674,375,988,17,177
V4B Strict,0.3409090909090909,0.4255813953488372,0.2756024096385542,0.9336734693877551,0.1742489270386266,0.5539611982131909,1328,0.852922286448298,366,962,26,203
V4B Strict,0.35,0.4346793349168646,0.28328173374613,0.9336734693877551,0.20515021459227467,0.5694118419900149,1292,0.8298008991650611,366,926,26,239
V4B Strict,0.35909090909090907,0.43946731234866826,0.28809523809523807,0.9260204081632653,0.23004291845493563,0.5780316633091005,1260,0.8092485549132948,363,897,29,268
