model,threshold,f1,precision,recall,specificity,balanced_accuracy,alerts,alert_rate,tp,fp,fn,tn
V4B Strict,0.36818181818181817,0.44126786824114356,0.29170090386195563,0.9056122448979592,0.26008583690987125,0.5828490409039152,1217,0.781631342324984,355,862,37,303
V4B Strict,0.37727272727272726,0.450288646568313,0.30077120822622105,0.8954081632653061,0.2995708154506438,0.597489489357975,1167,0.7495183044315993,351,816,41,349
V4B Strict,0.38636363636363635,0.45657894736842103,0.3076241134751773,0.8852040816326531,0.3296137339055794,0.6074089077691163,1128,0.7244701348747592,347,781,45,384
V4B Strict,0.39545454545454545,0.4618501012829169,0.3140495867768595,0.8724489795918368,0.3587982832618026,0.6156236314268196,1089,0.6994219653179191,342,747,50,418
V4B Strict,0.40454545454545454,0.47257383966244726,0.3262135922330097,0.8571428571428571,0.40429184549356223,0.6307173513182096,1030,0.6615285806037251,336,694,56,471
V4B Strict,0.41363636363636364,0.4769568397951719,0.3343589743589744,0.8316326530612245,0.4429184549356223,0.6372755539984234,975,0.626204238921002,326,649,66,516
V4B Strict,0.4227272727272727,0.4779969650986343,0.34017278617710583,0.8035714285714286,0.4755364806866953,0.639553954629062,926,0.5947334617854849,315,611,77,554
V4B Strict,0.43181818181818177,0.46855345911949686,0.3386363636363636,0.7602040816326531,0.5004291845493563,0.6303166330910046,880,0.565189466923571,298,582,94,583
V4B Strict,0.44090909090909086,0.46715328467153283,0.34244946492271106,0.7346938775510204,0.5253218884120172,0.6300078829815188,841,0.5401412973667309,288,553,104,612
V4B Strict,0.44999999999999996,0.47611064543168485,0.3545568039950062,0.7244897959183674,0.5562231759656653,0.6403564859420163,801,0.5144508670520231,284,517,108,648
V4B Strict,0.45909090909090905,0.47171453437771976,0.3579920739762219,0.6913265306122449,0.582832618025751,0.637079574318998,757,0.4861913937058446,271,486,121,679
V4B Strict,0.46818181818181814,0.4752475247524752,0.3671766342141864,0.673469387755102,0.6094420600858369,0.6414557239204695,719,0.4617854849068722,264,455,128,710
V4B Strict,0.47727272727272724,0.47289719626168225,0.37315634218289084,0.6454081632653061,0.6351931330472103,0.6403006481562582,678,0.43545279383429675,253,425,139,740
V4B Strict,0.48636363636363633,0.47093023255813954,0.3796875,0.6198979591836735,0.6592274678111588,0.6395627134974162,640,0.4110468850353243,243,397,149,768
V4B Strict,0.4954545454545454,0.4633901705115346,0.38181818181818183,0.5892857142857143,0.6789699570815451,0.6341278356836297,605,0.38856775850995506,231,374,161,791
V4B Strict,0.5045454545454545,0.4549266247379455,0.3861209964412811,0.5535714285714286,0.703862660944206,0.6287170447578173,562,0.36095054592164416,217,345,175,820
V4B Strict,0.5136363636363637,0.4516829533116178,0.3931947069943289,0.5306122448979592,0.7244635193133048,0.627537882105632,529,0.3397559409120103,208,321,184,844
V4B Strict,0.5227272727272727,0.44469525959367945,0.39878542510121456,0.5025510204081632,0.7450643776824034,0.6238076990452833,494,0.31727681438664096,197,297,195,868
V4B Strict,0.5318181818181819,0.4426229508196721,0.4090909090909091,0.48214285714285715,0.7656652360515022,0.6239040465971797,462,0.29672447013487474,189,273,203,892
V4B Strict,0.5409090909090909,0.4292682926829268,0.411214953271028,0.4489795918367347,0.7836909871244635,0.6163352894805991,428,0.27488760436737314,176,252,216,913
V4B Strict,0.55,0.43489254108723135,0.43107769423558895,0.4387755102040816,0.8051502145922746,0.6219628623981781,399,0.25626204238921,172,227,220,938
V4B Strict,0.5590909090909091,0.4228723404255319,0.44166666666666665,0.40561224489795916,0.8274678111587983,0.6165400280283787,360,0.23121387283236994,159,201,233,964
V4B Strict,0.5681818181818182,0.40551724137931033,0.44144144144144143,0.375,0.8403433476394849,0.6076716738197425,333,0.2138728323699422,147,186,245,979
V4B Strict,0.5772727272727273,0.38439306358381503,0.44333333333333336,0.3392857142857143,0.8566523605150215,0.5979690374003679,300,0.1926782273603083,133,167,259,998
V4B Strict,0.5863636363636364,0.37632776934749623,0.46441947565543074,0.3163265306122449,0.8772532188841202,0.5967898747481826,267,0.17148362235067438,124,143,268,1022
V4B Strict,0.5954545454545455,0.37261146496815284,0.4957627118644068,0.29846938775510207,0.8978540772532189,0.5981617325041605,236,0.15157353885677585,117,119,275,1046
V4B Strict,0.6045454545454546,0.3333333333333333,0.4900990099009901,0.25255102040816324,0.911587982832618,0.5820695016203906,202,0.12973667308927425,99,103,293,1062
V4B Strict,0.6136363636363636,0.2831541218637993,0.4759036144578313,0.20153061224489796,0.9253218884120171,0.5634262503284575,166,0.10661528580603725,79,87,313,1078
V4B Strict,0.6227272727272728,0.25239005736137665,0.5038167938931297,0.1683673469387755,0.944206008583691,0.5562866777612332,131,0.08413615928066795,66,65,326,1100
V4B Strict,0.6318181818181818,0.2275449101796407,0.5229357798165137,0.14540816326530612,0.9553648068669528,0.5503864850661294,109,0.07000642260757868,57,52,335,1113
V4B Strict,0.6409090909090909,0.1950207468879668,0.5222222222222223,0.11989795918367346,0.9630901287553648,0.5414940439695192,90,0.057803468208092484,47,43,345,1122
V4B Strict,0.65,0.1568627450980392,0.5373134328358209,0.09183673469387756,0.9733905579399141,0.5326136463168959,67,0.04303147077713552,36,31,356,1134
V4B Strict,0.6590909090909091,0.12162162162162163,0.5192307692307693,0.06887755102040816,0.9785407725321889,0.5237091617762986,52,0.033397559409120106,27,25,365,1140
V4B Strict,0.6681818181818182,0.09767441860465116,0.5526315789473685,0.05357142857142857,0.9854077253218884,0.5194895769466584,38,0.024405908798972382,21,17,371,1148
V4B Strict,0.6772727272727272,0.0671462829736211,0.56,0.03571428571428571,0.9905579399141631,0.5131361128142244,25,0.01605651894669236,14,11,378,1154
V4B Strict,0.6863636363636364,0.0488997555012225,0.5882352941176471,0.025510204081632654,0.9939914163090129,0.5097508101953228,17,0.010918432883750802,10,7,382,1158
V4B Strict,0.6954545454545454,0.04455445544554455,0.75,0.02295918367346939,0.9974248927038627,0.5101920381886661,12,0.007707129094412331,9,3,383,1162
V4B Strict,0.7045454545454546,0.03,0.75,0.015306122448979591,0.9982832618025751,0.5067946921257773,8,0.005138086062941554,6,2,386,1163
V4B Strict,0.7136363636363636,0.03015075376884422,1.0,0.015306122448979591,1.0,0.5076530612244898,6,0.0038535645472061657,6,0,386,1165
V4B Strict,0.7227272727272728,0.015189873417721518,1.0,0.007653061224489796,1.0,0.5038265306122449,3,0.0019267822736030828,3,0,389,1165
V4B Strict,0.7318181818181818,0.01015228426395939,1.0,0.00510204081632653,1.0,0.5025510204081632,2,0.0012845215157353885,2,0,390,1165
V4B Strict,0.740909090909091,0.01015228426395939,1.0,0.00510204081632653,1.0,0.5025510204081632,2,0.0012845215157353885,2,0,390,1165
V4B Strict,0.75,0.005089058524173028,1.0,0.002551020408163265,1.0,0.5012755102040817,1,0.0006422607578676942,1,0,391,1165
V4B Strict,0.7590909090909091,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.7681818181818182,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.7772727272727273,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.7863636363636364,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.7954545454545454,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8045454545454546,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8136363636363636,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8227272727272728,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8318181818181818,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8409090909090909,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.85,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8590909090909091,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8681818181818182,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8772727272727273,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8863636363636364,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.8954545454545455,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.9045454545454545,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.9136363636363637,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.9227272727272727,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.9318181818181818,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.9409090909090909,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
V4B Strict,0.95,0.0,0.0,0.0,1.0,0.5,0,0.0,0,0,392,1165
