feature,importance
rating_prev_3_avg,58.241425741314906
is_substitute,8.95126627447725
opponent,8.084764947713884
consecutive_away_games,3.3824826189360326
player_team,3.3450852058175435
player_position,1.608419309011661
effort_per_90_last_5,1.4769597372850347
effort_last_3,1.1261184930510575
minutes_last_14_days,1.110351663136411
competition,1.0808999449318133
effort_last_5,1.0435364901970068
rest_days,0.9927920416107163
matches_since_last_ucl_capped,0.806916969421322
min_last_7d,0.79953660653255
season_label,0.7889429339018897
matches_last_7_days,0.7845680051762328
previous_competition,0.7667397967497005
acwr_ratio,0.7567255048962582
minutes_last_7_days,0.7457982960307022
effort_per_90_last_3,0.6717693006299079
min_last_28d,0.5736367829771003
matches_last_14_days,0.41456461860218136
is_captain,0.38789861376441387
minutes_last_5,0.37883537711294646
minutes_last_3,0.3084773057634812
days_since_last_injury,0.26909577742077545
season_matches_missed_injury,0.2640666407151757
is_premier_league_match,0.17680457017651094
season_matches_missed_total,0.16889973581737128
high_congestion_flag,0.13744211150482633
no_previous_ucl,0.0926512500384867
is_domestic_after_ucl,0.08690595299317591
fixtures_missed_last_90d,0.05905640245344737
returning_from_injury,0.053598141145403656
fixtures_missed_last_30d,0.023830367753252955
recent_ucl_within_1_match,0.022734246685764115
played_ucl_previous_match,0.016402224253771237
days_since_last_match,0.0
is_ucl_match,0.0
recent_ucl_within_2_matches,0.0
