model_key,model_name,target,n_features,recommended_threshold,scientific_threshold,auc_roc,pr_auc,f1,precision,recall,balanced_acc,tn,fp,fn,tp,best_iteration
model_a_baseline,Model A - Baseline,performance_decrease,49,0.47,,0.7499002579993085,0.5742209780146761,0.5776135163674763,0.4936823104693141,0.6959287531806616,0.685072390527613,1161,561,239,547,86
model_b_context,Model B - Context,performance_decrease,64,0.45,,0.7506154450857487,0.5724016865562334,0.5683494044242768,0.5127942681678608,0.6374045801526718,0.6804909079625148,1246,476,285,501,218
model_c_context_adjusted,Model C - Context Adjusted Target,context_adjusted_performance_decrease,64,0.55,0.47,0.7602522340160124,0.6274171222047498,0.6052366565961732,0.5299823633156967,0.7053990610328639,0.6917695788256106,1123,533,251,601,125
